,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,G&P용산파크(주상복합),33㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,33.26,27.04,81,2,1,9,계단식,,,,,,,,,,,,"4억 5,000",,,,,,,,,,
1,G&P용산파크(주상복합),34A㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,34.76,28.28,81,2,1,18,계단식,,,,,,,,,,,,,,,,,,,,,,
2,G&P용산파크(주상복합),34B㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,34.96,28.61,82,2,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
3,G&P용산파크(주상복합),35C㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,35.35,28.92,82,2,1,9,계단식,,,,,,,,,,,,,,,,,,,,,,
4,G&P용산파크(주상복합),35D㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,35.45,29.32,83,2,1,1,계단식,,,,,,,,,,,,"5억 5,000",,,,,,,,,,
5,G&P용산파크(주상복합),36F㎡,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,36.87,29.99,81,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,G&P용산파크(주상복합),37E,서울시 용산구 문배동,1117012200,11-34,서울시 용산구 청파로 201-17,37.537827,126.969471,48,0,14,13,590,58,27,신부건설(주),HT001,37.31,29.57,79,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,미르타워(주상복합),20D㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,20.36,11.91,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,미르타워(주상복합),22E㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,22.26,13.02,58,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,미르타워(주상복합),25A㎡,서울시 용산구 문배동,1117012200,2-9,서울시 용산구 원효로90길 30-1,37.539005,126.970378,18,0,14,13,678,59,10,신부종합건설(주),HT001,25.11,14.69,59,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
