,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DK밸리뷰한남(도시형),29D㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.1,24.01,83,2,1,16,계단식,,,,,,,,,,,"6억 2,000",8억,,,,,,,,,,
1,DK밸리뷰한남(도시형),29B㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.6,24.43,83,2,1,4,계단식,,,,,,,,,,,,,4억,"4억 5,000",,,,,,,,
2,DK밸리뷰한남(도시형),29B1㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,29.31,24.19,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,DK밸리뷰한남(도시형),32A㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,32.35,26.7,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,DK밸리뷰한남(도시형),32A1㎡,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,32.35,26.7,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
5,DK밸리뷰한남(도시형),33C,서울시 용산구 한남동,1117013100,113-2,서울시 용산구 독서당로 27,37.530965,127.007404,28,0,10,10,358,55,19,(주)디케이건설,HT001,33.11,27.32,83,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,나인원한남,248B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,124,계단식,8793000,13849650,1758600,3298050,32916240,27430200,5486040,,,,96억,105억,68억,77억,25억/2000,40억/1500,25억/2000,40억/1500,,,,
1,나인원한남,248A㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,26,계단식,8465400,13341870,1693080,3183390,31055472,25879560,5175912,,,,,105억,65억,70억,40억/1600,50억/1200,40억/1600,50억/1200,,,,
2,나인원한남,248C㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,248.84,206.89,83,3,4,24,계단식,9442800,14856840,1888560,3525480,36607104,30505920,6101184,,,,,,65억,70억,,,,,,,,
3,나인원한남,293B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,81,계단식,10438200,16399710,2087640,3873870,42260976,35217480,7043496,,,,,115억,,80억,15억/2200,40억/2000,15억/2200,40억/2000,,,,
4,나인원한남,293C㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,27,계단식,10909800,17130690,2181960,4038930,44939664,37449720,7489944,,,,,,,80억,,,,,,,,
5,나인원한남,293A㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,293.93,244.34,83,4,4,6,계단식,10017000,15746850,2003400,3726450,39868560,33223800,6644760,,,,,,,,,,,,,,,
6,나인원한남,299PA㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,299.74,244.82,82,3,2,10,계단식,15822000,24744600,3164400,5758200,72840960,60700800,12140160,,,,,,,,,,,,,,,
7,나인원한남,333B㎡,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,333.2,273.41,82,4,5,21,계단식,12832200,20110410,2566440,4711770,55858896,46549080,9309816,,,,,,,,,,,,,,,
8,나인원한남,334A,서울시 용산구 한남동,1117013100,829,서울시 용산구 한남대로 91,37.536438,127.003476,341,0,9,5,147,30,1594,롯데건설(주),HT001,334.17,273.94,82,4,5,22,계단식,12832200,20110410,2566440,4711770,55858896,46549080,9309816,,,,,,120억,130억,,40억/3300,,40억/3300,,,,
0,남산맨션,27㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,27.7,27.01,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
1,남산맨션,29㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,29.05,28.36,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
2,남산맨션,32A㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,32.4,31.67,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
3,남산맨션,32B㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,32.63,31.9,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
4,남산맨션,33C㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,33.55,33.02,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
5,남산맨션,35㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,35.44,34.88,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
6,남산맨션,62㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,62.51,61.55,98,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
7,남산맨션,73㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,73.66,70.02,95,2,1,6,복도식,,,,,,,,,,,,,,,,,,,,,,
8,남산맨션,76㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,76.27,72.6,95,2,1,6,복도식,,,,,,,,,,,,"10억 7,000",,,,"5,000/330",,"5,000/330",,,,
9,남산맨션,94㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,94.14,89.45,95,2,2,19,복도식,,,,,,,,,,,"11억 5,000",19억,6억,"6억 7,000",,6억/50,,6억/50,,,,
10,남산맨션,95㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,95.57,84.2,88,2,1,2,복도식,,,,,,,,,,,,,6억,"6억 5,000",,,,,,,,
11,남산맨션,98㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,98.22,93.36,95,2,2,6,복도식,,,,,,,,,,,,"13억 7,000",,,,,,,,,,
12,남산맨션,113B㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,113.26,107.64,95,3,2,5,복도식,,,,,,,,,,,,,,,,,,,,,,
13,남산맨션,113A㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,113.21,107.6,95,3,2,1,복도식,,,,,,,,,,,,,,,1억/290,2억/250,1억/290,2억/250,,,,
14,남산맨션,131㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,131.01,124.5,95,3,2,56,복도식,,,,,,,,,,,17억,18억,9억,"9억 5,000",,"6억 5,000/100",,"6억 5,000/100",,,,
15,남산맨션,149㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,149.92,142.61,95,3,2,4,복도식,,,,,,,,,,,,22억,,,,,,,,,,
16,남산맨션,155㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,155.71,147.84,95,3,2,10,복도식,,,,,,,,,,,,,,,,3억/400,,3억/400,,,,
17,남산맨션,186㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,186.84,177.55,95,4,2,13,복도식,,,,,,,,,,,29억,30억,,,,12억/150,,12억/150,,,,
18,남산맨션,208㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,208.89,205.85,99,4,2,1,복도식,,,,,,,,,,,,,,,,,,,,,,
19,남산맨션,229㎡,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,229.22,217.85,95,4,2,1,복도식,,,,,,,,,,,,,,,,,,,,,,
20,남산맨션,487,서울시 용산구 한남동,1117013100,726-74,서울시 용산구 소월로 377,37.544287,127.001511,138,0,16,16,227,0,0,,HT002,487.11,462.94,95,4,2,1,복도식,,,,,,,,,,,,,,,,,,,,,,
0,뉴캐슬하우스,64㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,64.66,57.04,88,2,1,1,계단식,271800,642420,54360,316260,0,0,0,,,,,,,,,,,,,,,
1,뉴캐슬하우스,72㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,72.7,64.13,88,2,1,1,계단식,341100,774090,68220,364770,0,0,0,,,,,,,,,,,,,,,
2,뉴캐슬하우스,77㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,77.03,67.95,88,3,2,1,계단식,360000,810000,72000,378000,0,0,0,,,,,,,,,,,,,,,
3,뉴캐슬하우스,78A㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,78.25,69.03,88,3,2,1,계단식,339300,770670,67860,363510,0,0,0,,,,,,,,,,,,,,,
4,뉴캐슬하우스,78B㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,78.4,69.16,88,3,2,1,계단식,360000,810000,72000,378000,0,0,0,,,,,,,,,,,,,,,
5,뉴캐슬하우스,90㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,90.41,79.76,88,3,2,1,계단식,516600,1078560,103320,458640,0,0,0,,,,,,,9억,,,,,,,,
6,뉴캐슬하우스,94A㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,94.77,83.6,88,3,2,1,계단식,626850,1254960,125370,502740,0,0,0,,,,,,,,,,,,,,,
7,뉴캐슬하우스,94B㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,94.81,83.64,88,3,2,1,계단식,670950,1325520,134190,520380,0,0,0,,,,,,,,,,,,,,,
8,뉴캐슬하우스,94C㎡,서울시 용산구 한남동,1117013100,684-82,서울시 용산구 대사관로7길 8,37.534463,127.000895,17,0,6,2,210,56,17,(주)경암토건,HT001,94.99,83.79,88,3,2,1,계단식,670950,1325520,134190,520380,0,0,0,,,,,,,,,,,,,,,
