,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LG,77㎡,서울시 은평구 불광동,1138010300,444-41,서울시 은평구 연서로37길 37,37.62477,126.92735,19,0,7,7,299,53,19,다이아건설(주),HT001,77.86,67.89,87,3,2,7,계단식,60450,199170,12090,126630,0,0,0,,,,,,,,,,,,,,,
1,LG,95㎡,서울시 은평구 불광동,1138010300,444-41,서울시 은평구 연서로37길 37,37.62477,126.92735,19,0,7,7,299,53,19,다이아건설(주),HT001,95.25,83.04,87,3,2,5,계단식,81150,252990,16230,155610,0,0,0,,,,,,,,,,,,,,,
2,LG,100,서울시 은평구 불광동,1138010300,444-41,서울시 은평구 연서로37길 37,37.62477,126.92735,19,0,7,7,299,53,19,다이아건설(주),HT001,100.98,88.05,87,4,2,7,계단식,86550,267030,17310,163170,0,0,0,,,,,,,,,,,,,,,
0,갤럭시타운(도시형),52,서울시 은평구 불광동,1138010300,281-81,서울시 은평구 불광로 40-9,37.610661,126.93065,24,0,11,11,458,58,12,(주)흥안종합건설,HT001,52.39,44.85,86,3,1,24,계단식,64500,209700,12900,132300,0,0,0,,,,,,,,,,,,,,,
0,거장노블레스(주상복합),36㎡,서울시 은평구 불광동,1138010300,274-1,서울시 은평구 불광로 37-6,37.611621,126.929983,4,0,10,10,357,49,3,(주)해담종합건설,HT001,36.38,29.08,80,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,거장노블레스(주상복합),50㎡,서울시 은평구 불광동,1138010300,274-1,서울시 은평구 불광로 37-6,37.611621,126.929983,4,0,10,10,357,49,3,(주)해담종합건설,HT001,50.71,40.54,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,거장노블레스(주상복합),51㎡,서울시 은평구 불광동,1138010300,274-1,서울시 은평구 불광로 37-6,37.611621,126.929983,4,0,10,10,357,49,3,(주)해담종합건설,HT001,51.5,41.17,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,거장노블레스(주상복합),64,서울시 은평구 불광동,1138010300,274-1,서울시 은평구 불광로 37-6,37.611621,126.929983,4,0,10,10,357,49,3,(주)해담종합건설,HT001,64.01,51.19,80,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,"경인에버빌(285-18,도시형)",33㎡,서울시 은평구 불광동,1138010300,285-18,서울시 은평구 통일로 708-3,37.609423,126.931687,22,0,13,12,499,59,15,(주)가인종합건설,HT001,33.42,26.82,80,1,1,7,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,,,,
1,"경인에버빌(285-18,도시형)",34A㎡,서울시 은평구 불광동,1138010300,285-18,서울시 은평구 통일로 708-3,37.609423,126.931687,22,0,13,12,499,59,15,(주)가인종합건설,HT001,34.84,27.96,80,1,1,7,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,,,,
2,"경인에버빌(285-18,도시형)",35B㎡,서울시 은평구 불광동,1138010300,285-18,서울시 은평구 통일로 708-3,37.609423,126.931687,22,0,13,12,499,59,15,(주)가인종합건설,HT001,35.13,28.18,80,1,1,1,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,,,,
3,"경인에버빌(285-18,도시형)",36C,서울시 은평구 불광동,1138010300,285-18,서울시 은평구 통일로 708-3,37.609423,126.931687,22,0,13,12,499,59,15,(주)가인종합건설,HT001,36.73,29.47,80,1,1,7,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,,,,
0,구르미,73㎡,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,73.25,62.96,86,3,1,1,계단식,68100,219060,13620,137340,0,0,0,,,,,,,,,,,,,,,
1,구르미,74㎡,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,74.98,64.45,86,3,1,1,계단식,70800,226080,14160,141120,0,0,0,,,,,,,,,,,,,,,
2,구르미,83㎡,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,83.17,71.49,86,3,1,1,계단식,81150,252990,16230,155610,0,0,0,,,,,7억,,,,,,,,,,
3,구르미,98C㎡,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,98.69,84.84,86,3,2,6,계단식,100950,304470,20190,183330,0,0,0,,,,,,,,,,,,,,,
4,구르미,98A㎡,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,98.52,84.69,86,3,2,5,계단식,103650,311490,20730,187110,0,0,0,,,,,,,,,,,,,,,
5,구르미,98B,서울시 은평구 불광동,1138010300,479-10,서울시 은평구 통일로94길 31,37.627329,126.921711,19,0,7,7,184,32,21,남양종합건설(주),HT001,98.59,84.75,86,3,2,5,계단식,103650,311490,20730,187110,0,0,0,,,,,,,,,,,,,,,
0,그린라이프,77㎡,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,77.03,67.08,87,3,2,1,계단식,66750,215550,13350,135450,0,0,0,,,,,,,,,,,,,,,
1,그린라이프,94A㎡,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,94.66,82.43,87,3,2,1,계단식,88800,272880,17760,166320,0,0,0,,,,,,,,,,,,,,,
2,그린라이프,95B㎡,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,95.03,82.75,87,3,2,1,계단식,88800,272880,17760,166320,0,0,0,,,,,,,,,,,,,,,
3,그린라이프,97㎡,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,97.51,84.91,87,3,2,4,계단식,90150,276390,18030,168210,0,0,0,,,,,,,,,,,,,,,
4,그린라이프,97C㎡,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,97.08,84.54,87,3,2,3,계단식,90150,276390,18030,168210,0,0,0,,,,,,,,,,,,,,,
5,그린라이프,113,서울시 은평구 불광동,1138010300,230-2,서울시 은평구 불광로13가길 7,37.618041,126.931734,11,0,7,6,274,56,12,강진종합건설(주),HT001,113.15,98.53,87,3,2,1,계단식,103200,310320,20640,186480,0,0,0,,,,,,,,,,,,,,,
0,금상,100㎡,서울시 은평구 불광동,1138010300,346-3,서울시 은평구 연서로34가길 6-12,37.620552,126.927439,20,0,6,5,245,49,26,금상산업(주),HT001,100,84.95,85,3,2,16,계단식,92400,282240,18480,171360,0,0,0,,,,,,,,,,,,,,,
1,금상,154,서울시 은평구 불광동,1138010300,346-3,서울시 은평구 연서로34가길 6-12,37.620552,126.927439,20,0,6,5,245,49,26,금상산업(주),HT001,154.42,131.18,85,3,2,4,계단식,140400,392760,28080,224280,0,0,0,,,,,,,,,,,,,,,
0,금화베스트빌,29㎡,서울시 은평구 불광동,1138010300,281-68,서울시 은평구 불광로 42-11,37.610774,126.930928,8,0,7,7,302,55,3,디에이치디건설,HT001,29.77,19.67,66,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,금화베스트빌,32,서울시 은평구 불광동,1138010300,281-68,서울시 은평구 불광로 42-11,37.610774,126.930928,8,0,7,7,302,55,3,디에이치디건설,HT001,32.9,21.74,66,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
0,남해그린힐,79㎡,서울시 은평구 불광동,1138010300,632,서울시 은평구 불광로6길 20,37.613794,126.9344,100,0,10,10,288,30,100,(주)남해종합건설,HT001,79.54,58.67,74,3,1,4,계단식,86550,267030,17310,163170,0,0,0,,,,,"4억 3,000",,,,,,,,,,
1,남해그린힐,81㎡,서울시 은평구 불광동,1138010300,632,서울시 은평구 불광로6길 20,37.613794,126.9344,100,0,10,10,288,30,100,(주)남해종합건설,HT001,81.17,59.87,74,3,1,36,계단식,87450,269370,17490,164430,0,0,0,,,,,4억,,"2억 4,200",,,,,,,,
2,남해그린힐,97㎡,서울시 은평구 불광동,1138010300,632,서울시 은평구 불광로6길 20,37.613794,126.9344,100,0,10,10,288,30,100,(주)남해종합건설,HT001,97.26,75.42,78,3,2,6,계단식,90600,277560,18120,168840,0,0,0,,,,,,,,,,,,,,,
