,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경희궁롯데캐슬,82㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,82.99,59.67,72,3,2,71,계단식,1065600,1872180,213120,593460,0,0,0,,224601,233606,12억,"12억 8,000",,"7억 5,000",,3억/200,,3억/200,,,,
1,경희궁롯데캐슬,114㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,114.49,84.87,74,3,2,100,계단식,1449000,2466450,289800,727650,166320,138600,27720,,319470,332278,15억,18억,,,,,,,,,,
2,경희궁롯데캐슬,141㎡,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,141.77,104.44,74,4,2,12,계단식,1855800,3096990,371160,870030,849744,708120,141624,,393112,408873,20억,25억,,"12억 5,000",,,,,,,,
3,경희궁롯데캐슬,150,서울시 종로구 무악동,1111018700,89,서울시 종로구 통일로 230,37.574142,126.959448,195,0,16,12,209,25,229,롯데건설(주),HT001,150,110.85,74,4,3,12,계단식,1956600,3253230,391320,905310,1019088,849240,169848,,417242,433970,,22억,,13억,,,,,,,,
0,무악(주상복합),80,서울시 종로구 무악동,1111018700,63-4,서울시 종로구 통일로 272,37.576183,126.956344,17,0,4,4,0,0,0,,HT001,80.76,80.76,100,3,2,17,계단식,186900,426720,37380,202440,0,0,0,,,,,"7억 5,000",,,,,,,,,,
0,무악다온채,39㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,39.6,33.76,85,2,1,1,계단식,48750,168750,9750,110250,0,0,0,,,,,,,,,,,,,,,
1,무악다온채,60㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,60.25,51.36,85,2,1,1,계단식,93750,285750,18750,173250,0,0,0,,,,,,,,,,,,,,,
2,무악다온채,75㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,75.21,64.12,85,3,2,1,계단식,118500,350100,23700,207900,0,0,0,,,,,,,,,,,,,,,
3,무악다온채,85㎡,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,85.68,73.05,85,3,2,1,계단식,153900,418410,30780,233730,0,0,0,,,,,,,,,,,,,,,
4,무악다온채,99,서울시 종로구 무악동,1111018700,66-1,서울시 종로구 통일로14길 35,37.576116,126.957896,16,0,9,9,249,43,17,케이앤에이치건설(주),HT001,99.5,84.82,85,3,2,12,계단식,210600,526140,42120,273420,0,0,0,,,,,,,,,,,,,,,
0,무악현대,84㎡,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,84.33,60,71,3,1,207,복도식,414900,914310,82980,416430,0,0,0,,155868,156349,"8억 4,000","9억 5,000","4억 2,000","4억 8,000",,,,,,,,
1,무악현대,96㎡,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,96.52,74.6,77,3,2,1,계단식,366300,821970,73260,382410,0,0,0,,193796,194394,,,,,,,,,,,,
2,무악현대,109㎡,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,109.88,84.92,77,3,2,454,계단식,1022400,1805220,204480,578340,0,0,0,,220605,221287,"11억 8,000","12억 8,000",,6억,,,,,,,,
3,무악현대,141,서울시 종로구 무악동,1111018700,82,서울시 종로구 통일로 246-20,37.575245,126.960297,964,0,23,10,218,18,1162,현대건설,HT001,141.72,114.9,81,4,2,302,계단식,1193400,2070270,238680,638190,0,0,0,,298487,299409,13억,15억,,,,,,,,,,
0,인왕산2차아이파크,108A㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.37,84.02,78,3,2,27,계단식,1024200,1808010,204840,578970,0,0,0,,227982,223950,"12억 5,000",13억,,,,,,,,,,
1,인왕산2차아이파크,108C㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.49,84.23,78,3,2,15,계단식,1024200,1808010,204840,578970,0,0,0,,228554,224512,,,,7억,,,,,,,,
2,인왕산2차아이파크,108E㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.66,84.02,77,3,2,14,계단식,1024200,1808010,204840,578970,0,0,0,,227981,223949,,12억,,,,,,,,,,
3,인왕산2차아이파크,108F㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.81,84.74,78,3,2,14,계단식,1024200,1808010,204840,578970,0,0,0,,229934,225868,,"11억 4,000",,,,,,,,,,
4,인왕산2차아이파크,108G㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.66,84.45,78,3,2,13,계단식,1024200,1808010,204840,578970,0,0,0,,229136,225084,,12억,,,,,,,,,,
5,인왕산2차아이파크,108B㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.86,84.49,78,3,2,10,계단식,1024200,1808010,204840,578970,0,0,0,,229241,225186,,,,,,,,,,,,
6,인왕산2차아이파크,108H㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.26,84.06,78,3,2,9,계단식,1024200,1808010,204840,578970,0,0,0,,228089,224055,,,,,,,,,,,,
7,인왕산2차아이파크,108D㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.29,84.24,78,3,2,8,계단식,1024200,1808010,204840,578970,0,0,0,,228563,224521,,"11억 5,000",,,,,,,,,,
8,인왕산2차아이파크,108L㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.86,84.49,78,3,2,6,계단식,756000,1461600,151200,554400,0,0,0,,229241,225186,,,,,,,,,,,,
9,인왕산2차아이파크,108M㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.29,84.24,78,3,2,6,계단식,1024200,1808010,204840,578970,0,0,0,,228563,224521,,13억,,"6억 5,000",,,,,,,,
10,인왕산2차아이파크,108K㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.37,84.02,78,3,2,5,계단식,1024200,1808010,204840,578970,0,0,0,,227982,223950,"11억 4,000",13억,,,,,,,,,,
11,인왕산2차아이파크,108N㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,108.26,84.06,78,3,2,4,계단식,756000,1461600,151200,554400,0,0,0,,228089,224055,,,,,,,,,,,,
12,인왕산2차아이파크,109J㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,109.44,84.33,77,3,2,1,계단식,648900,1290240,129780,511560,0,0,0,,228818,224772,,,,,,,,,,,,
13,인왕산2차아이파크,110I㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,110.09,84.97,77,3,2,2,계단식,727650,1416240,145530,543060,0,0,0,,230556,226479,,,,,,,,,,,,
14,인왕산2차아이파크,144A㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,144.52,112.81,78,4,2,12,계단식,1213200,2100960,242640,645120,0,0,0,,306082,300669,,,,,,,,,,,,
15,인왕산2차아이파크,144E㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,144.26,112.53,78,4,2,11,계단식,1213200,2100960,242640,645120,0,0,0,,305311,299911,"14억 9,000","15억 7,000",,,,,,,,,,
16,인왕산2차아이파크,144B㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,144.26,112.53,78,4,2,6,계단식,1213200,2100960,242640,645120,0,0,0,,305311,299911,,,,,,,,,,,,
17,인왕산2차아이파크,144C㎡,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,144.9,112.43,78,4,2,2,계단식,1069200,1877760,213840,594720,0,0,0,,305061,299666,,,,,,,,,,,,
18,인왕산2차아이파크,144D,서울시 종로구 무악동,1111018700,88,서울시 종로구 통일로18길 34,37.575848,126.959547,167,0,17,2,245,28,210,현대산업개발(주),HT001,144.52,112.81,78,4,2,2,계단식,1213200,2100960,242640,645120,0,0,0,,306082,300669,,,,,,,,,,,,
0,인왕산현대아이파크,84㎡,서울시 종로구 무악동,1111018700,60,서울시 종로구 통일로18길 9,37.577137,126.957225,810,0,17,10,247,20,1108,현대산업개발(주),HT001,84.19,59.99,71,3,2,34,계단식,483525,1025640,96705,445410,0,0,0,,144946,152567,"11억 3,000","12억 5,000",,,,,,,,,,
