,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,CS타워(도시형),33B㎡,서울시 종로구 충신동,1111016700,62-2,서울시 종로구 율곡로20길 24,37.575099,127.00402,68,0,15,15,493,59,23,(주)태주종합건설,HT001,33.59,22.17,66,1,1,34,복도식,,,,,,,,,,,"1억 4,500","1억 6,900","1억 8,000","1억 8,500",,,,,,,,
1,CS타워(도시형),34A,서울시 종로구 충신동,1111016700,62-2,서울시 종로구 율곡로20길 24,37.575099,127.00402,68,0,15,15,493,59,23,(주)태주종합건설,HT001,34.39,21.94,64,1,1,34,복도식,,,,,,,,,,,,,,,,,,,,,,
0,힐스테이트창경궁(주상복합),80㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,80.27,63.09,79,2,2,15,계단식,,,,,,,,,,,,,,"7억 9,000","5,000/235","2억 5,000/180","5,000/235","2억 5,000/180",,,,
1,힐스테이트창경궁(주상복합),96A㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,96.46,76.82,80,3,2,29,계단식,,,,,,,,,,,,,,7억,,,,,,,,
2,힐스테이트창경궁(주상복합),96B㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,96.97,76.83,79,3,2,12,계단식,,,,,,,,,,,,15억,,,,,,,,,,
3,힐스테이트창경궁(주상복합),106A㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.19,84.95,80,3,2,39,계단식,,,,,,,,,,,15억,17억,,,,,,,,,,
4,힐스테이트창경궁(주상복합),106C㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.29,84.97,80,3,2,26,계단식,,,,,,,,,,,,,,,,,,,,,,
5,힐스테이트창경궁(주상복합),106B㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.29,84.97,80,3,2,13,계단식,,,,,,,,,,,,,,,,,,,,,,
6,힐스테이트창경궁(주상복합),106E㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,106.19,84.95,80,3,2,12,계단식,,,,,,,,,,,,,,,2억/250,3억/200,2억/250,3억/200,,,,
7,힐스테이트창경궁(주상복합),107D㎡,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,107.32,84.96,79,3,2,13,계단식,,,,,,,,,,,,,,,,,,,,,,
8,힐스테이트창경궁(주상복합),151,서울시 종로구 충신동,1111016700,60번지 일대,서울시 종로구 율곡로 236,37.575262,127.00465,181,21,15,15,596,59,230,현대건설(주),HT001,151.6,118.87,78,4,2,1,계단식,,,,,,,,,,,,,,23억,,5억/600,,5억/600,,,,
