,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경희궁자이3단지,81A㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,81,59.85,74,3,2,97,계단식,1573200,2658960,314640,771120,374976,312480,62496,,213034,225997,"15억 5,000","17억 5,000",,,,1억/310,,1억/310,,,,
1,경희궁자이3단지,81D㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,81.48,59.75,73,3,2,48,계단식,1573200,2658960,314640,771120,374976,312480,62496,,212678,225620,15억,17억,,,,,,,,,,
2,경희궁자이3단지,81E㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,81.94,59.94,73,3,2,22,계단식,1573200,2658960,314640,771120,374976,312480,62496,,213347,226329,,17억,,,,,,,,,,
3,경희궁자이3단지,81F㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,81.06,59.47,73,3,2,22,계단식,1573200,2658960,314640,771120,374976,312480,62496,,211669,224549,,18억,,,,,,,,,,
4,경희궁자이3단지,102A1㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,102.92,77.65,75,3,2,38,계단식,1810800,3027240,362160,854280,774144,645120,129024,,276386,293204,,18억,,,,,,,,,,
5,경희궁자이3단지,103A㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,103.26,77.97,76,3,2,14,계단식,1810800,3027240,362160,854280,774144,645120,129024,,277523,294410,,,,"9억 2,000",,,,,,,,
6,경희궁자이3단지,110A㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,110.8,84.61,76,3,2,113,계단식,2176200,3593610,435240,982170,1388016,1156680,231336,,301157,319482,20억,23억,"9억 8,000",10억,"2,000/400",6억/160,"2,000/400",6억/160,,,,
7,경희궁자이3단지,111B㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,111.94,84.83,76,3,2,184,계단식,2176200,3593610,435240,982170,1388016,1156680,231336,,301947,320320,19억,23억,10억,14억,2억/330,8억/80,2억/330,8억/80,,,,
8,경희궁자이3단지,111C㎡,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,111.55,84.94,76,3,2,36,계단식,2176200,3593610,435240,982170,1388016,1156680,231336,,302333,320729,"20억 5,000",21억,,,,,,,,,,
9,경희궁자이3단지,148A,서울시 종로구 평동,1111017700,233,서울시 종로구 경교장길 35,37.569144,126.965989,589,0,20,8,241,33,760,지에스건설(주),HT001,148.93,116.93,79,4,2,15,계단식,2757600,4494780,551520,1185660,2770848,2309040,461808,,416206,441531,,33억,,,,,,,,,,
