,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,건영포레스트빌(도시형),36A㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,36.24,31.12,86,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,건영포레스트빌(도시형),37B㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,37.8,32.41,86,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,건영포레스트빌(도시형),38㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,38.02,32.64,86,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,건영포레스트빌(도시형),45A㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,45.87,39.31,86,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
4,건영포레스트빌(도시형),45B㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,45.97,39.39,86,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,건영포레스트빌(도시형),48㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,48.46,41.48,86,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,건영포레스트빌(도시형),53A㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,53.61,45.9,86,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,건영포레스트빌(도시형),54B㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,54.09,46.33,86,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
8,건영포레스트빌(도시형),62A㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,62.24,53.2,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
9,건영포레스트빌(도시형),62B㎡,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,62.28,53.27,86,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
10,건영포레스트빌(도시형),62C,서울시 구로구 오류동,1153010800,242-1,서울시 구로구 오리로13가길 26,37.489025,126.830808,26,0,5,4,172,58,19,(주)건영,HT001,62.75,53.64,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,경남아너스빌,84㎡,서울시 구로구 오류동,1153010800,344,서울시 구로구 오류로 65,37.49017,126.83967,296,0,24,5,267,20,322,경남기업(주),HT001,84.74,59.98,71,3,1,45,계단식,238500,579150,47700,292950,0,0,0,,163348,162289,"6억 2,000","6억 5,000",,,,,,,,,,
1,경남아너스빌,112A㎡,서울시 구로구 오류동,1153010800,344,서울시 구로구 오류로 65,37.49017,126.83967,296,0,24,5,267,20,322,경남기업(주),HT001,112.08,84.98,76,3,2,138,계단식,304200,703980,60840,338940,0,0,0,,231433,229931,"7억 1,000","8억 2,000",,,,,,,,,,
2,경남아너스빌,112B㎡,서울시 구로구 오류동,1153010800,344,서울시 구로구 오류로 65,37.49017,126.83967,296,0,24,5,267,20,322,경남기업(주),HT001,112.34,84.91,76,3,2,20,계단식,276300,650970,55260,319410,0,0,0,,231242,229742,,"7억 5,000",,,,,,,,,,
3,경남아너스빌,114,서울시 구로구 오류동,1153010800,344,서울시 구로구 오류로 65,37.49017,126.83967,296,0,24,5,267,20,322,경남기업(주),HT001,114.26,84.93,74,3,2,93,계단식,305100,705690,61020,339570,0,0,0,,231296,229796,"7억 5,000",8억,,,,,,,,,,
0,그랑프리(도시형),19A㎡,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,19.73,13.38,68,1,1,5,복도식,,,,,,,,,,,,,,1억 900,,,,,,,,
1,그랑프리(도시형),20B㎡,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,20.94,14.2,68,1,1,10,복도식,,,,,,,,,,,,,,,,,,,,,,
2,그랑프리(도시형),21C㎡,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,21.25,14.41,68,1,1,5,복도식,,,,,,,,,,,,,,,,,,,,,,
3,그랑프리(도시형),22㎡,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,22.2,15.05,68,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
4,그랑프리(도시형),26㎡,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,26.07,17.68,68,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
5,그랑프리(도시형),54,서울시 구로구 오류동,1153010800,11-3,서울시 구로구 경인로 193-17,37.495916,126.841954,29,0,10,10,546,59,9,(주)성재건설,HT001,54.72,37.1,68,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
0,금강,70㎡,서울시 구로구 오류동,1153010800,335,서울시 구로구 서해안로34가길 18,37.493188,126.847752,247,0,19,19,299,24,178,(주)금강주택,HT001,70.45,55.56,79,3,1,1,복도식,69450,222570,13890,139230,0,0,0,,142929,136712,,,,,,,,,,,,
