,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,거성학마을,76㎡,서울시 도봉구 방학동,1132010600,701-15,서울시 도봉구 도당로 116,37.666532,127.039456,347,0,18,12,339,29,0,(주)거성주택,HT001,76.26,59.99,79,3,1,153,계단식,125100,363690,25020,213570,0,0,0,,148799,145774,"4억 6,000","5억 8,000",,"2억 7,000",,2억/30,,2억/30,,,,
1,거성학마을,97㎡,서울시 도봉구 방학동,1132010600,701-15,서울시 도봉구 도당로 116,37.666532,127.039456,347,0,18,12,339,29,0,(주)거성주택,HT001,97.94,77.05,79,3,2,18,계단식,185400,478260,37080,255780,0,0,0,,191114,187230,,,,,,,,,,,,
2,거성학마을,107㎡,서울시 도봉구 방학동,1132010600,701-15,서울시 도봉구 도당로 116,37.666532,127.039456,347,0,18,12,339,29,0,(주)거성주택,HT001,107.95,84.93,79,3,2,104,계단식,197100,500490,39420,263970,0,0,0,,210659,206378,"5억 5,000",6억,"3억 7,000",4억,,,,,,,,
3,거성학마을,170,서울시 도봉구 방학동,1132010600,701-15,서울시 도봉구 도당로 116,37.666532,127.039456,347,0,18,12,339,29,0,(주)거성주택,HT001,170.69,134.29,79,4,2,72,계단식,252900,606510,50580,303030,0,0,0,,333091,326322,"7억 3,000",8억,"4억 3,000","4억 5,000",,,,,,,,
0,극동,106,서울시 도봉구 방학동,1132010600,730,서울시 도봉구 시루봉로11길 25-8,37.66462,127.02664,167,0,14,6,302,0,147,극동건설(주),HT001,106.71,84.93,80,3,2,167,계단식,136800,385920,27360,221760,0,0,0,,193136,225104,"4억 2,000","5억 8,000",,,,,,,,,,
0,금광포란재,76㎡,서울시 도봉구 방학동,1132010600,714-1,서울시 도봉구 도봉로150바길 26,37.664685,127.044966,105,0,15,15,252,21,95,(주)금광건업,HT001,76.69,59.61,78,3,2,75,계단식,183600,474840,36720,254520,0,0,0,,,,"5억 6,000","6억 2,000",,"3억 3,000",,,,,,,,
1,금광포란재,107,서울시 도봉구 방학동,1132010600,714-1,서울시 도봉구 도봉로150바길 26,37.664685,127.044966,105,0,15,15,252,21,95,(주)금광건업,HT001,107.44,84.63,79,3,2,30,계단식,234900,572310,46980,290430,0,0,0,,,,,,"3억 8,000",4억,,1억/100,,1억/100,,,,
0,대상타운현대,80㎡,서울시 도봉구 방학동,1132010600,720-1,서울시 도봉구 마들로 616,37.665538,127.047902,1278,0,23,19,301,19,1985,대상(주),HT001,80.24,60,75,3,2,166,계단식,295200,686880,59040,332640,0,0,0,,153134,144538,"6억 3,000","7억 5,000","3억 8,000","3억 9,000",,,,,,,,
1,대상타운현대,109㎡,서울시 도봉구 방학동,1132010600,720-1,서울시 도봉구 마들로 616,37.665538,127.047902,1278,0,23,19,301,19,1985,대상(주),HT001,109.43,84.78,77,3,2,608,계단식,408600,902340,81720,412020,0,0,0,,216377,204231,8억,"9억 8,000",,"4억 5,000","5,000/180","4억 2,000/20","5,000/180","4억 2,000/20",,,,
2,대상타운현대,127A㎡,서울시 도봉구 방학동,1132010600,720-1,서울시 도봉구 마들로 616,37.665538,127.047902,1278,0,23,19,301,19,1985,대상(주),HT001,127.14,101.4,80,3,2,122,계단식,444150,962640,88830,429660,0,0,0,,258796,244269,"9억 2,000","12억 5,000",,,,"3억 8,000/70",,"3억 8,000/70",,,,
3,대상타운현대,128B㎡,서울시 도봉구 방학동,1132010600,720-1,서울시 도봉구 마들로 616,37.665538,127.047902,1278,0,23,19,301,19,1985,대상(주),HT001,128.2,101.48,79,3,2,40,계단식,444150,962640,88830,429660,0,0,0,,259000,244461,"9억 5,000",12억,,,,,,,,,,
