,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DK포시즌,95A㎡,서울시 도봉구 창동,1132010700,442-33,서울시 도봉구 덕릉로 283,37.642409,127.041285,19,0,7,2,262,59,22,디케이종합건설(주),HT001,95.02,77.85,82,3,2,6,계단식,62700,205020,12540,129780,0,0,0,,,,,,,,,,,,,,,
1,DK포시즌,96B㎡,서울시 도봉구 창동,1132010700,442-33,서울시 도봉구 덕릉로 283,37.642409,127.041285,19,0,7,2,262,59,22,디케이종합건설(주),HT001,96.65,79.2,82,3,2,5,계단식,62700,205020,12540,129780,0,0,0,,,,,,,,,,,,,,,
2,DK포시즌,96C㎡,서울시 도봉구 창동,1132010700,442-33,서울시 도봉구 덕릉로 283,37.642409,127.041285,19,0,7,2,262,59,22,디케이종합건설(주),HT001,96.81,79.32,82,3,2,1,계단식,56400,188640,11280,120960,0,0,0,,,,,,,,,,,,,,,
3,DK포시즌,102A㎡,서울시 도봉구 창동,1132010700,442-33,서울시 도봉구 덕릉로 283,37.642409,127.041285,19,0,7,2,262,59,22,디케이종합건설(주),HT001,102.15,83.7,82,3,2,6,계단식,66300,214380,13260,134820,0,0,0,,,,,,,,,,,,,,,
4,DK포시즌,102B,서울시 도봉구 창동,1132010700,442-33,서울시 도봉구 덕릉로 283,37.642409,127.041285,19,0,7,2,262,59,22,디케이종합건설(주),HT001,102.53,84,82,3,2,1,계단식,60000,198000,12000,126000,0,0,0,,,,,,,,,,,,,,,
0,건영캐스빌,75A㎡,서울시 도봉구 창동,1132010700,635-42,서울시 도봉구 우이천로20길 7,37.641628,127.03393,300,0,19,4,322,26,390,(주)건영,HT001,75.51,55.67,74,3,1,48,계단식,181800,471420,36360,253260,0,0,0,,144332,147881,"5억 4,000","5억 5,000",,,,,,,,,,
1,건영캐스빌,76B㎡,서울시 도봉구 창동,1132010700,635-42,서울시 도봉구 우이천로20길 7,37.641628,127.03393,300,0,19,4,322,26,390,(주)건영,HT001,76.34,56.38,74,3,1,16,계단식,181800,471420,36360,253260,0,0,0,,146181,149776,,"5억 3,000",,,,,,,,,,
2,건영캐스빌,107㎡,서울시 도봉구 창동,1132010700,635-42,서울시 도봉구 우이천로20길 7,37.641628,127.03393,300,0,19,4,322,26,390,(주)건영,HT001,107.46,80.14,75,3,2,160,계단식,273600,645840,54720,317520,0,0,0,,207790,212900,"6억 5,000",9억,,,,,,,,,,
3,건영캐스빌,163,서울시 도봉구 창동,1132010700,635-42,서울시 도봉구 우이천로20길 7,37.641628,127.03393,300,0,19,4,322,26,390,(주)건영,HT001,163.04,122.43,75,4,2,76,계단식,333000,758700,66600,359100,0,0,0,,317408,325213,,"8억 5,000",,,,,,,,,,
0,금강,42㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,42.27,37.23,88,2,1,2,계단식,22478,89911,4496,62937,0,0,0,,,,,,,,,,,,,,,
1,금강,44㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,44.65,39.33,88,2,1,2,계단식,24300,97200,4860,68040,0,0,0,,,,,,,,,,,,,,,
2,금강,62㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,62.54,55.09,88,2,1,4,계단식,41550,150030,8310,100170,0,0,0,,,,,,,,,,,,,,,
3,금강,68A㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,68.09,59.98,88,3,2,4,계단식,42000,151200,8400,100800,0,0,0,,,,,,,,,,,,,,,
4,금강,70B㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,70.46,62.06,88,3,2,4,계단식,45150,159390,9030,105210,0,0,0,,,,,,,,,,,,,,,
5,금강,82A㎡,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,82.6,72.76,88,3,2,4,계단식,60450,199170,12090,126630,0,0,0,,,,,,,,,,,,,,,
6,금강,83B,서울시 도봉구 창동,1132010700,629-24,서울시 도봉구 도봉로110라길 42,37.644446,127.035876,28,0,6,5,0,0,24,금강주택건설(주),HT001,83.06,73.16,88,3,2,8,계단식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
0,금성파크,42㎡,서울시 도봉구 창동,1132010700,665-25,서울시 도봉구 노해로62길 61,37.648578,127.038397,10,0,7,5,217,48,9,(주)서해종합건설,HT001,42.89,36.56,85,2,1,1,계단식,22725,90900,4545,63630,0,0,0,,,,,,,,,,,,,,,
1,금성파크,57㎡,서울시 도봉구 창동,1132010700,665-25,서울시 도봉구 노해로62길 61,37.648578,127.038397,10,0,7,5,217,48,9,(주)서해종합건설,HT001,57.45,48.98,85,2,1,1,계단식,29250,117000,5850,81900,0,0,0,,,,,,,,,,,,,,,
2,금성파크,83㎡,서울시 도봉구 창동,1132010700,665-25,서울시 도봉구 노해로62길 61,37.648578,127.038397,10,0,7,5,217,48,9,(주)서해종합건설,HT001,83.68,71.33,85,3,1,4,계단식,55950,187470,11190,120330,0,0,0,,,,,,,,,,,,,,,
3,금성파크,87㎡,서울시 도봉구 창동,1132010700,665-25,서울시 도봉구 노해로62길 61,37.648578,127.038397,10,0,7,5,217,48,9,(주)서해종합건설,HT001,87.33,74.45,85,3,1,2,계단식,57300,190980,11460,122220,0,0,0,,,,,,,,,,,,,,,
4,금성파크,89,서울시 도봉구 창동,1132010700,665-25,서울시 도봉구 노해로62길 61,37.648578,127.038397,10,0,7,5,217,48,9,(주)서해종합건설,HT001,89.47,76.27,85,3,1,2,계단식,60000,198000,12000,126000,0,0,0,,,,,,,,,,,,,,,
0,넥스젠하우스(도시형),18A㎡,서울시 도봉구 창동,1132010700,661-1,서울시 도봉구 도봉로120길 10,37.650612,127.036668,20,0,9,9,411,58,4,(주)우일건설,HT001,18.99,12,63,1,1,1,계단식,20385,81540,4077,57078,0,0,0,,,,,,,,,,,,,,,
1,넥스젠하우스(도시형),19C㎡,서울시 도봉구 창동,1132010700,661-1,서울시 도봉구 도봉로120길 10,37.650612,127.036668,20,0,9,9,411,58,4,(주)우일건설,HT001,19.14,12.09,63,1,1,4,계단식,20723,82891,4145,58023,0,0,0,,,,,,,,,,,,,,,
2,넥스젠하우스(도시형),19F㎡,서울시 도봉구 창동,1132010700,661-1,서울시 도봉구 도봉로120길 10,37.650612,127.036668,20,0,9,9,411,58,4,(주)우일건설,HT001,19.3,12.2,63,1,1,4,계단식,20723,82891,4145,58023,0,0,0,,,,,,,,,,,,,,,
3,넥스젠하우스(도시형),19B㎡,서울시 도봉구 창동,1132010700,661-1,서울시 도봉구 도봉로120길 10,37.650612,127.036668,20,0,9,9,411,58,4,(주)우일건설,HT001,19.05,12.04,63,1,1,1,계단식,20723,82891,4145,58023,0,0,0,,,,,,,,,,,,,,,
4,넥스젠하우스(도시형),19D㎡,서울시 도봉구 창동,1132010700,661-1,서울시 도봉구 도봉로120길 10,37.650612,127.036668,20,0,9,9,411,58,4,(주)우일건설,HT001,19.24,12.16,63,1,1,1,계단식,20723,82891,4145,58023,0,0,0,,,,,,,,,,,,,,,
