,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,답십리대우,89㎡,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,89.12,59.76,67,3,1,109,복합식,349200,789480,69840,370440,0,0,0,,149786,150527,"7억 1,000","7억 5,000",,,,,,,,,,
1,답십리대우,108㎡,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,108.45,84.99,78,3,2,128,복합식,429975,939960,85995,423990,0,0,0,,213025,214078,"8억 8,000","9억 5,000",,,,,,,,,,
2,답십리대우,141,서울시 동대문구 답십리동,1123010500,111,서울시 동대문구 답십리로41길 33,37.57364,127.053352,319,0,22,21,301,19,397,(주)대우건설,HT001,141.8,114.94,81,4,2,82,복합식,578025,1176840,115605,483210,0,0,0,,288093,289518,11억,"12억 5,000","5억 5,000","7억 5,000",,,,,,,,
0,답십리엘림퍼스트,70A㎡,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,70.28,52.69,75,3,2,39,계단식,,,,,,,,,,,"6억 2,000","6억 7,000",,,,,,,,,,
1,답십리엘림퍼스트,70B㎡,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,70.51,52.76,75,2,2,26,계단식,,,,,,,,,,,"6억 5,000",7억,,,,,,,,,,
2,답십리엘림퍼스트,71C,서울시 동대문구 답십리동,1123010500,1015,서울시 동대문구 전농로3길 20,37.568996,127.056348,79,0,15,9,199,25,73,"엘에스건설(주),(주)시온종합건설",HT001,71.24,52.96,74,2,2,14,계단식,,,,,,,,,,,,"6억 5,000",,,,,,,,,,
0,답십리청솔우성,78B㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,78.45,59.89,76,3,1,200,계단식,,,,,,,,,,,"6억 8,000",8억,,"4억 3,000",,,,,,,,
1,답십리청솔우성,78A㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,78.25,59.74,76,3,1,196,복도식,,,,,,,,,,,"6억 8,000","7억 5,000",,4억,"5,000/130","1억 5,000/100","5,000/130","1억 5,000/100",,,,
2,답십리청솔우성,108㎡,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,108.21,84.94,78,3,2,420,계단식,,,,,,,,,,,"8억 2,000",10억,,5억,2억/100,"3억 8,000/60",2억/100,"3억 8,000/60",,,,
3,답십리청솔우성,140,서울시 동대문구 답십리동,1123010500,80,서울시 동대문구 전농로10길 20,37.574897,127.059574,1542,432,25,6,258,19,1377,우성건설(주),HT001,140.69,114.76,82,4,2,294,계단식,,,,,,,,,,,9억,11억,,6억,1억/180,"1억 7,000/125",1억/180,"1억 7,000/125",,,,
0,답십리파크자이,68A㎡,서울시 동대문구 답십리동,1123010500,1014,서울시 동대문구 답십리로56길 105,37.567866,127.059718,802,140,20,13,243,22,880,GS건설(주),HT001,68.69,49.27,72,2,1,62,계단식,,,,,,,,,143718,156659,8억,"9억 5,000",,,,"5,000/180",,"5,000/180",,,,
1,답십리파크자이,69B㎡,서울시 동대문구 답십리동,1123010500,1014,서울시 동대문구 답십리로56길 105,37.567866,127.059718,802,140,20,13,243,22,880,GS건설(주),HT001,69.09,49.54,72,2,1,66,계단식,,,,,,,,,144506,157518,"8억 1,000","9억 2,000",,,,,,,,,,
2,답십리파크자이,83A㎡,서울시 동대문구 답십리동,1123010500,1014,서울시 동대문구 답십리로56길 105,37.567866,127.059718,802,140,20,13,243,22,880,GS건설(주),HT001,83.45,59.91,72,3,2,299,계단식,,,,,,,,,174755,190490,"9억 7,000","12억 5,000",,"5억 6,000",,"1억 5,000/175",,"1억 5,000/175",,,,
3,답십리파크자이,83E㎡,서울시 동대문구 답십리동,1123010500,1014,서울시 동대문구 답십리로56길 105,37.567866,127.059718,802,140,20,13,243,22,880,GS건설(주),HT001,83.55,59.91,72,3,2,39,계단식,,,,,,,,,174755,190490,,,,,,1억/180,,1억/180,,,,
4,답십리파크자이,84B㎡,서울시 동대문구 답십리동,1123010500,1014,서울시 동대문구 답십리로56길 105,37.567866,127.059718,802,140,20,13,243,22,880,GS건설(주),HT001,84.84,59.91,71,3,2,19,계단식,,,,,,,,,174755,190490,,10억,,,,,,,,,,
