,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LaHS하우스(도시형),33㎡,서울시 마포구 용강동,1144010500,149-7,서울시 마포구 대흥로6길 17,37.542248,126.939473,8,0,6,4,182,58,5,(주)시티종합건설,HT001,33.19,25.45,77,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,LaHS하우스(도시형),36A㎡,서울시 마포구 용강동,1144010500,149-7,서울시 마포구 대흥로6길 17,37.542248,126.939473,8,0,6,4,182,58,5,(주)시티종합건설,HT001,36.47,27.97,77,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,LaHS하우스(도시형),38B㎡,서울시 마포구 용강동,1144010500,149-7,서울시 마포구 대흥로6길 17,37.542248,126.939473,8,0,6,4,182,58,5,(주)시티종합건설,HT001,38.19,29.29,77,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
3,LaHS하우스(도시형),38D㎡,서울시 마포구 용강동,1144010500,149-7,서울시 마포구 대흥로6길 17,37.542248,126.939473,8,0,6,4,182,58,5,(주)시티종합건설,HT001,38.96,29.87,77,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,LaHS하우스(도시형),38C,서울시 마포구 용강동,1144010500,149-7,서울시 마포구 대흥로6길 17,37.542248,126.939473,8,0,6,4,182,58,5,(주)시티종합건설,HT001,38.82,29.77,77,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,e편한세상마포리버파크,84A㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,84.53,59.98,71,3,2,174,계단식,,,,,,,,,290283,231074,15억,"16억 5,000",,,5억/130,"6억 3,000/85",5억/130,"6억 3,000/85",,,,
1,e편한세상마포리버파크,108F㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,108.08,84.98,79,3,2,2,계단식,,,,,,,,,411275,327387,,,,,,,,,,,,
2,e편한세상마포리버파크,110A㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,110.47,84.98,77,3,2,80,계단식,,,,,,,,,411275,327387,,20억,,,,,,,,,,
3,e편한세상마포리버파크,111B㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,111.6,84.98,76,3,2,34,계단식,,,,,,,,,411275,327387,,,,,,,,,,,,
4,e편한세상마포리버파크,112C㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,112.28,84.98,76,3,2,84,계단식,,,,,,,,,411275,327387,20억,21억,,,,,,,,,,
5,e편한세상마포리버파크,112D㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,112.54,84.98,76,3,2,30,계단식,,,,,,,,,411275,327387,,"22억 6,000",,,,,,,,,,
6,e편한세상마포리버파크,112E㎡,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,112.62,84.98,75,3,2,15,계단식,,,,,,,,,411275,327387,,,,,,,,,,,,
7,e편한세상마포리버파크,152A,서울시 마포구 용강동,1144010500,508,서울시 마포구 토정로31길 24,37.541607,126.943492,547,93,21,11,237,23,634,대림산업(주),HT005,152.71,123.44,81,4,2,35,계단식,,,,,,,,,597409,475555,,26억,14억,"14억 5,000",,,,,,,,
0,강변그린,76,서울시 마포구 용강동,1144010500,495-1,서울시 마포구 대흥로2길 8,37.542002,126.937388,60,0,5,5,0,0,0,,HT001,76.03,59.5,78,3,1,60,계단식,,,,,,,,,,,,"5억 7,000","2억 9,000","3억 2,000",,2억/40,,2억/40,,,,
0,대호강변,98A㎡,서울시 마포구 용강동,1144010500,118-3,서울시 마포구 대흥로4길 54,37.540957,126.939602,18,0,7,7,198,40,21,두영종합건설,HT001,98.81,84.9,86,3,2,12,계단식,452025,975240,90405,432810,0,0,0,,,,,,,,,,,,,,,
1,대호강변,98B,서울시 마포구 용강동,1144010500,118-3,서울시 마포구 대흥로4길 54,37.540957,126.939602,18,0,7,7,198,40,21,두영종합건설,HT001,98.89,84.97,86,3,2,6,계단식,452025,975240,90405,432810,0,0,0,,,,,,,,,,,,,,,
0,두영,131㎡,서울시 마포구 용강동,1144010500,494-8,서울시 마포구 대흥로 20,37.542748,126.937654,18,0,7,7,294,50,30,두영건설(주),HT001,131.09,113.22,86,4,2,1,계단식,297000,690300,59400,333900,0,0,0,,,,,,,,,,,,,,,
