,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,e편한세상신촌,80C㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,80.51,59.85,74,3,2,28,계단식,,,,,,,,,172943,190562,,,,,,,,,,,,
1,e편한세상신촌,81A㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,81.24,59.85,74,3,2,315,계단식,,,,,,,,,172943,190562,"12억 4,000","13억 5,000",,,,3억/160,,3억/160,,,,
2,e편한세상신촌,81B㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,81.3,59.97,74,3,2,65,계단식,,,,,,,,,173290,190944,"12억 3,000","12억 5,000",,,,,,,,,,
3,e편한세상신촌,81D㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,81.43,59.96,74,3,2,27,계단식,,,,,,,,,173261,190912,"13억 2,000","13억 5,000",,,,,,,,,,
4,e편한세상신촌,83E㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,83.66,59.9,72,3,2,62,계단식,,,,,,,,,173088,190721,"13억 5,000",14억,,,,,,,,,,
5,e편한세상신촌,112C㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,112.84,84.93,75,3,2,417,계단식,,,,,,,,,245415,270417,"14억 2,000",17억,"7억 5,000","8억 5,000",1억/270,2억/240,1억/270,2억/240,,,,
6,e편한세상신촌,112B㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,112.82,84.95,75,3,2,97,계단식,,,,,,,,,245472,270480,"14억 2,000",16억,,,,,,,,,,
7,e편한세상신촌,113D㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,113.6,84.95,75,3,2,42,계단식,,,,,,,,,245472,270480,,,,"7억 7,000",,,,,,,,
8,e편한세상신촌,114A㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,114.39,84.98,74,3,2,260,계단식,,,,,,,,,245559,270576,"14억 2,000",18억,,,,,,,,,,
9,e편한세상신촌,115F㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,115.23,84.82,74,3,2,102,계단식,,,,,,,,,245097,270066,"15억 3,000","17억 3,000",,9억,,5억/150,,5억/150,,,,
10,e편한세상신촌,115G㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,115.2,84.98,74,3,3,24,계단식,,,,,,,,,245559,270576,,"15억 5,000",,,,,,,,,,
11,e편한세상신촌,117E㎡,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,117.73,84.89,72,3,2,101,계단식,,,,,,,,,245299,270289,16억,"16억 5,000",,,,,,,,,,
12,e편한세상신촌,153,서울시 서대문구 북아현동,1141011000,1013,서울시 서대문구 북아현로1가길 20,37.558609,126.951802,1910,326,34,8,283,25,2528,대림산업(주),HT001,153.18,114.89,75,4,2,44,계단식,,,,,,,,,331987,365809,"19억 5,000",21억,,,,,,,,,,
0,건일팰리스,83㎡,서울시 서대문구 북아현동,1141011000,1-52,서울시 서대문구 북아현로22길 81,37.564753,126.957159,19,0,5,4,224,51,20,건일종합건설(주),HT001,83.64,77.52,93,3,2,2,계단식,127800,368820,25560,215460,0,0,0,,,,,,,,,,,,,,,
1,건일팰리스,84㎡,서울시 서대문구 북아현동,1141011000,1-52,서울시 서대문구 북아현로22길 81,37.564753,126.957159,19,0,5,4,224,51,20,건일종합건설(주),HT001,84.6,78.42,93,3,2,1,계단식,127800,368820,25560,215460,0,0,0,,,,,,,,,,,,,,,
2,건일팰리스,88㎡,서울시 서대문구 북아현동,1141011000,1-52,서울시 서대문구 북아현로22길 81,37.564753,126.957159,19,0,5,4,224,51,20,건일종합건설(주),HT001,88.62,82.14,93,3,2,1,계단식,153000,416700,30600,233100,0,0,0,,,,,,,,,,,,,,,
3,건일팰리스,91,서울시 서대문구 북아현동,1141011000,1-52,서울시 서대문구 북아현로22길 81,37.564753,126.957159,19,0,5,4,224,51,20,건일종합건설(주),HT001,91.2,84.54,93,3,2,15,계단식,165600,440640,33120,241920,0,0,0,,,,,,,,,,,,,,,
0,경남1차,80A㎡,서울시 서대문구 북아현동,1141011000,1006,서울시 서대문구 북아현로 40,37.561101,126.956521,106,0,10,9,319,41,91,주)경남기업,HT001,80.45,59.77,74,2,1,37,복도식,685125,1348200,137025,526050,0,0,0,,,,,11억,,"3억 5,000",,,,,,,,
1,경남1차,80B㎡,서울시 서대문구 북아현동,1141011000,1006,서울시 서대문구 북아현로 40,37.561101,126.956521,106,0,10,9,319,41,91,주)경남기업,HT001,80.63,59.92,74,2,1,10,계단식,685125,1348200,137025,526050,0,0,0,,,,,,,"2억 5,000",,,,,,,,
2,경남1차,98㎡,서울시 서대문구 북아현동,1141011000,1006,서울시 서대문구 북아현로 40,37.561101,126.956521,106,0,10,9,319,41,91,주)경남기업,HT001,98.15,84.91,87,3,2,29,계단식,1017000,1796850,203400,576450,0,0,0,,,,,,,,,,,,,,,
3,경남1차,105㎡,서울시 서대문구 북아현동,1141011000,1006,서울시 서대문구 북아현로 40,37.561101,126.956521,106,0,10,9,319,41,91,주)경남기업,HT001,105.25,84.84,81,3,2,20,계단식,1017000,1796850,203400,576450,0,0,0,,,,,,,,,,,,,,,
4,경남1차,132,서울시 서대문구 북아현동,1141011000,1006,서울시 서대문구 북아현로 40,37.561101,126.956521,106,0,10,9,319,41,91,주)경남기업,HT001,132.81,114.91,87,4,2,10,계단식,1148400,2000520,229680,622440,0,0,0,,,,,,,,,,,,,,,
0,경남2차,82㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,82.74,59.97,72,3,1,16,복도식,1062000,1866600,212400,592200,0,0,0,,,,,,,,,,,,,,,
1,경남2차,99㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,99.7,76.36,77,3,1,1,계단식,1112400,1944720,222480,609840,0,0,0,,,,,,,,,,,,,,,
2,경남2차,107㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,107.3,82.21,77,3,2,15,계단식,1225800,2120490,245160,649530,0,0,0,,,,,,,,,,,,,,,
3,경남2차,125㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,125.38,115.22,92,4,2,2,계단식,1053000,1852650,210600,589050,0,0,0,,,,,,,,,,,,,,,
4,경남2차,133㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,133.12,96.49,72,4,2,1,복도식,1240200,2142810,248040,654570,0,0,0,,,,,,,,,,,,,,,
5,경남2차,139㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,139.99,101.47,72,4,2,8,복도식,1456200,2477610,291240,730170,178416,148680,29736,,,,,,,,,,,,,,,
6,경남2차,152㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,152.65,122.91,81,4,2,9,계단식,1081800,1897290,216360,599130,0,0,0,,,,,,,,,,,,,,,
7,경남2차,158㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,158.34,114.75,72,4,2,1,계단식,1490400,2530620,298080,742140,235872,196560,39312,,,,,,,,,,,,,,,
8,경남2차,167㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,167.54,134.9,81,4,2,10,계단식,1112400,1944720,222480,609840,0,0,0,,,,,,,,,,,,,,,
9,경남2차,179㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,179.18,164.66,92,4,2,7,계단식,1126800,1967040,225360,614880,0,0,0,,,,,,,,,,,,,,,
10,경남2차,188㎡,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,188.15,172.9,92,4,2,9,계단식,1186200,2059110,237240,635670,0,0,0,,,,,,,,,,,,,,,
11,경남2차,256,서울시 서대문구 북아현동,1141011000,1010,서울시 서대문구 북아현로6길 15,37.561292,126.957566,80,0,11,8,241,34,99,경남기업 (주),HT001,256.13,235.34,92,5,2,1,계단식,1719000,2884950,343800,822150,619920,516600,103320,,,,,,,,,,,,,,,
0,그린빌,64㎡,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,64.57,59,91,2,1,1,계단식,252000,604800,50400,302400,0,0,0,,,,,,,,,,,,,,,
1,그린빌,85㎡,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,85.55,78.18,91,3,2,1,계단식,367200,823680,73440,383040,0,0,0,,,,,,,,,,,,,,,
2,그린빌,89㎡,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,89.37,81.66,91,3,2,1,계단식,410400,905760,82080,413280,0,0,0,,,,,,,,,,,,,,,
3,그린빌,98㎡,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,98.72,90.21,91,3,2,1,계단식,513450,1073520,102690,457380,0,0,0,,,,,,,,,,,,,,,
4,그린빌,101㎡,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,101.97,93.18,91,3,2,1,계단식,524475,1091160,104895,461790,0,0,0,,,,,,,,,,,,,,,
5,그린빌,106,서울시 서대문구 북아현동,1141011000,1-122,서울시 서대문구 북아현로 72-4,37.563546,126.954777,16,0,7,7,299,49,19,광종건설(주),HT001,106.18,97.03,91,3,2,11,계단식,582750,1184400,116550,485100,0,0,0,,,,,,,,,,,,,,,
0,늘푸른,45㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,45.16,39.02,86,2,1,1,계단식,191700,490230,38340,260190,0,0,0,,,,,,,,,,,,,,,
1,늘푸른,58㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,58.51,50.55,86,2,1,1,계단식,272700,644130,54540,316890,0,0,0,,,,,,,,,,,,,,,
2,늘푸른,61㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,61.91,53.49,86,2,1,1,계단식,303300,702270,60660,338310,0,0,0,,,,,,,,,,,,,,,
3,늘푸른,81A㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,81.61,70.51,86,3,2,1,계단식,499275,1050840,99855,451710,0,0,0,,,,,,,,,,,,,,,
4,늘푸른,83B㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,83.94,72.52,86,3,2,1,계단식,533925,1106280,106785,465570,0,0,0,,,,,,,,,,,,,,,
5,늘푸른,93㎡,서울시 서대문구 북아현동,1141011000,123-73,서울시 서대문구 북아현로6길 65-21,37.561132,126.957924,11,0,7,6,275,57,11,광종건설(주),HT001,93.98,81.19,86,3,2,3,계단식,636300,1270080,127260,506520,0,0,0,,,,,,,,,,,,,,,
