,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,금호베스트빌,87㎡,서울시 성동구 송정동,1120011800,103,서울시 성동구 광나루로 249,37.549355,127.057575,60,0,15,15,299,23,89,금호건설금호산업(주),HT001,87.83,67.71,77,2,1,1,계단식,162000,433800,32400,239400,0,0,0,,,,,,,,,,,,,,,
1,금호베스트빌,110㎡,서울시 성동구 송정동,1120011800,103,서울시 성동구 광나루로 249,37.549355,127.057575,60,0,15,15,299,23,89,금호건설금호산업(주),HT001,110.72,84.97,77,3,2,29,계단식,325800,745020,65160,354060,0,0,0,,,,"11억 3,000",12억,,"6억 1,000",,,,,,,,
2,금호베스트빌,119㎡,서울시 성동구 송정동,1120011800,103,서울시 성동구 광나루로 249,37.549355,127.057575,60,0,15,15,299,23,89,금호건설금호산업(주),HT001,119.79,98.88,83,3,2,1,계단식,271800,642420,54360,316260,0,0,0,,,,,,,,,,,,,,,
3,금호베스트빌,143,서울시 성동구 송정동,1120011800,103,서울시 성동구 광나루로 249,37.549355,127.057575,60,0,15,15,299,23,89,금호건설금호산업(주),HT001,143.82,118.26,82,4,2,29,계단식,402300,890370,80460,407610,0,0,0,,,,,"13억 5,000",,,,,,,,,,
0,서울숲IPARK,84㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,84.4,64.21,76,3,2,4,복합식,,,,,,,,,206625,207089,,"10억 5,000",,,,,,,,,,
1,서울숲IPARK,100㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,100.86,75.51,75,3,2,11,복합식,,,,,,,,,242988,243533,"9억 9,000","12억 1,000",,,,,,,,,,
2,서울숲IPARK,112A㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,112.44,84.87,75,3,2,89,복합식,,,,,,,,,273108,273721,"11억 5,000",14억,,,,,,,,,,
3,서울숲IPARK,112E㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,112.63,84.88,75,3,2,39,복합식,,,,,,,,,273140,273754,,"11억 5,000",,,,,,,,,,
4,서울숲IPARK,112C㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,112.14,84.87,76,3,2,14,복합식,,,,,,,,,273108,273721,,,,,,,,,,,,
5,서울숲IPARK,112B㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,112.34,84.88,76,3,2,13,복합식,,,,,,,,,273140,273754,,"13억 8,000",,,,,,,,,,
6,서울숲IPARK,112D㎡,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,112.79,84.88,75,3,2,8,복합식,,,,,,,,,273140,273754,,,,,,,,,,,,
7,서울숲IPARK,152,서울시 성동구 송정동,1120011800,104,서울시 성동구 동일로 237,37.5525,127.069,241,34,15,10,209,23,286,현대산업개발(주),HT001,152.89,116.58,76,4,2,29,복합식,,,,,,,,,375150,375992,14억,15억,,,,,,,,,,
