,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,삼선푸르지오,75㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,75.88,59.95,79,3,2,180,계단식,337500,767250,67500,362250,0,0,0,,182891,184789,"7억 4,000",8억,,,,,,,,,,
1,삼선푸르지오,103A㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,103.42,84.83,82,3,2,336,계단식,442575,960120,88515,429030,0,0,0,,258794,261479,8억,"8억 5,000",,"5억 4,000",,,,,,,,
2,삼선푸르지오,103C㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,103.5,84.88,82,3,2,52,계단식,442575,960120,88515,429030,0,0,0,,258946,261633,8억,"8억 5,000",,,,,,,,,,
3,삼선푸르지오,103D㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,103.92,84.53,81,3,2,24,계단식,442575,960120,88515,429030,0,0,0,,257879,260554,"8억 7,000","11억 5,000",,,,,,,,,,
4,삼선푸르지오,103E㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,103.8,84.82,82,3,2,19,계단식,442575,960120,88515,429030,0,0,0,,258763,261448,,,,,,,,,,,,
5,삼선푸르지오,104B㎡,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,104.76,84.84,81,3,2,55,계단식,442575,960120,88515,429030,0,0,0,,258825,261510,"8억 5,000",10억,,"5억 5,000",,,,,,,,
6,삼선푸르지오,133,서울시 성북구 삼선동2가,1129011200,425,서울시 성북구 보문로29다길 31,37.583664,127.013156,864,0,15,7,230,23,1126,(주)대우건설,HT001,133.27,114.65,86,4,2,198,계단식,617400,1239840,123480,498960,0,0,0,,349767,353396,"9억 4,000",11억,6억,"6억 5,000",4억/70,"4억 5,000/70",4억/70,"4억 5,000/70",,,,
0,삼선현대힐스테이트,74㎡,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,74.13,56.83,77,3,2,152,계단식,325800,745020,65160,354060,0,0,0,,163705,167839,7억,"8억 5,000","4억 2,000","4억 8,000",,,,,,,,
1,삼선현대힐스테이트,101㎡,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,101.17,84.72,84,3,2,12,계단식,433125,945000,86625,425250,0,0,0,,244045,250209,,"8억 9,000",,,,"3억 5,000/70",,"3억 5,000/70",,,,
2,삼선현대힐스테이트,106A㎡,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,106.28,84.71,80,3,2,89,계단식,433125,945000,86625,425250,0,0,0,,244016,250179,"8억 9,000",10억,,,,,,,,,,
3,삼선현대힐스테이트,107B㎡,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,107.56,84.83,79,3,2,40,계단식,433125,945000,86625,425250,0,0,0,,244362,250533,,9억,,,,,,,,,,
4,삼선현대힐스테이트,108C㎡,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,108.57,84.98,78,3,2,20,계단식,433125,945000,86625,425250,0,0,0,,244794,250976,,"9억 1,000",,,,,,,,,,
5,삼선현대힐스테이트,137,서울시 성북구 삼선동2가,1129011200,420,서울시 성북구 낙산길 243-15,37.582062,127.013415,377,0,14,9,229,24,414,현대건설(주),HT001,137.64,114.86,83,4,2,64,계단식,595350,1204560,119070,490140,0,0,0,,330867,339222,"9억 2,000",11억,,"5억 5,000",,,,,,,,
