,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,NS파인트리(도시형),28A㎡,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,28.42,19.7,69,1,1,36,복도식,,,,,,,,,,,,"3억 3,000",,,,,,,,,,
1,NS파인트리(도시형),50B㎡,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,50.69,35.77,71,1,1,8,복도식,,,,,,,,,,,,7억,,,,,,,,,,
2,NS파인트리(도시형),51C,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,51.57,36.43,71,1,1,4,복도식,,,,,,,,,,,,,,,,"3,000/210",,"3,000/210",,,,
0,갤러리아팰리스(주상복합),107A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,107.56,84.44,79,2,2,48,계단식,1629000,2745450,325800,790650,468720,390600,78120,,466012,430199,17억,20억,"9억 7,000",10억,1억/330,7억/150,1억/330,7억/150,,,,
1,갤러리아팰리스(주상복합),156A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,156.65,122.98,79,3,2,48,계단식,2557800,4185090,511560,1115730,2275344,1896120,379224,,678717,626559,,,,17억,,,,,,,,
2,갤러리아팰리스(주상복합),157C㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,157.03,123.29,79,3,2,89,계단식,2599200,4249260,519840,1130220,2378016,1981680,396336,,680384,628097,"26억 5,000",28억,"13억 5,000",14억,,7억/280,,7억/280,,,,
3,갤러리아팰리스(주상복합),174B㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,174.54,137.03,79,3,2,27,계단식,2649600,4327380,529920,1147860,2503008,2085840,417168,,756236,698120,"25억 5,000",26억,"14억 5,000",15억,,,,,,,,
4,갤러리아팰리스(주상복합),176A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,176.48,138.56,79,3,2,54,계단식,2669400,4358070,533880,1154790,2552112,2126760,425352,,764652,705889,,,"13억 5,000",14억,10억/160,"11억 5,000/120",10억/160,"11억 5,000/120",,,,
5,갤러리아팰리스(주상복합),190A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,190.05,149.21,79,4,2,3,계단식,2907000,4726350,581400,1237950,3141360,2617800,523560,,823435,760155,,,,,,,,,,,,
6,갤러리아팰리스(주상복합),190AT㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,190.05,149.21,79,4,2,1,계단식,2781000,4531050,556200,1193850,2828880,2357400,471480,,823435,760155,,,,,,,,,,,,
7,갤러리아팰리스(주상복합),191B2㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,191.93,150.68,79,3,2,31,계단식,3148200,5100210,629640,1322370,3739536,3116280,623256,,831581,767675,,30억,,,,,,,,,,
8,갤러리아팰리스(주상복합),192A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,192.57,151.18,79,3,2,48,계단식,2800800,4561740,560160,1200780,2877984,2398320,479664,,834340,770221,"30억 5,000",32억,,,,,,,,,,
9,갤러리아팰리스(주상복합),193C㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,193.6,151.99,79,3,2,85,계단식,2842200,4625910,568440,1215270,2980656,2483880,496776,,838810,774348,,32억,,15억,2억/500,2억/520,2억/500,2억/520,,,,
10,갤러리아팰리스(주상복합),193B1㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,193.13,151.63,79,3,2,31,계단식,2944800,4784940,588960,1251180,3235104,2695920,539184,,836790,772483,,32억,,,,,,,,,,
