,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,은평뉴타운구파발10단지어울림,106A㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,106.91,84.78,79,3,2,53,계단식,415800,916020,83160,417060,0,0,0,,351459,243355,"9억 3,000",10억,,5억,,,,,,,,
1,은평뉴타운구파발10단지어울림,107D㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,107.42,84.8,79,3,2,44,계단식,415800,916020,83160,417060,0,0,0,,351542,243412,"9억 7,000","10억 2,000",,,,,,,,,,
2,은평뉴타운구파발10단지어울림,107A1㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,107.49,84.85,79,3,2,16,계단식,415800,916020,83160,417060,0,0,0,,351750,243556,,,,,,,,,,,,
3,은평뉴타운구파발10단지어울림,107C㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,107.42,84.85,79,3,2,14,계단식,415800,916020,83160,417060,0,0,0,,351750,243556,,,,,,,,,,,,
4,은평뉴타운구파발10단지어울림,127A㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,127.89,101.84,80,4,2,104,계단식,497700,1048320,99540,451080,0,0,0,,422182,292324,,,,,,,,,,,,
5,은평뉴타운구파발10단지어울림,128A1㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,128.02,101.9,80,4,2,10,계단식,497700,1048320,99540,451080,0,0,0,,422431,292497,,,,,,,,,,,,
6,은평뉴타운구파발10단지어울림,133B㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,133.95,101.82,76,4,2,3,계단식,513450,1073520,102690,457380,0,0,0,,422099,292267,,,,,,,,,,,,
7,은평뉴타운구파발10단지어울림,168A㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,168.18,134.9,80,4,2,20,계단식,631575,1262520,126315,504630,0,0,0,,559234,387220,,"12억 5,000",,,,,,,,,,
8,은평뉴타운구파발10단지어울림,170B㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,170.28,134.73,79,4,2,19,계단식,637875,1272600,127575,507150,0,0,0,,558530,386733,,,,,,,,,,,,
9,은평뉴타운구파발10단지어울림,170D㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,170.22,134.56,79,5,2,3,계단식,631575,1262520,126315,504630,0,0,0,,557825,386244,,,,,,,,,,,,
10,은평뉴타운구파발10단지어울림,170D2㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,170.63,134.65,79,5,2,1,계단식,637875,1272600,127575,507150,0,0,0,,558198,386503,,,,,,,,,,,,
11,은평뉴타운구파발10단지어울림,171C㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,171.81,134.43,78,4,3,6,계단식,631575,1262520,126315,504630,0,0,0,,557286,385871,,,,,,,,,,,,
12,은평뉴타운구파발10단지어울림,172D1㎡,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,172.23,134.88,78,5,2,3,계단식,644175,1282680,128835,509670,0,0,0,,559151,387163,,,,,,,,,,,,
13,은평뉴타운구파발10단지어울림,207A,서울시 은평구 진관동,1138011400,27,서울시 은평구 진관3로 15-45,37.643797,126.917462,334,0,10,6,149,23,546,"금호산업(주),벽산건설(주)",HT005,207.38,166.19,80,4,2,38,계단식,752850,1456560,150570,553140,0,0,0,,688948,477036,"13억 5,000",18억,,"6억 5,000",,,,,,,,
0,은평뉴타운구파발9단지래미안,104A㎡,서울시 은평구 진관동,1138011400,25,서울시 은평구 진관3로 77,37.643258,126.920575,486,0,10,7,149,23,811,삼성물산(주),HT005,104.38,84.84,81,3,2,110,계단식,434700,947520,86940,425880,0,0,0,,455979,257674,"9억 6,000",10억,,,,1억/160,,1억/160,,,,
1,은평뉴타운구파발9단지래미안,104B㎡,서울시 은평구 진관동,1138011400,25,서울시 은평구 진관3로 77,37.643258,126.920575,486,0,10,7,149,23,811,삼성물산(주),HT005,104.96,84.98,81,3,2,20,계단식,423675,929880,84735,421470,0,0,0,,456731,258100,,,,,,,,,,,,
2,은평뉴타운구파발9단지래미안,105D㎡,서울시 은평구 진관동,1138011400,25,서울시 은평구 진관3로 77,37.643258,126.920575,486,0,10,7,149,23,811,삼성물산(주),HT005,105.31,84.83,81,3,2,42,계단식,445725,965160,89145,430290,0,0,0,,455925,257644,"9억 3,000","9억 6,000",,,,,,,,,,
