,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,베네스트,89㎡,서울시 종로구 부암동,1111018400,208-40,서울시 종로구 자하문로40가길 6,37.595081,126.963928,8,0,5,5,182,53,10,주식회사골드하우징종합건설,HT001,89.16,79.17,89,3,2,2,계단식,235500,515280,47100,232680,0,0,0,,,,,"5억 5,000",,,,,,,,,,
1,베네스트,93,서울시 종로구 부암동,1111018400,208-40,서울시 종로구 자하문로40가길 6,37.595081,126.963928,8,0,5,5,182,53,10,주식회사골드하우징종합건설,HT001,93.42,82.95,89,3,2,6,계단식,255000,549600,51000,243600,0,0,0,,,,,"5억 1,000",,,,,,,,,,
0,별빛고운,67A㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,67.22,56.92,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,별빛고운,69B㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,69.12,58.53,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
2,별빛고운,84㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,84.85,71.85,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,별빛고운,100㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,100.12,84.78,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,별빛고운,115A㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,115.78,98.04,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,별빛고운,115B㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,115.81,98.07,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
6,별빛고운,117C㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,117.34,99.36,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
7,별빛고운,118㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,118.91,100.69,85,3,2,2,계단식,,,,,,,,,,,,"7억 2,000",,,,,,,,,,
8,별빛고운,123㎡,서울시 종로구 부암동,1111018400,235-2,서울시 종로구 창의문로10길 29,37.593343,126.964297,12,0,5,3,177,50,15,(주)서교건설,HT001,123.93,104.94,85,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
