,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,그레이스탑(주상복합),18A㎡,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,18.9,13.5,71,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
1,그레이스탑(주상복합),19B㎡,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,19.66,14.04,71,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
2,그레이스탑(주상복합),20C,서울시 종로구 숭인동,1111017500,178-94,서울시 종로구 종로65길 12-10,37.575111,127.02037,24,0,9,7,288,56,10,정오종합건설(주),HT001,20.67,14.76,71,1,1,12,계단식,,,,,,,,,,,,,,,,"5,000/50",,"5,000/50",,,,
0,도시그린빌라트18차,66,서울시 종로구 숭인동,1111017500,820-1,서울시 종로구 숭인동1가길 1-2,37.576902,127.021049,10,0,5,5,242,58,3,동성개발산업(주),HT001,66.96,59.76,89,3,1,10,계단식,61800,202680,12360,128520,0,0,0,,,,,,,,,,,,,,,
0,동묘드림(도시형),24㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,24.23,17.98,74,1,1,2,복도식,,,,,,,,,,,,,,,"1,000/60","3,000/50","1,000/60","3,000/50",,,,
1,동묘드림(도시형),27A㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,27.08,20.1,74,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
2,동묘드림(도시형),27B㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,27.58,20.46,74,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
3,동묘드림(도시형),28A㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,28.47,21.12,74,1,1,6,복도식,,,,,,,,,,,,,,,,"1,000/60",,"1,000/60",,,,
4,동묘드림(도시형),30B㎡,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,30.25,22.44,74,1,1,4,복도식,,,,,,,,,,,,,,,"1,000/60","2,000/55","1,000/60","2,000/55",,,,
5,동묘드림(도시형),30C,서울시 종로구 숭인동,1111017500,296-20,서울시 종로구 종로56길 21,37.572209,127.016715,20,0,10,3,552,59,13,예림종합건설(주),HT001,30.7,22.77,74,1,1,4,복도식,,,,,,,,,,,,,,,"2,000/55","3,000/50","2,000/55","3,000/50",,,,
