,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,LIG서울역리가,110B㎡,서울시 중구 만리동1가,1114017300,231,서울시 중구 만리재로33길 21,37.556198,126.966628,181,0,15,6,229,26,221,엘아이지건설주식회사,HT001,110.96,84.95,77,3,2,58,계단식,1335600,2290680,267120,687960,0,0,0,,276500,286337,,"13억 5,000",7억,"7억 5,000",,,,,,,,
1,LIG서울역리가,111D㎡,서울시 중구 만리동1가,1114017300,231,서울시 중구 만리재로33길 21,37.556198,126.966628,181,0,15,6,229,26,221,엘아이지건설주식회사,HT001,111.45,84.95,76,3,2,13,계단식,1335600,2290680,267120,687960,0,0,0,,276505,286342,"14억 5,000","15억 5,000",7억,"7억 2,000",,,,,,,,
2,LIG서울역리가,111E㎡,서울시 중구 만리동1가,1114017300,231,서울시 중구 만리재로33길 21,37.556198,126.966628,181,0,15,6,229,26,221,엘아이지건설주식회사,HT001,111.3,84.98,76,3,2,13,계단식,1335600,2290680,267120,687960,0,0,0,,276591,286432,,"14억 5,000",,"7억 5,000",,6억/50,,6억/50,,,,
3,LIG서울역리가,112A㎡,서울시 중구 만리동1가,1114017300,231,서울시 중구 만리재로33길 21,37.556198,126.966628,181,0,15,6,229,26,221,엘아이지건설주식회사,HT001,112.1,84.98,76,3,2,84,계단식,1335600,2290680,267120,687960,0,0,0,,276597,286439,"13억 5,000","15억 5,000",,7억,,3억/180,,3억/180,,,,
4,LIG서울역리가,112C,서울시 중구 만리동1가,1114017300,231,서울시 중구 만리재로33길 21,37.556198,126.966628,181,0,15,6,229,26,221,엘아이지건설주식회사,HT001,112.43,84.97,76,3,2,13,계단식,1335600,2290680,267120,687960,0,0,0,,276572,286412,,,,,,"6억 3,000/40",,"6억 3,000/40",,,,
0,SY파크힐,94㎡,서울시 중구 만리동1가,1114017300,56-11,서울시 중구 만리재로37길 49,37.55708,126.96572,13,0,5,4,199,47,19,(주)세영코리아,HT001,94.89,82.87,87,3,2,4,계단식,123300,360270,24660,212310,0,0,0,,,,,,,,,,,,,,,
1,SY파크힐,109A㎡,서울시 중구 만리동1가,1114017300,56-11,서울시 중구 만리재로37길 49,37.55708,126.96572,13,0,5,4,199,47,19,(주)세영코리아,HT001,109.67,95.78,87,3,2,4,계단식,180900,469710,36180,252630,0,0,0,,,,,,,,,,,,,,,
2,SY파크힐,109B㎡,서울시 중구 만리동1가,1114017300,56-11,서울시 중구 만리재로37길 49,37.55708,126.96572,13,0,5,4,199,47,19,(주)세영코리아,HT001,109.75,95.85,87,3,2,4,계단식,180900,469710,36180,252630,0,0,0,,,,,,,,,,,,,,,
3,SY파크힐,170,서울시 중구 만리동1가,1114017300,56-11,서울시 중구 만리재로37길 49,37.55708,126.96572,13,0,5,4,199,47,19,(주)세영코리아,HT001,170.19,148.62,87,3,2,1,계단식,292500,681750,58500,330750,0,0,0,,,,,,,,,,,,,,,
0,서울역디오빌(주상복합),70㎡,서울시 중구 만리동1가,1114017300,62-7,서울시 중구 만리재로 193,37.55514,126.967209,72,0,15,15,815,59,189,(주)대우건설,HT001,70.77,56.66,80,2,1,6,복도식,,,,,,,,,,,,,,,,,,,,,,
1,서울역디오빌(주상복합),92,서울시 중구 만리동1가,1114017300,62-7,서울시 중구 만리재로 193,37.55514,126.967209,72,0,15,15,815,59,189,(주)대우건설,HT001,92.18,73.86,80,3,2,66,복도식,,,,,,,,,,,"10억 5,000",11억,,,,,,,,,,
0,코엑스파크서울역(도시형),36A㎡,서울시 중구 만리동1가,1114017300,54-4,서울시 중구 만리재로37길 20-5,37.556933,126.967213,35,0,6,3,102,28,0,인서건설(주),HT001,36.37,30,82,1,1,16,계단식,,,,,,,,,,,,,,,,,,,,,,
1,코엑스파크서울역(도시형),36D㎡,서울시 중구 만리동1가,1114017300,54-4,서울시 중구 만리재로37길 20-5,37.556933,126.967213,35,0,6,3,102,28,0,인서건설(주),HT001,36.57,30,82,1,1,11,계단식,,,,,,,,,,,,,,,,,,,,,,
2,코엑스파크서울역(도시형),36C㎡,서울시 중구 만리동1가,1114017300,54-4,서울시 중구 만리재로37길 20-5,37.556933,126.967213,35,0,6,3,102,28,0,인서건설(주),HT001,36.56,30,82,1,1,7,계단식,,,,,,,,,,,,,,,,,,,,,,
3,코엑스파크서울역(도시형),36B,서울시 중구 만리동1가,1114017300,54-4,서울시 중구 만리재로37길 20-5,37.556933,126.967213,35,0,6,3,102,28,0,인서건설(주),HT001,36.38,30,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
