,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강오,80㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,80.18,68.62,86,3,1,1,계단식,91050,278730,18210,169470,0,0,0,,,,,,,,,,,,,,,
1,강오,82A㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,82.28,67.74,82,3,2,6,계단식,91950,281070,18390,170730,0,0,0,,,,,,,,,"8,000/80",,"8,000/80",,,,
2,강오,82B㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,82.59,70.68,86,3,1,1,계단식,96000,291600,19200,176400,0,0,0,,,,,,,"3억 4,000",,,,,,,,
3,강오,85A㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,85.08,70.06,82,3,1,1,계단식,91950,281070,18390,170730,0,0,0,,,,,,,,,,,,,,,
4,강오,87B㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,87.28,71.86,82,3,2,6,계단식,99600,300960,19920,181440,0,0,0,,,,,,,,,,,,,,,
5,강오,90㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,90.57,77.51,86,3,1,1,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
6,강오,93A㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,93.19,79.75,86,3,1,3,계단식,106350,318510,21270,190890,0,0,0,,,,,,,,,,,,,,,
7,강오,93B㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,93.53,80.04,86,3,1,1,계단식,105000,315000,21000,189000,0,0,0,,,,,,,,,,,,,,,
8,강오,94C㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,94.02,80.46,86,3,1,1,계단식,105000,315000,21000,189000,0,0,0,,,,,,,,,,,,,,,
9,강오,95A㎡,서울시 중랑구 중화동,1126010300,307-76,서울시 중랑구 동일로 825-1,37.60409,127.07851,37,0,7,6,0,0,50,쿠도스강오건설(주),HT001,95.5,78.64,82,3,1,1,계단식,109500,326700,21900,195300,0,0,0,,,,,,,,,,,,,,,
