,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,가양2단지성지,49A㎡,서울시 강서구 가양동,1150010400,1461,서울시 강서구 허준로 47,37.570419,126.847209,1624,0,15,8,195,17,486,성지건설(주),HT005,49.93,34.44,69,2,1,387,복도식,,,,,,,,,155585,91554,"4억 8,000",7억,"1억 7,100","2억 4,000","1,000/70","3,000/70","1,000/70","3,000/70",,,,
1,가양2단지성지,50B㎡,서울시 강서구 가양동,1150010400,1461,서울시 강서구 허준로 47,37.570419,126.847209,1624,0,15,8,195,17,486,성지건설(주),HT005,50.3,34.69,69,2,1,110,복도식,,,,,,,,,156715,92218,"4억 9,000",6억,2억,"2억 2,000",,"1억 6,000/30",,"1억 6,000/30",,,,
2,가양2단지성지,56㎡,서울시 강서구 가양동,1150010400,1461,서울시 강서구 허준로 47,37.570419,126.847209,1624,0,15,8,195,17,486,성지건설(주),HT005,56.91,39.6,70,2,1,623,복도식,,,,,,,,,178896,105271,"5억 8,000",7억,"1억 9,500","2억 8,000","2,000/85","1억 5,000/50","2,000/85","1억 5,000/50",,,,
3,가양2단지성지,70A㎡,서울시 강서구 가양동,1150010400,1461,서울시 강서구 허준로 47,37.570419,126.847209,1624,0,15,8,195,17,486,성지건설(주),HT005,70.12,49.56,71,3,1,414,복도식,,,,,,,,,223891,131748,7억,"8억 3,000","2억 7,000",4억,1억/43,2억/45,1억/43,2억/45,,,,
4,가양2단지성지,70B,서울시 강서구 가양동,1150010400,1461,서울시 강서구 허준로 47,37.570419,126.847209,1624,0,15,8,195,17,486,성지건설(주),HT005,70.24,49.65,71,3,1,90,복도식,,,,,,,,,224297,131987,"7억 1,000",8억,"3억 3,000","3억 5,000",1억/90,1억/100,1억/90,1억/100,,,,
0,가양6단지,51㎡,서울시 강서구 가양동,1150010400,1485,서울시 강서구 허준로 175,37.563341,126.859656,1476,0,15,12,192,0,677,남광토건(주),HT005,51.96,39.6,76,2,1,432,복도식,272700,644130,54540,316890,0,0,0,,191173,117788,"5억 6,000",8억,"1억 9,210","2억 2,000","1,000/110","1억 5,000/45","1,000/110","1억 5,000/45",,,,
1,가양6단지,64㎡,서울시 강서구 가양동,1150010400,1485,서울시 강서구 허준로 175,37.563341,126.859656,1476,0,15,12,192,0,677,남광토건(주),HT005,64.98,49.5,76,3,1,594,복도식,370800,830520,74160,385560,0,0,0,,238967,147236,"7억 2,000","10억 3,000","2억 6,460","4억 3,000",1억/70,1억/80,1억/70,1억/80,,,,
2,가양6단지,74A㎡,서울시 강서구 가양동,1150010400,1485,서울시 강서구 허준로 175,37.563341,126.859656,1476,0,15,12,192,0,677,남광토건(주),HT005,74.58,58.65,79,3,1,90,계단식,423675,929880,84735,421470,0,0,0,,283139,174452,,,,,,,,,,,,
3,가양6단지,75B㎡,서울시 강서구 가양동,1150010400,1485,서울시 강서구 허준로 175,37.563341,126.859656,1476,0,15,12,192,0,677,남광토건(주),HT005,75.89,58.65,77,3,1,240,계단식,423675,929880,84735,421470,0,0,0,,283139,174452,"8억 3,000","11억 2,000","3억 5,000","3억 8,000","5,000/110",1억/100,"5,000/110",1억/100,,,,
4,가양6단지,77C,서울시 강서구 가양동,1150010400,1485,서울시 강서구 허준로 175,37.563341,126.859656,1476,0,15,12,192,0,677,남광토건(주),HT005,77.37,58.65,76,3,1,120,계단식,423675,929880,84735,421470,0,0,0,,283139,174452,"8억 5,000","9억 5,000","3억 1,000","4억 5,000",,"2억 8,000/16",,"2억 8,000/16",,,,
0,가양9단지,46㎡,서울시 강서구 가양동,1150010400,1490,서울시 강서구 허준로 234,37.558777,126.863756,1005,0,15,15,196,16,297,도시개발공사,HT005,46.87,34.44,73,2,1,300,복도식,177300,462870,35460,250110,0,0,0,,149036,81144,,"5억 2,000","2억 1,000","2억 2,000",,"2,000/80",,"2,000/80",,,,
