,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,그린,45㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,45.96,40.58,88,2,1,1,계단식,51000,174600,10200,113400,0,0,0,,,,,,,,,,,,,,,
1,그린,54㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,54.7,48.3,88,2,1,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,
2,그린,60㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,60.19,53.14,88,2,1,1,계단식,78900,247140,15780,152460,0,0,0,,,,,,,,,,,,,,,
3,그린,71㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,71.34,62.98,88,2,1,1,계단식,103650,311490,20730,187110,0,0,0,,,,,,,,,,,,,,,
4,그린,74㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,74.46,65.75,88,3,2,1,계단식,107250,320850,21450,192150,0,0,0,,,,,,,,,,,,,,,
5,그린,86A㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,86.9,76.72,88,3,2,1,계단식,129600,372240,25920,216720,0,0,0,,,,,7억,,,,,,,,,,
6,그린,89B㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,89.48,79,88,3,2,3,계단식,143100,397890,28620,226170,0,0,0,,,,,,,,,,,,,,,
7,그린,93㎡,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,93.34,82.42,88,3,2,1,계단식,151200,413280,30240,231840,0,0,0,,,,,,,,,,,,,,,
8,그린,96,서울시 광진구 능동,1121510200,283-9,서울시 광진구 천호대로110길 78,37.553943,127.078342,12,0,6,6,230,48,12,예비종합건설(주),HT001,96.19,84.92,88,3,2,2,계단식,149400,409860,29880,230580,0,0,0,,,,,,,,,,,,,,,
0,대공원하이츠,81㎡,서울시 광진구 능동,1121510200,246-11,서울시 광진구 천호대로118길 10,37.554213,127.085251,9,0,5,4,228,51,10,이레종합건설(주),HT001,81.54,75.96,93,3,2,1,계단식,153000,416700,30600,233100,0,0,0,,,,,,,,,,,,,,,
