,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강변한신코아(주상복합),69㎡,서울시 마포구 마포동,1144010700,350,서울시 마포구 마포대로4다길 18,37.536427,126.943954,88,0,11,10,648,37,0,한신공영,HT002,69.63,51.48,74,1,1,28,복도식,,,,,,,,,,,,,,,,,,,,,,
1,강변한신코아(주상복합),104㎡,서울시 마포구 마포동,1144010700,350,서울시 마포구 마포대로4다길 18,37.536427,126.943954,88,0,11,10,648,37,0,한신공영,HT002,104.45,77.22,74,3,1,20,복도식,,,,,,,,,,,,,,,,,,,,,,
2,강변한신코아(주상복합),112,서울시 마포구 마포동,1144010700,350,서울시 마포구 마포대로4다길 18,37.536427,126.943954,88,0,11,10,648,37,0,한신공영,HT002,112.48,83.16,74,3,1,40,복도식,,,,,,,,,,,,,,,1억/160,"1억 5,000/150",1억/160,"1억 5,000/150",,,,
0,마포보성,80㎡,서울시 마포구 마포동,1144010700,442,서울시 마포구 마포대로4길 90,37.536062,126.946381,133,0,15,7,229,36,112,주식회사 보성,HT001,80.43,59.4,74,2,1,81,복도식,340200,772380,68040,364140,0,0,0,,,,"8억 8,000",9억,,"4억 3,000",,,,,,,,
1,마포보성,104㎡,서울시 마포구 마포동,1144010700,442,서울시 마포구 마포대로4길 90,37.536062,126.946381,133,0,15,7,229,36,112,주식회사 보성,HT001,104.18,84.8,81,3,2,37,계단식,491400,1038240,98280,448560,0,0,0,,,,,11억,,,,,,,,,,
2,마포보성,141,서울시 마포구 마포동,1144010700,442,서울시 마포구 마포대로4길 90,37.536062,126.946381,133,0,15,7,229,36,112,주식회사 보성,HT001,141.01,114.78,81,4,2,15,계단식,625275,1252440,125055,502110,0,0,0,,,,,"13억 5,000",,,,,,,,,,
0,마포비체힐1리버뷰(도시형),24㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,24.7,14.55,59,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
1,마포비체힐1리버뷰(도시형),26A㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,26.55,15.67,59,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
2,마포비체힐1리버뷰(도시형),26C㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,26.94,15.78,59,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
3,마포비체힐1리버뷰(도시형),27D㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,27.93,16.51,59,1,1,22,복도식,,,,,,,,,,,,"1억 4,000",,,,,,,,,,
4,마포비체힐1리버뷰(도시형),27B㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,27.53,15.76,57,1,1,2,복도식,,,,,,,,,,,,"1억 5,000",,,,,,,,,,
5,마포비체힐1리버뷰(도시형),28A㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,28.94,16.6,57,1,1,12,복도식,,,,,,,,,,,,,,,,,,,,,,
6,마포비체힐1리버뷰(도시형),28B㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,28.34,16.62,59,1,1,6,복도식,,,,,,,,,,,,,,,,,,,,,,
7,마포비체힐1리버뷰(도시형),29C㎡,서울시 마포구 마포동,1144010700,449,서울시 마포구 마포대로4나길 71,37.536323,126.94537,96,0,7,5,196,34,42,(주)비체종합건설,HT001,29.99,17.34,58,1,1,1,복도식,,,,,,,,,,,,"1억 7,900",,,,,,,,,,
