,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,송파더센트레,73A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,73.93,51.77,70,2,1,455,계단식,568575,1161720,113715,479430,0,0,0,,245522,175903,"9억 3,000","10억 5,000",5억,"5억 5,000",2억/140,"3억 7,950/22",2억/140,"3억 7,950/22",,,,
1,송파더센트레,74B1㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74.2,51.96,70,2,1,98,계단식,568575,1161720,113715,479430,0,0,0,,246423,176549,10억,"10억 5,000",,"5억 4,000",,1억/170,,1억/170,,,,
2,송파더센트레,74A1㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,75,계단식,568575,1161720,113715,479430,0,0,0,,245759,176073,"9억 3,000","10억 5,000",,,,3억/100,,3억/100,,,,
3,송파더센트레,74A1N㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,23,계단식,555975,1141560,111195,474390,0,0,0,,245759,176073,,,,,,,,,,,,
4,송파더센트레,74B㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,21,계단식,543375,1121400,108675,469350,0,0,0,,245759,176073,,,,,,,,,,,,
5,송파더센트레,77A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,77.28,54.12,70,2,1,12,계단식,544950,1123920,108990,469980,0,0,0,,256667,183888,,"9억 5,000",,"5억 5,000",,,,,,,,
6,송파더센트레,85C㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.47,59.85,70,3,2,214,계단식,1018800,1799640,203760,577080,0,0,0,,283841,203357,11억,12억,"6억 3,000","6억 5,000",300/60,"5,000/220",300/60,"5,000/220",,,,
7,송파더센트레,85A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.63,59.96,70,3,2,121,계단식,1018800,1799640,203760,577080,0,0,0,,284363,203731,"11억 5,000",12억,,"6억 5,000",,,,,,,,
8,송파더센트레,85B㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.3,59.73,70,3,2,100,계단식,1018800,1799640,203760,577080,0,0,0,,283272,202949,"10억 8,000",13억,"6억 1,000","6억 3,000",,,,,,,,
9,송파더센트레,85AN,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.63,59.96,70,3,2,20,계단식,1000800,1771740,200160,570780,0,0,0,,284363,203731,,,,,,,,,,,,
0,송파와이즈더샵,126B1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,126.68,96.78,76,3,2,12,계단식,1828800,3055140,365760,860580,804384,670320,134064,,411096,303584,,16억,,,,,,,,,,
1,송파와이즈더샵,126C1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,126.95,96.75,76,3,2,10,계단식,1828800,3055140,365760,860580,804384,670320,134064,,410987,303504,,16억,,,,,,,,,,
2,송파와이즈더샵,127E1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.78,96.71,76,3,2,38,계단식,1846800,3083040,369360,866880,834624,695520,139104,,410798,303364,,,,,,,,,,,,
3,송파와이즈더샵,127F3㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.66,97.16,76,3,2,35,계단식,1828800,3055140,365760,860580,804384,670320,134064,,412727,304788,,,,,,1억/310,,1억/310,,,,
4,송파와이즈더샵,127G2㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.8,96.99,76,3,2,35,계단식,1828800,3055140,365760,860580,804384,670320,134064,,411983,304239,16억,"17억 5,000",,,,,,,,,,
5,송파와이즈더샵,127G1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.24,96.53,76,3,2,33,계단식,1828800,3055140,365760,860580,804384,670320,134064,,410038,302802,"16억 5,000","17억 3,000",,,"4억 5,000/160","4억 5,000/165","4억 5,000/160","4억 5,000/165",,,,
6,송파와이즈더샵,127F1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.55,97.07,76,3,2,27,계단식,1828800,3055140,365760,860580,804384,670320,134064,,412344,304506,,,,,,,,,,,,
7,송파와이즈더샵,127A1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.08,96.27,76,3,2,12,계단식,1828800,3055140,365760,860580,804384,670320,134064,,408949,301998,,,,,,,,,,,,
8,송파와이즈더샵,127A2㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.58,96.68,76,3,2,12,계단식,1828800,3055140,365760,860580,804384,670320,134064,,410699,303291,"16억 3,000","16억 5,000",,,,,,,,,,
9,송파와이즈더샵,127B2㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.21,97.21,76,3,2,12,계단식,1828800,3055140,365760,860580,804384,670320,134064,,412939,304945,,,,,,,,,,,,
