,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,로얄파크뷰(주상복합),17㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,17.75,15.09,85,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,로얄파크뷰(주상복합),18㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,18.46,15.69,85,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,
2,로얄파크뷰(주상복합),31㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,31.2,26.52,85,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,로얄파크뷰(주상복합),32D㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,32.54,27.66,85,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,로얄파크뷰(주상복합),33A㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,33.15,28.18,85,1,1,2,계단식,,,,,,,,,,,,,,"2억 7,800",,,,,,,,
5,로얄파크뷰(주상복합),33B㎡,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,33.17,28.19,85,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,로얄파크뷰(주상복합),33C,서울시 종로구 연지동,1111016000,238-5,서울시 종로구 대학로1길 34-12,37.572548,127.000375,16,0,10,10,495,59,10,주식회사가인종합건설,HT001,33.62,28.58,85,1,1,2,계단식,,,,,,,,,,,,,,"2억 7,800",,,,,,,,
0,아르젠종로(도시형),18B㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,18.51,13.35,72,1,1,4,복도식,,,,,,,,,,,,,,,,,,,,,,
1,아르젠종로(도시형),18A㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,18.4,13.27,72,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
2,아르젠종로(도시형),19D㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,19.7,14.21,72,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
3,아르젠종로(도시형),19C㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,19.43,14.01,72,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
4,아르젠종로(도시형),23㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,23.19,16.72,72,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
5,아르젠종로(도시형),24A㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,24.98,18.02,72,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
6,아르젠종로(도시형),25B㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,25.95,18.72,72,1,1,3,복도식,,,,,,,,,,,,,,,,,,,,,,
7,아르젠종로(도시형),28C㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,28.08,20.25,72,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
8,아르젠종로(도시형),30㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,30.64,22.1,72,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
9,아르젠종로(도시형),31㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,31.76,22.91,72,1,1,1,복도식,,,,,,,,,,,,"2억 5,000",,,,,,,,,,
10,아르젠종로(도시형),34A㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,34.98,25.23,72,1,1,1,복도식,,,,,,,,,,,"2억 9,000",3억,,,,,,,,,,
11,아르젠종로(도시형),35B㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,35.86,25.86,72,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
12,아르젠종로(도시형),37C㎡,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,37.43,26.99,72,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
13,아르젠종로(도시형),65,서울시 종로구 연지동,1111016000,163-3,서울시 종로구 종로31길 54,37.573234,126.998713,27,0,14,10,578,59,14,석장건설주식회사,HT001,65.5,47.24,72,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
0,주함해븐타워(도시형),23,서울시 종로구 연지동,1111016000,193-2,서울시 종로구 종로31길 46-30,37.572799,126.999869,72,0,9,9,377,54,36,주)주함건설,HT001,23.05,17.14,74,1,1,72,복도식,,,,,,,,,,,,,,,,,,,,,,
