,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DH팰리스(주상복합),60㎡,서울시 강서구 염창동,1150010100,263-7,서울시 강서구 양천로 714-1,37.549256,126.875377,23,0,12,8,339,59,17,대한팰리스종합건설(주),HT001,60.62,53.03,87,2,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
1,DH팰리스(주상복합),63A㎡,서울시 강서구 염창동,1150010100,263-7,서울시 강서구 양천로 714-1,37.549256,126.875377,23,0,12,8,339,59,17,대한팰리스종합건설(주),HT001,63.09,55.19,87,2,1,5,계단식,,,,,,,,,,,"6억 9,700","7억 6,700",,,,,,,,,,
2,DH팰리스(주상복합),65B㎡,서울시 강서구 염창동,1150010100,263-7,서울시 강서구 양천로 714-1,37.549256,126.875377,23,0,12,8,339,59,17,대한팰리스종합건설(주),HT001,65.59,57.38,87,2,1,8,계단식,,,,,,,,,,,,"6억 9,700",,,,,,,,,,
3,DH팰리스(주상복합),97,서울시 강서구 염창동,1150010100,263-7,서울시 강서구 양천로 714-1,37.549256,126.875377,23,0,12,8,339,59,17,대한팰리스종합건설(주),HT001,97.13,84.98,87,3,2,2,계단식,,,,,,,,,,,"12억 2,000","12억 4,000",,,,,,,,,,
0,e편한세상염창,71A㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,71.01,51.75,73,2,1,4,계단식,469350,1002960,93870,439740,0,0,0,,140259,149303,"10억 5,000",11억,,,,,,,,,,
1,e편한세상염창,73B㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,73.02,51.5,71,2,1,2,계단식,469350,1002960,93870,439740,0,0,0,,139578,148578,,,,,,,,,,,,
2,e편한세상염창,75㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,75.57,55.03,73,2,1,26,계단식,485100,1028160,97020,446040,0,0,0,,149138,158755,9억,12억,,"5억 5,000",3억/80,"3억 5,000/50",3억/80,"3억 5,000/50",,,,
3,e편한세상염창,78A㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,78.8,59.88,76,3,2,80,계단식,697725,1368360,139545,531090,0,0,0,,162296,172760,11억,14억,,"7억 3,000",,,,,,,,
4,e편한세상염창,80B㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,80.52,59.98,74,3,2,38,계단식,683550,1345680,136710,525420,0,0,0,,162550,173031,"11억 5,000",15억,,,,,,,,,,
5,e편한세상염창,95㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,95.15,74.29,78,3,2,40,계단식,1058400,1861020,211680,590940,0,0,0,,201354,214336,13억,"13억 8,000",,,,,,,,,,
6,e편한세상염창,107A㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,107.34,84.95,79,3,2,158,계단식,1285200,2212560,257040,670320,0,0,0,,230223,245068,"12억 8,000",14억,8억,"8억 3,000",,,,,,,,
7,e편한세상염창,109C㎡,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,109.44,84.63,77,3,2,57,계단식,1269000,2187450,253800,664650,0,0,0,,229363,244152,"13억 5,000","14억 3,500",,,,,,,,,,
8,e편한세상염창,109B,서울시 강서구 염창동,1150010100,309,서울시 강서구 공항대로 583,37.548676,126.870621,499,56,20,16,289,26,614,㈜대림산업,HT001,109.09,84.97,78,3,2,38,계단식,1269000,2187450,253800,664650,0,0,0,,230292,245141,"13억 8,000",14억,,"7억 9,000",,,,,,,,
0,강변성원,77㎡,서울시 강서구 염창동,1150010100,295,서울시 강서구 양천로69길 65,37.55546,126.87192,297,0,18,17,358,29,349,성원건설주식회사,HT001,77.82,59.91,77,3,1,140,복도식,300600,697140,60120,336420,0,0,0,,148800,147040,"7억 5,000","8억 8,000",,,,,,,,,,
1,강변성원,110㎡,서울시 강서구 염창동,1150010100,295,서울시 강서구 양천로69길 65,37.55546,126.87192,297,0,18,17,358,29,349,성원건설주식회사,HT001,110.15,84.81,77,3,2,85,계단식,417600,919440,83520,418320,0,0,0,,210644,208153,"8억 8,000","9억 7,000",,"5억 9,000",,,,,,,,
2,강변성원,148,서울시 강서구 염창동,1150010100,295,서울시 강서구 양천로69길 65,37.55546,126.87192,297,0,18,17,358,29,349,성원건설주식회사,HT001,148.23,114.12,77,4,2,72,계단식,737100,1431360,147420,546840,0,0,0,,283442,280091,12억,14억,6억,"6억 1,000",,,,,,,,
0,강변코아루,109㎡,서울시 강서구 염창동,1150010100,303,서울시 강서구 양천로71길 54,37.553348,126.87366,130,0,15,11,249,26,181,서광건설산업,HT001,109.5,84.77,77,3,2,82,계단식,568575,1161720,113715,479430,0,0,0,,,,"10억 2,000","12억 4,000",,,,,,,,,,
1,강변코아루,142,서울시 강서구 염창동,1150010100,303,서울시 강서구 양천로71길 54,37.553348,126.87366,130,0,15,11,249,26,181,서광건설산업,HT001,142.31,114.78,81,4,2,48,계단식,781200,1501920,156240,564480,0,0,0,,,,12억,"13억 5,000",,,,,,,,,,
0,강변한솔솔파크,108B㎡,서울시 강서구 염창동,1150010100,300,서울시 강서구 양천로63길 38,37.55692,126.866533,455,0,25,10,236,18,530,한솔건설(주),HT001,108.21,84.97,79,3,2,358,계단식,615825,1237320,123165,498330,0,0,0,,203390,213370,"9억 2,000",14억,,,,,,,,,,
1,강변한솔솔파크,108C㎡,서울시 강서구 염창동,1150010100,300,서울시 강서구 양천로63길 38,37.55692,126.866533,455,0,25,10,236,18,530,한솔건설(주),HT001,108.26,84.69,78,3,2,75,계단식,615825,1237320,123165,498330,0,0,0,,202720,212667,11억,13억,,,,,,,,,,
2,강변한솔솔파크,110A,서울시 강서구 염창동,1150010100,300,서울시 강서구 양천로63길 38,37.55692,126.866533,455,0,25,10,236,18,530,한솔건설(주),HT001,110.48,84.73,77,3,2,22,계단식,615825,1237320,123165,498330,0,0,0,,202816,212768,,,,,,,,,,,,
0,강변힐스테이트,80㎡,서울시 강서구 염창동,1150010100,299,서울시 강서구 양천로75길 19,37.551261,126.874077,417,0,23,10,248,18,463,현대건설(주),HT001,80.85,59.9,74,3,2,51,계단식,530775,1101240,106155,464310,0,0,0,,175362,178414,10억,"11억 2,000",,,,,,,,,,
1,강변힐스테이트,110,서울시 강서구 염창동,1150010100,299,서울시 강서구 양천로75길 19,37.551261,126.874077,417,0,23,10,248,18,463,현대건설(주),HT001,110.26,84.99,77,3,2,366,계단식,1004400,1777320,200880,572040,0,0,0,,248815,253145,11억,"15억 5,000",,,,,,,,,,
0,강서쌍용예가,87㎡,서울시 강서구 염창동,1150010100,308,서울시 강서구 양천로 613,37.555451,126.866499,152,0,20,8,249,22,191,쌍용건설(주),HT001,87.64,59.91,68,3,2,18,계단식,360900,811710,72180,378630,0,0,0,,170382,174308,,,,,,,,,,,,
1,강서쌍용예가,108A㎡,서울시 강서구 염창동,1150010100,308,서울시 강서구 양천로 613,37.555451,126.866499,152,0,20,8,249,22,191,쌍용건설(주),HT001,108.81,84.9,78,3,2,123,계단식,581175,1181880,116235,484470,0,0,0,,241422,246984,10억,"12억 5,000",,6억,,,,,,,,
2,강서쌍용예가,110B,서울시 강서구 염창동,1150010100,308,서울시 강서구 양천로 613,37.555451,126.866499,152,0,20,8,249,22,191,쌍용건설(주),HT001,110.37,84.98,77,3,2,11,계단식,581175,1181880,116235,484470,0,0,0,,241668,247236,"9억 9,500","10억 8,000",,,,,,,,,,
0,극동,84㎡,서울시 강서구 염창동,1150010100,246-23,서울시 강서구 양천로69길 18,37.553,126.87112,249,0,19,17,366,28,292,극동건설(주),HT001,84.79,59.9,71,3,1,100,복도식,300600,697140,60120,336420,0,0,0,,159342,156799,7억,"8억 6,000",,,,,,,,,,
1,극동,100㎡,서울시 강서구 염창동,1150010100,246-23,서울시 강서구 양천로69길 18,37.553,126.87112,249,0,19,17,366,28,292,극동건설(주),HT001,100.87,79.46,79,3,2,37,계단식,358200,806580,71640,376740,0,0,0,,211388,208014,"8억 4,000","9억 5,000",,,,,,,,,,
2,극동,107㎡,서울시 강서구 염창동,1150010100,246-23,서울시 강서구 양천로69길 18,37.553,126.87112,249,0,19,17,366,28,292,극동건설(주),HT001,107.9,85,79,3,2,56,계단식,406800,898920,81360,410760,0,0,0,,226112,222503,"8억 7,000",11억,,,,,,,,,,
3,극동,132,서울시 강서구 염창동,1150010100,246-23,서울시 강서구 양천로69길 18,37.553,126.87112,249,0,19,17,366,28,292,극동건설(주),HT001,132.2,104.15,79,4,2,56,계단식,540225,1116360,108045,468090,0,0,0,,277053,272631,"10억 6,000","11억 8,000",,,,,,,,,,
0,극동상록수,86㎡,서울시 강서구 염창동,1150010100,280,서울시 강서구 공항대로71길 31,37.549,126.87218,256,0,18,10,304,26,262,극동건설,HT001,86.05,59.91,70,3,1,115,복도식,330300,753570,66060,357210,0,0,0,,146942,146861,7억,"8억 7,000",,,,,,,,,,
1,극동상록수,110,서울시 강서구 염창동,1150010100,280,서울시 강서구 공항대로71길 31,37.549,126.87218,256,0,18,10,304,26,262,극동건설,HT001,110.36,84.96,77,3,2,141,계단식,492975,1040760,98595,449190,0,0,0,,208382,208267,"9억 5,000","11억 5,000",,,,"1억 5,000/130",,"1억 5,000/130",,,,
0,금호타운,79㎡,서울시 강서구 염창동,1150010100,240-32,서울시 강서구 양천로 595,37.556563,126.864988,290,0,19,12,347,26,282,금호건설(주),HT001,79.84,59.88,75,3,1,160,계단식,334800,762120,66960,360360,0,0,0,,168044,168938,"7억 5,000",9억,4억,"5억 3,000",,,,,,,,
1,금호타운,107,서울시 강서구 염창동,1150010100,240-32,서울시 강서구 양천로 595,37.556563,126.864988,290,0,19,12,347,26,282,금호건설(주),HT001,107.52,84.84,79,3,2,130,계단식,425250,932400,85050,422100,0,0,0,,238091,239357,9억,"11억 5,000",,"4억 5,000",,1억/180,,1억/180,,,,
0,노블레스,57㎡,서울시 강서구 염창동,1150010100,266-3,서울시 강서구 공항대로65가길 17,37.550985,126.870463,18,0,10,10,249,37,20,영도종합건설주식회사,HT001,57.12,49.64,87,2,1,1,계단식,66750,215550,13350,135450,0,0,0,,,,,,,,,,,,,,,
1,노블레스,61㎡,서울시 강서구 염창동,1150010100,266-3,서울시 강서구 공항대로65가길 17,37.550985,126.870463,18,0,10,10,249,37,20,영도종합건설주식회사,HT001,61.4,53.36,87,2,1,1,계단식,71250,227250,14250,141750,0,0,0,,,,,"4억 5,000",,,,,,,,,,
