,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,건영2차,93㎡,서울시 노원구 중계동,1135010600,515-2,서울시 노원구 덕릉로 517,37.646732,127.065831,742,0,15,14,242,18,520,(주)건영종합건설,HT005,93.51,75.02,80,3,1,382,계단식,316800,727920,63360,347760,0,0,0,,308055,195813,"6억 8,000","8억 8,000","3억 5,000",4억,"6,000/130",2억/70,"6,000/130",2억/70,,,,
1,건영2차,104,서울시 노원구 중계동,1135010600,515-2,서울시 노원구 덕릉로 517,37.646732,127.065831,742,0,15,14,242,18,520,(주)건영종합건설,HT005,104.66,84.96,81,3,2,360,계단식,360000,810000,72000,378000,0,0,0,,348872,221758,"7억 7,000","10억 5,000","3억 8,000","4억 5,000",,,,,,,,
0,건영3차,105,서울시 노원구 중계동,1135010600,360-15,서울시 노원구 노원로22길 71,37.648766,127.07469,948,0,15,12,217,22,1075,(주)건영,HT002,105.77,84.9,80,3,2,948,계단식,991800,1757790,198360,567630,0,0,0,,430497,295161,"9억 8,000",13억,"5억 6,000","6억 8,000",2억/165,6억/30,2억/165,6억/30,,,,
0,"경남,롯데,상아",61A㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,61.52,50.97,83,2,1,180,계단식,198900,503910,39780,265230,0,0,0,,245860,192319,"5억 2,000","5억 5,000",,"2억 5,000",,,,,,,,
1,"경남,롯데,상아",63B㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,63.36,51.29,81,2,1,180,계단식,202500,510750,40500,267750,0,0,0,,247404,193527,"4억 8,000","6억 1,000","2억 4,000","2억 7,000",,1억/70,,1억/70,,,,
2,"경남,롯데,상아",67㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,67.23,54.48,81,2,1,150,계단식,205200,515880,41040,269640,0,0,0,,262791,205563,5억,"6억 5,000","2억 4,000","2억 7,000","5,000/80","1억 5,000/50","5,000/80","1억 5,000/50",,,,
3,"경남,롯데,상아",89B㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.84,72.73,81,3,1,180,계단식,328500,750150,65700,355950,0,0,0,,350822,274424,"7억 2,000","8억 2,000",,,,,,,,,,
4,"경남,롯데,상아",89C㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.55,74.2,83,3,1,180,계단식,327600,748440,65520,355320,0,0,0,,357913,279970,"7억 5,000","8억 4,000",,"3억 5,000",,,,,,,,
5,"경남,롯데,상아",89A㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,89.47,72.49,81,3,1,150,계단식,323100,739890,64620,352170,0,0,0,,349665,273518,,"8억 1,000",,"3억 8,000",,,,,,,,
6,"경남,롯데,상아",101㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,101.29,84.97,84,3,2,600,계단식,422100,927360,84420,420840,0,0,0,,409863,320607,"8억 2,500","9억 2,500","2억 7,000","5억 1,000",2억/80,"2억 5,000/90",2억/80,"2억 5,000/90",,,,
7,"경남,롯데,상아",133㎡,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,133.24,114.57,86,4,2,180,계단식,612675,1232280,122535,497070,0,0,0,,552643,432294,"9억 8,000","11억 2,000",,,,,,,,,,
8,"경남,롯데,상아",150,서울시 노원구 중계동,1135010600,505,서울시 노원구 섬밭로 265,37.638994,127.062664,1890,0,15,15,234,18,963,"경남기업,롯데건설,동성",HT005,150.24,129.91,86,4,2,90,계단식,641025,1277640,128205,508410,0,0,0,,626637,490174,10억,13억,,,,4억/120,,4억/120,,,,
0,경남아너스빌,82㎡,서울시 노원구 중계동,1135010600,597,서울시 노원구 덕릉로94길 10,37.661969,127.077257,299,0,19,16,357,25,346,경남기업(주),HT001,82.22,59.98,73,3,1,17,계단식,181800,471420,36360,253260,0,0,0,,155126,155628,,,,,,,,,,,,
