,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,광남캐스빌,95㎡,서울시 동대문구 청량리동,1123010700,425,서울시 동대문구 홍릉로12길 29,37.58607,127.04453,20,0,7,6,228,38,23,광남건설(주),HT001,95.28,82.46,87,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,광남캐스빌,97B㎡,서울시 동대문구 청량리동,1123010700,425,서울시 동대문구 홍릉로12길 29,37.58607,127.04453,20,0,7,6,228,38,23,광남건설(주),HT001,97.88,84.71,87,3,2,7,계단식,316800,727920,63360,347760,0,0,0,,,,,,,,,,,,,,,
2,광남캐스빌,97A㎡,서울시 동대문구 청량리동,1123010700,425,서울시 동대문구 홍릉로12길 29,37.58607,127.04453,20,0,7,6,228,38,23,광남건설(주),HT001,97.82,84.66,87,3,2,5,계단식,316800,727920,63360,347760,0,0,0,,,,,,,,,,,,,,,
3,광남캐스빌,98C㎡,서울시 동대문구 청량리동,1123010700,425,서울시 동대문구 홍릉로12길 29,37.58607,127.04453,20,0,7,6,228,38,23,광남건설(주),HT001,98.04,84.86,87,3,2,6,계단식,318600,731340,63720,349020,0,0,0,,,,,10억,,,,,,,,,,
4,광남캐스빌,159,서울시 동대문구 청량리동,1123010700,425,서울시 동대문구 홍릉로12길 29,37.58607,127.04453,20,0,7,6,228,38,23,광남건설(주),HT001,159.61,138.14,87,4,2,1,계단식,626850,1254960,125370,502740,0,0,0,,,,,,,,,,,,,,,
0,동일스카이씨티빌(도시형),34A㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,34.14,27.96,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,동일스카이씨티빌(도시형),35B㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,35.16,29.98,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
2,동일스카이씨티빌(도시형),38㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,38.01,33.35,88,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
3,동일스카이씨티빌(도시형),40B㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,40.01,35.11,88,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
4,동일스카이씨티빌(도시형),42A㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,42.63,34.91,82,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,동일스카이씨티빌(도시형),44A㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,44.7,36.6,82,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
6,동일스카이씨티빌(도시형),44B㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,44.24,37.73,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
7,동일스카이씨티빌(도시형),45C㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,45.24,39.69,88,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
8,동일스카이씨티빌(도시형),47A㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,47.2,40.25,85,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
9,동일스카이씨티빌(도시형),47B㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,47.24,41.45,88,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
10,동일스카이씨티빌(도시형),49C㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,49.55,42.12,85,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
11,동일스카이씨티빌(도시형),50A㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,50.35,42.94,85,2,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,
12,동일스카이씨티빌(도시형),51B㎡,서울시 동대문구 청량리동,1123010700,199-200,서울시 동대문구 홍릉로22길 17-4,37.587526,127.043983,36,0,5,4,0,0,29,"(주)서우림종합건설,(주)상원티에스,주식회사 주영종합건설",HT001,51.63,43.89,85,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
