,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,YG포레스트(주상복합),18A㎡,서울시 성동구 성수동1가,1120011400,656-449,서울시 성동구 왕십리로8길 6,37.546261,127.045298,18,0,10,10,399,55,12,(주)주성종합건설,HT001,18.47,14.11,76,1,1,11,복도식,,,,,,,,,,,,,,,,,,,,,,
1,YG포레스트(주상복합),34B㎡,서울시 성동구 성수동1가,1120011400,656-449,서울시 성동구 왕십리로8길 6,37.546261,127.045298,18,0,10,10,399,55,12,(주)주성종합건설,HT001,34.16,26.09,76,1,1,5,복도식,,,,,,,,,,,,,,"4억 9,000",,,,,,,,
2,YG포레스트(주상복합),36C㎡,서울시 성동구 성수동1가,1120011400,656-449,서울시 성동구 왕십리로8길 6,37.546261,127.045298,18,0,10,10,399,55,12,(주)주성종합건설,HT001,36.87,28.16,76,1,1,1,복도식,,,,,,,,,,,,,,,,,,,,,,
3,YG포레스트(주상복합),47B,서울시 성동구 성수동1가,1120011400,656-449,서울시 성동구 왕십리로8길 6,37.546261,127.045298,18,0,10,10,399,55,12,(주)주성종합건설,HT001,47.62,36.37,76,1,1,1,복도식,,,,,,,,,,,,,,"6억 8,000",,,,,,,,
0,강변건영,95㎡,서울시 성동구 성수동1가,1120011400,710,서울시 성동구 왕십리로 36,37.540242,127.04488,580,0,25,8,301,20,660,(주)건영,HT001,95.56,73.91,77,3,2,44,계단식,1647000,2773350,329400,796950,498960,415800,83160,,164592,176349,,,,,,,,,,,,
1,강변건영,109B㎡,서울시 성동구 성수동1가,1120011400,710,서울시 성동구 왕십리로 36,37.540242,127.04488,580,0,25,8,301,20,660,(주)건영,HT001,109.84,84.95,77,3,2,281,계단식,2084400,3451320,416880,950040,1233792,1028160,205632,,189176,202689,16억,22억,"7억 8,000",8억,1억/300,3억/270,1억/300,3억/270,,,,
2,강변건영,109A,서울시 성동구 성수동1가,1120011400,710,서울시 성동구 왕십리로 36,37.540242,127.04488,580,0,25,8,301,20,660,(주)건영,HT001,109.82,84.94,77,3,2,255,계단식,2084400,3451320,416880,950040,1233792,1028160,205632,,189152,202663,"16억 7,000","18억 5,000","7억 5,000","7억 8,000",1억/320,6억/70,1억/320,6억/70,,,,
0,갤러리아포레(주상복합),231A㎡,서울시 성동구 성수동1가,1120011400,685-696,서울시 성동구 서울숲2길 32-14,37.545722,127.042339,230,0,45,45,399,41,1504,(주)한화건설,HT001,231.99,167.39,72,3,3,2,계단식,5401800,8593290,1080360,2111130,13654224,11378520,2275704,,1130548,1382321,,,,,,,,,,,,
1,갤러리아포레(주상복합),232A㎡,서울시 성동구 성수동1가,1120011400,685-696,서울시 성동구 서울숲2길 32-14,37.545722,127.042339,230,0,45,45,399,41,1504,(주)한화건설,HT001,232.59,170.98,74,4,3,33,계단식,5286600,8414730,1057320,2070810,12999888,10833240,2166648,,1154795,1411967,,,,35억,,2억/1800,,2억/1800,,,,
2,갤러리아포레(주상복합),232B㎡,서울시 성동구 성수동1가,1120011400,685-696,서울시 성동구 서울숲2길 32-14,37.545722,127.042339,230,0,45,45,399,41,1504,(주)한화건설,HT001,232.15,167.9,72,3,3,2,계단식,5367600,8540280,1073520,2099160,13459968,11216640,2243328,,1133993,1386533,,,,,,,,,,,,
