,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,길음역금호어울림센터힐,77B㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,77,59.5,77,3,2,88,계단식,,,,,,,,,157077,160465,8억,"8억 4,000",,"5억 5,000",,,,,,,,
1,길음역금호어울림센터힐,78A㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,78.54,59.84,76,3,2,88,계단식,,,,,,,,,157975,161382,"7억 9,000","8억 4,000",,,,,,,,,,
2,길음역금호어울림센터힐,108C㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.14,84.88,78,3,2,40,계단식,,,,,,,,,224080,228912,,,,,,,,,,,,
3,길음역금호어울림센터힐,108D㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.31,84.94,78,3,2,40,계단식,,,,,,,,,224238,229074,,"9억 4,000",,,,"3,000/120",,"3,000/120",,,,
4,길음역금호어울림센터힐,108A㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.99,84.77,78,3,2,36,계단식,,,,,,,,,223789,228615,,"9억 5,000",,,,,,,,,,
5,길음역금호어울림센터힐,108B㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.38,84.98,78,3,2,34,계단식,,,,,,,,,224344,229182,10억,"10억 5,000",,,,,,,,,,
6,길음역금호어울림센터힐,109E㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,109.21,84.8,78,3,2,40,계단식,,,,,,,,,223869,228697,,"9억 3,000",,,,1억/170,,1억/170,,,,
7,길음역금호어울림센터힐,151,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,151.35,119.56,79,4,2,40,계단식,,,,,,,,,315633,322440,"12억 5,000",13억,,,,,,,,,,
0,돈암대성유니드,110㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,110.18,82.3,75,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
1,돈암대성유니드,113㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,113.69,84.94,75,3,2,26,계단식,,,,,,,,,,,,,,,,,,,,,,
2,돈암대성유니드,114㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,114.52,84.93,74,3,2,28,계단식,,,,,,,,,,,,"7억 5,000",,,,,,,,,,
3,돈암대성유니드,127㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,127.27,100.38,79,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,돈암대성유니드,139㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,139.91,111.2,79,4,2,2,계단식,,,,,,,,,,,,,,,,"4억 6,000/30",,"4억 6,000/30",,,,
5,돈암대성유니드,145,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,145.58,115.93,80,4,2,22,계단식,,,,,,,,,,,,,,,,,,,,,,
0,돈암더샵,106A㎡,서울시 성북구 돈암동,1129010300,603,서울시 성북구 아리랑로5길 85,37.597357,127.010229,339,0,20,9,218,15,383,(주)포스코건설,HT001,106.96,84.41,79,3,2,13,계단식,359100,808290,71820,377370,0,0,0,,232622,225456,"7억 7,000","8억 4,000",,,,,,,,,,
1,돈암더샵,106B㎡,서울시 성북구 돈암동,1129010300,603,서울시 성북구 아리랑로5길 85,37.597357,127.010229,339,0,20,9,218,15,383,(주)포스코건설,HT001,106.89,84.72,79,3,2,13,계단식,359100,808290,71820,377370,0,0,0,,233477,226284,,,,"4억 7,000",,,,,,,,
2,돈암더샵,107C,서울시 성북구 돈암동,1129010300,603,서울시 성북구 아리랑로5길 85,37.597357,127.010229,339,0,20,9,218,15,383,(주)포스코건설,HT001,107.12,84.81,79,3,2,313,계단식,359100,808290,71820,377370,0,0,0,,233736,226535,"7억 1,000","8억 1,000",,"5억 2,000",,,,,,,,
0,돈암브라운스톤,82㎡,서울시 성북구 돈암동,1129010300,636,서울시 성북구 북악산로 844,37.597991,127.01761,1074,0,19,3,238,19,1177,이수건설(주),HT001,82.87,59.99,72,3,2,514,계단식,321300,736470,64260,350910,0,0,0,,140562,142161,"6억 8,000","8억 6,000",,,,1억/130,,1억/130,,,,
1,돈암브라운스톤,90㎡,서울시 성북구 돈암동,1129010300,636,서울시 성북구 북악산로 844,37.597991,127.01761,1074,0,19,3,238,19,1177,이수건설(주),HT001,90.89,65.95,73,3,2,17,계단식,324900,743310,64980,353430,0,0,0,,154527,156284,,"7억 5,000",,,,,,,,,,
2,돈암브라운스톤,109㎡,서울시 성북구 돈암동,1129010300,636,서울시 성북구 북악산로 844,37.597991,127.01761,1074,0,19,3,238,19,1177,이수건설(주),HT001,109.81,84.97,77,3,2,465,계단식,477225,1015560,95445,442890,0,0,0,,199093,201357,8억,11억,,"5억 5,000",,,,,,,,
3,돈암브라운스톤,145,서울시 성북구 돈암동,1129010300,636,서울시 성북구 북악산로 844,37.597991,127.01761,1074,0,19,3,238,19,1177,이수건설(주),HT001,145.24,114.89,79,4,2,78,계단식,685125,1348200,137025,526050,0,0,0,,269198,272259,"10억 5,000",13억,,,,,,,,,,
0,돈암삼성,79㎡,서울시 성북구 돈암동,1129010300,15-1,서울시 성북구 동소문로34길 24,37.599399,127.023242,1278,0,26,12,223,20,1676,삼성물산(주),HT001,79.57,59.4,75,2,1,298,복도식,252900,606510,50580,303030,0,0,0,,136086,131815,"5억 7,000","6억 6,000",,"3억 7,000",,"2억 5,000/45",,"2억 5,000/45",,,,
1,돈암삼성,105㎡,서울시 성북구 돈암동,1129010300,15-1,서울시 성북구 동소문로34길 24,37.599399,127.023242,1278,0,26,12,223,20,1676,삼성물산(주),HT001,105,84.59,81,3,2,585,계단식,385200,857880,77040,395640,0,0,0,,193797,187714,"7억 3,000","7억 9,000","4억 4,000",5억,,,,,,,,
2,돈암삼성,137,서울시 성북구 돈암동,1129010300,15-1,서울시 성북구 동소문로34길 24,37.599399,127.023242,1278,0,26,12,223,20,1676,삼성물산(주),HT001,137.23,114.66,84,4,2,395,계단식,518175,1081080,103635,459270,0,0,0,,262687,254442,8억,"10억 5,000","5억 1,000",6억,,"2억 5,000/70",,"2억 5,000/70",,,,
