,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,유니아빌,29A㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,29.42,23.51,80,1,1,1,계단식,38880,101088,7776,54432,0,0,0,,,,,,,,,,,,,,,
1,유니아빌,30B㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,30.5,24.37,80,1,1,1,계단식,40080,104208,8016,56112,0,0,0,,,,,,,,,,,,,,,
2,유니아빌,30C㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,30.65,24.49,80,1,1,1,계단식,40680,105768,8136,56952,0,0,0,,,,,,,,,,,,,,,
3,유니아빌,30D㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,30.95,24.79,80,1,1,1,계단식,40920,106392,8184,57288,0,0,0,,,,,,,,,,,,,,,
4,유니아빌,33㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,33.45,26.73,80,1,1,2,계단식,44280,115128,8856,61992,0,0,0,,,,,,,,,,,,,,,
5,유니아빌,35㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,35.47,28.34,80,1,1,1,계단식,46680,121368,9336,65352,0,0,0,,,,,,,,,,,,,,,
6,유니아빌,46㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,46.28,36.98,80,1,1,2,계단식,60900,157920,12180,84840,0,0,0,,,,,,,,,,,,,,,
7,유니아빌,51B㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,51.45,41.11,80,1,1,2,계단식,69900,177120,13980,93240,0,0,0,,,,,,,,,,,,,,,
8,유니아빌,51A㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,51.25,40.95,80,1,1,1,계단식,66300,169440,13260,89880,0,0,0,,,,,,,,,,,,,,,
9,유니아빌,51C㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,51.65,41.27,80,1,1,1,계단식,71700,180960,14340,94920,0,0,0,,,,,,,,,,,,,,,
10,유니아빌,64㎡,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,64.87,51.84,80,1,1,1,계단식,93300,227040,18660,115080,0,0,0,,,,,,,,,,,,,,,
11,유니아빌,100,서울시 성북구 안암동2가,1129012200,119-23,서울시 성북구 인촌로7가길 58,37.586664,127.024045,15,0,6,4,251,58,11,(주)광동산업건설,HT001,100.87,84.16,83,1,1,1,계단식,53040,137904,10608,74256,0,0,0,,,,,,,,,,,,,,,
