,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DMC SK뷰,84B㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,84.89,59.98,71,3,2,42,계단식,,,,,,,,,,,,"11억 5,000","5억 5,000",6억,,"4억 5,000/50",,"4억 5,000/50",,,,
1,DMC SK뷰,85A㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,85.22,59.98,70,3,2,164,계단식,,,,,,,,,,,,,"5억 2,000",6억,"5,000/220",4억/100,"5,000/220",4억/100,,,,
2,DMC SK뷰,114B㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,114.32,84.99,74,3,2,65,계단식,,,,,,,,,,,14억,16억,"6억 4,000","7억 5,000",,,,,,,,
3,DMC SK뷰,117A㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,117.72,84.99,72,3,2,196,계단식,,,,,,,,,,,"14억 5,000",16억,"6억 3,000",7억,2억/200,4억/120,2억/200,4억/120,,,,
4,DMC SK뷰,117E㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,117.52,84.99,72,3,2,35,계단식,,,,,,,,,,,,,,"6억 8,000",,,,,,,,
5,DMC SK뷰,117D㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,117.66,84.99,72,3,2,32,계단식,,,,,,,,,,,,,,"6억 8,000",,2억/230,,2억/230,,,,
6,DMC SK뷰,118C㎡,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,118.36,84.99,72,3,2,34,계단식,,,,,,,,,,,,16억,,,,,,,,,,
7,DMC SK뷰,149,서울시 은평구 수색동,1138010100,30-2,서울시 은평구 수색로 216,37.581003,126.899946,753,135,30,16,0,0,960,에스케이건설(주),HT001,149.89,112.87,75,4,2,50,계단식,,,,,,,,,,,,,,,,,,,,,,
0,DMCSK뷰아이파크포레,58㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,58.54,39.97,68,1,1,219,계단식,,,,,,,,,,,,,,"3억 3,000","5,000/120","2억 5,000/120","5,000/120","2억 5,000/120",,,,
1,DMCSK뷰아이파크포레,73㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,73.67,49.92,68,2,1,177,계단식,,,,,,,,,,,,,,"3억 9,500",,,,,,,,
2,DMCSK뷰아이파크포레,77㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,77.76,53.95,69,2,1,75,계단식,,,,,,,,,,,,,"4억 3,000","5억 2,000",3억/120,4억/50,3억/120,4억/50,,,,
3,DMCSK뷰아이파크포레,80A㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,80.96,59.96,74,3,2,359,계단식,,,,,,,,,,,"8억 9,000",10억,"4억 4,500","5억 5,000","5,000/200",3억/100,"5,000/200",3억/100,,,,
4,DMCSK뷰아이파크포레,81B㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,81.46,59.97,74,3,2,40,계단식,,,,,,,,,,,,,"4억 5,000","5억 3,000",,,,,,,,
5,DMCSK뷰아이파크포레,100㎡,서울시 은평구 수색동,1138010100,341-6번지 일원,서울시 은평구,37.585756,126.893091,1466,0,19,8,238,23,1954,"에스케이건설(주),HDC현대산업개발(주)",HT001,100.53,76.65,76,3,2,96,계단식,,,,,,,,,,,"10억 5,000",11억,"4억 7,000","5억 5,000",3억/100,"3억 6,000/70",3억/100,"3억 6,000/70",,,,
