,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DMC덕원,42㎡,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,42.33,35.78,85,2,1,13,계단식,99150,299790,19830,180810,0,0,0,,,,"4억 5,000",5억,,,,,,,,,,
1,DMC덕원,70A㎡,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,70.48,59.57,85,3,1,14,계단식,193500,493650,38700,261450,0,0,0,,,,,"7억 7,000",,,,,,,,,,
2,DMC덕원,70B㎡,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,70.97,59.99,85,3,1,11,계단식,193500,493650,38700,261450,0,0,0,,,,,6억,,,,,,,,,,
3,DMC덕원,85㎡,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,85.47,72.24,85,3,1,11,계단식,209700,524430,41940,272790,0,0,0,,,,,,,,,,,,,,,
4,DMC덕원,100㎡,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,100.37,84.84,85,3,2,17,계단식,248400,597960,49680,299880,0,0,0,,,,,9억,,,,,,,,,,
5,DMC덕원,112,서울시 은평구 증산동,1138011000,220-1,서울시 은평구 증산로 221,37.5788,126.90354,84,0,18,11,389,30,88,덕원공영(주),HT001,112.44,95.04,85,3,2,18,계단식,270000,639000,54000,315000,0,0,0,,,,,"8억 5,000",,5억,,,,,,,,
0,DMC문영퀸즈파크,105㎡,서울시 은평구 증산동,1138011000,254,서울시 은평구 증산로13길 44-5,37.587619,126.907735,119,0,15,9,283,24,137,(주)문영건설,HT001,105.39,84.97,81,3,2,12,계단식,183600,474840,36720,254520,0,0,0,,,,,,,,,,,,,,,
1,DMC문영퀸즈파크,110㎡,서울시 은평구 증산동,1138011000,254,서울시 은평구 증산로13길 44-5,37.587619,126.907735,119,0,15,9,283,24,137,(주)문영건설,HT001,110.98,84.92,77,3,2,19,계단식,188100,483390,37620,257670,0,0,0,,,,,"6억 5,000",,,,,,,,,,
2,DMC문영퀸즈파크,113A㎡,서울시 은평구 증산동,1138011000,254,서울시 은평구 증산로13길 44-5,37.587619,126.907735,119,0,15,9,283,24,137,(주)문영건설,HT001,113.74,84.97,75,3,2,73,계단식,188100,483390,37620,257670,0,0,0,,,,,"7억 5,000",,,,,,,,,,
3,DMC문영퀸즈파크,113B,서울시 은평구 증산동,1138011000,254,서울시 은평구 증산로13길 44-5,37.587619,126.907735,119,0,15,9,283,24,137,(주)문영건설,HT001,113.8,84.97,75,3,2,15,계단식,183600,474840,36720,254520,0,0,0,,,,,,,,,,,,,,,
0,DMC센트럴자이,81A㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,81.88,59.67,73,3,2,62,계단식,,,,,,,,,,,"11억 5,000","13억 5,000",,,,,,,,,,
1,DMC센트럴자이,81C㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,81.77,59.97,73,3,2,40,계단식,,,,,,,,,,,"11억 5,000","13억 5,000","5억 9,000",6억,,,,,,,,
2,DMC센트럴자이,82D㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,82.96,59.96,72,3,2,12,계단식,,,,,,,,,,,,,,,,,,,,,,
3,DMC센트럴자이,83B㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,83.91,59.97,71,3,2,128,계단식,,,,,,,,,,,,12억,6억,"6억 5,000",,2억/150,,2억/150,,,,
4,DMC센트럴자이,84B㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,84.96,55.93,66,3,2,40,계단식,,,,,,,,,,,,"10억 8,500",,"6억 5,000",,,,,,,,
5,DMC센트럴자이,85A㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,85.21,55.74,65,3,2,19,계단식,,,,,,,,,,,,"10억 8,500",,,,,,,,,,
6,DMC센트럴자이,99㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,99.91,74.78,75,3,2,37,계단식,,,,,,,,,,,,,,,,,,,,,,
7,DMC센트럴자이,112C㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,112.5,84.92,75,3,2,258,계단식,,,,,,,,,,,"15억 1,000",17억,,"7억 3,000",,,,,,,,
8,DMC센트럴자이,112A㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,112.07,84.85,76,3,2,105,계단식,,,,,,,,,,,,"17억 2,000",,,,,,,,,,
9,DMC센트럴자이,113D㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,113.09,84.97,75,4,2,114,계단식,,,,,,,,,,,17억,18억,7억,8억,,,,,,,,
10,DMC센트럴자이,114B㎡,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,114.51,84.96,74,3,2,219,계단식,,,,,,,,,,,"15억 1,000","16억 5,000",,,,,,,,,,
11,DMC센트럴자이,114E,서울시 은평구 증산동,1138011000,258,서울시 은평구 수색로 200,37.580076,126.903421,1388,237,30,7,250,21,1685,지에스건설(주),HT001,114.51,84.88,74,3,2,117,계단식,,,,,,,,,,,"17억 5,000",18억,,"7억 5,000",,,,,,,,
0,DMC우방,83㎡,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,83.31,59.91,72,3,1,184,복도식,275400,649260,55080,318780,0,0,0,,179330,175430,"6억 9,000",8억,,4억,,,,,,,,
1,DMC우방,107A㎡,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,107.78,84.99,79,3,2,142,계단식,364500,818550,72900,381150,0,0,0,,254402,248869,"8억 9,000","9억 5,000","4억 5,000","4억 8,000",,,,,,,,
2,DMC우방,107B㎡,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,107.51,84.75,79,3,2,18,계단식,348300,787770,69660,369810,0,0,0,,253684,248166,,"9억 5,000",,,,,,,,,,
3,DMC우방,107C㎡,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,107.52,84.76,79,3,2,5,계단식,348300,787770,69660,369810,0,0,0,,253714,248195,,,,,,,,,,,,
4,DMC우방,141A㎡,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,141.5,114.97,81,4,2,58,계단식,425250,932400,85050,422100,0,0,0,,344143,336657,9억,13억,,,,,,,,,,
5,DMC우방,141B,서울시 은평구 증산동,1138011000,244,서울시 은평구 증산로3길 26-1,37.581771,126.902839,429,0,23,8,348,25,488,(주)우방,HT001,141.53,115,81,4,2,22,계단식,404100,893790,80820,408870,0,0,0,,344232,336745,,11억,,,,,,,,,,
0,DMC월드,102㎡,서울시 은평구 증산동,1138011000,250,서울시 은평구 증산로 333,37.58628,126.91159,119,0,18,15,299,20,131,(주)화수종합건설,HT001,102.06,80.93,79,3,2,83,계단식,253800,608220,50760,303660,0,0,0,,,,,"7억 8,000",,,,,,,,,,
1,DMC월드,105,서울시 은평구 증산동,1138011000,250,서울시 은평구 증산로 333,37.58628,126.91159,119,0,18,15,299,20,131,(주)화수종합건설,HT001,105.39,83.15,79,3,2,36,계단식,257400,615060,51480,306180,0,0,0,,,,,"8억 5,000",,,,,,,,,,
0,굿모닝하이빌(목화),96㎡,서울시 은평구 증산동,1138011000,164-5,서울시 은평구 증산로 319,37.58529,126.91081,19,0,11,10,299,33,21,,HT001,96.57,84.93,88,3,2,18,계단식,187200,481680,37440,257040,0,0,0,,,,,,,,,,,,,,,
1,굿모닝하이빌(목화),182,서울시 은평구 증산동,1138011000,164-5,서울시 은평구 증산로 319,37.58529,126.91081,19,0,11,10,299,33,21,,HT001,182.79,160.7,88,4,2,1,계단식,267300,633870,53460,313110,0,0,0,,,,,,,,,,,,,,,
0,두산위브,107A㎡,서울시 은평구 증산동,1138011000,255,서울시 은평구 증산서길 79,37.584164,126.906313,122,0,15,11,238,23,163,두산산업개발(주),HT001,107.48,84.42,79,3,2,46,계단식,299700,695430,59940,335790,0,0,0,,,,"8억 3,000","8억 5,000",,,,,,,,,,
1,두산위브,107B㎡,서울시 은평구 증산동,1138011000,255,서울시 은평구 증산서길 79,37.584164,126.906313,122,0,15,11,238,23,163,두산산업개발(주),HT001,107.11,84.05,78,3,2,15,계단식,299700,695430,59940,335790,0,0,0,,,,,,,,,,,,,,,
2,두산위브,107C㎡,서울시 은평구 증산동,1138011000,255,서울시 은평구 증산서길 79,37.584164,126.906313,122,0,15,11,238,23,163,두산산업개발(주),HT001,107.74,84.49,78,3,2,15,계단식,299700,695430,59940,335790,0,0,0,,,,,,,,,,,,,,,
