,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,IS,48㎡,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,48.21,38.01,79,2,1,1,계단식,61350,201510,12270,127890,0,0,0,,,,,,,,,,,,,,,
1,IS,52㎡,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,52.5,40.55,77,2,1,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,
2,IS,67㎡,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,67.44,53.61,79,2,1,1,계단식,76650,241290,15330,149310,0,0,0,,,,,,,,,,,,,,,
3,IS,69㎡,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,69.72,54.85,79,2,1,1,계단식,76650,241290,15330,149310,0,0,0,,,,,,,,,,,,,,,
4,IS,81㎡,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,81.22,64.52,79,3,1,26,계단식,100950,304470,20190,183330,0,0,0,,,,,,,3억,,2억/40,,2억/40,,,,
5,IS,108,서울시 중랑구 면목동,1126010100,1534,서울시 중랑구 봉우재로20가길 21,37.59122,127.081936,32,0,10,8,223,34,31,(주)아이에스산업개발,HT001,108.27,84.84,78,3,2,2,계단식,148500,408150,29700,229950,0,0,0,,,,,,,,,,,,,,,
0,"KG타워(민간임대,도시형)",30A㎡,서울시 중랑구 면목동,1126010100,633-12,서울시 중랑구 면목로 293,37.579028,127.086368,40,40,9,9,177,27,0,(주)부강산업개발,HT001,30.72,26.73,87,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
1,"KG타워(민간임대,도시형)",30B㎡,서울시 중랑구 면목동,1126010100,633-12,서울시 중랑구 면목로 293,37.579028,127.086368,40,40,9,9,177,27,0,(주)부강산업개발,HT001,30.64,26.9,88,1,1,5,계단식,,,,,,,,,,,,,,,,,,,,,,
2,"KG타워(민간임대,도시형)",30D㎡,서울시 중랑구 면목동,1126010100,633-12,서울시 중랑구 면목로 293,37.579028,127.086368,40,40,9,9,177,27,0,(주)부강산업개발,HT001,30.92,27.16,88,1,1,5,계단식,,,,,,,,,,,,,,,,"5,000/130",,"5,000/130",,,,
3,"KG타워(민간임대,도시형)",31C㎡,서울시 중랑구 면목동,1126010100,633-12,서울시 중랑구 면목로 293,37.579028,127.086368,40,40,9,9,177,27,0,(주)부강산업개발,HT001,31.01,26.97,87,1,1,10,계단식,,,,,,,,,,,,,,,,,,,,,,
