,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,강남상가아파트(주상복합),39㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,39.01,39.01,100,1,1,1,복도식,100050,302130,20010,182070,0,0,0,,,,,,,,,,,,,,,
1,강남상가아파트(주상복합),48㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,48.6,48.6,100,2,1,1,복도식,114900,340740,22980,202860,0,0,0,,,,,,,,,,,,,,,
2,강남상가아파트(주상복합),51㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,51.74,51.74,100,2,1,1,복도식,112200,333720,22440,199080,0,0,0,,,,,,,,,,,,,,,
3,강남상가아파트(주상복합),63A㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,63.31,63.31,100,2,1,14,복도식,163800,437220,32760,240660,0,0,0,,,,,,,,,"5,000/100",,"5,000/100",,,,
4,강남상가아파트(주상복합),63B㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,63.74,63.74,100,2,1,1,복도식,163800,437220,32760,240660,0,0,0,,,,,,,,,"2,000/120",,"2,000/120",,,,
5,강남상가아파트(주상복합),64C㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,64.4,64.4,100,2,1,1,복도식,188100,483390,37620,257670,0,0,0,,,,,,,,,,,,,,,
6,강남상가아파트(주상복합),65B㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,65.72,65.72,100,2,1,14,복도식,163800,437220,32760,240660,0,0,0,,,,,,,"3억 3,000",,,,,,,,
7,강남상가아파트(주상복합),65A㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,65.55,65.55,100,2,1,1,복도식,188100,483390,37620,257670,0,0,0,,,,,,,,,,,,,,,
8,강남상가아파트(주상복합),66C㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,66.15,66.15,100,2,1,1,복도식,163800,437220,32760,240660,0,0,0,,,,,,,,,,,,,,,
9,강남상가아파트(주상복합),66D㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,66.81,66.81,100,2,1,1,복도식,163800,437220,32760,240660,0,0,0,,,,,,,,,,,,,,,
10,강남상가아파트(주상복합),66E㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,66.88,66.88,100,2,1,1,복도식,188100,483390,37620,257670,0,0,0,,,,,,,,,,,,,,,
11,강남상가아파트(주상복합),69㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,69.42,69.42,100,2,1,1,복도식,182700,473130,36540,253890,0,0,0,,,,,,,,,,,,,,,
12,강남상가아파트(주상복합),73㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,73.88,73.88,100,2,1,1,복도식,193500,493650,38700,261450,0,0,0,,,,,,,,,,,,,,,
13,강남상가아파트(주상복합),75B㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,75.84,75.84,100,3,1,2,복도식,197100,500490,39420,263970,0,0,0,,,,,,,,,,,,,,,
14,강남상가아파트(주상복합),75A㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,75.8,75.8,100,3,1,1,복도식,224100,551790,44820,282870,0,0,0,,,,,,,,,,,,,,,
15,강남상가아파트(주상복합),76C㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,76.69,76.69,100,3,1,1,복도식,210600,526140,42120,273420,0,0,0,,,,,,,,,,,,,,,
16,강남상가아파트(주상복합),79㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,79.47,79.47,100,3,1,9,복도식,240300,582570,48060,294210,0,0,0,,,,,10억,,"3억 2,000",,,,,,,,
17,강남상가아파트(주상복합),87㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,87.27,87.27,100,3,1,1,복도식,247500,596250,49500,299250,0,0,0,,,,,,,,,,,,,,,
18,강남상가아파트(주상복합),90㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,90.22,90.22,100,3,1,2,복도식,350100,791190,70020,371070,0,0,0,,,,,,,"4억 5,000",,,,,,,,
19,강남상가아파트(주상복합),92㎡,서울시 강남구 신사동,1168010700,510-11,서울시 강남구 압구정로2길 46,37.51879,127.02054,94,0,9,9,387,59,0,,HT001,92.36,92.36,100,3,2,1,복도식,291600,680040,58320,330120,0,0,0,,,,,,,,,,,,,,,
