,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,JK아파트먼트,41㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,41.26,37.11,90,2,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
1,JK아파트먼트,49㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,49.06,44.12,90,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
2,JK아파트먼트,55A㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,55.11,49.56,90,3,2,3,계단식,,,,,,,,,,,,,,"2억 5,000",,,,,,,,
3,JK아파트먼트,57C㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,57.68,51.87,90,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,JK아파트먼트,57B㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,57.18,51.42,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
5,JK아파트먼트,58A㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,58.17,52.31,90,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
6,JK아파트먼트,59C㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,59.65,53.64,90,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
7,JK아파트먼트,59B㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,59.58,53.58,90,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
8,JK아파트먼트,60D㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,60.06,54.01,90,3,2,3,계단식,,,,,,,,,,,,,,,,,,,,,,
9,JK아파트먼트,60E㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,60.08,54.03,90,3,2,1,계단식,,,,,,,,,,,,,"2억 6,500","2억 7,000",,,,,,,,
10,JK아파트먼트,64A㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,64.89,58.36,90,3,2,2,계단식,,,,,,,,,,,,,,,,,,,,,,
11,JK아파트먼트,66㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,66.53,59.83,90,3,2,2,계단식,,,,,,,,,,,,4억,,,,,,,,,,
12,JK아파트먼트,66B㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,66.06,59.41,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
13,JK아파트먼트,67A㎡,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,67.97,61.13,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
14,JK아파트먼트,76A,서울시 강북구 수유동,1130510300,130-43,서울시 강북구 수유로17나길 15,37.637436,127.01839,29,0,7,7,239,47,22,새울건설(주),HT001,76.33,68.65,90,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,
0,SH스카이,70㎡,서울시 강북구 수유동,1130510300,731,서울시 강북구 인수봉로23가길 3,37.62766,127.011918,48,0,5,4,147,39,53,(주)삼호,HT001,70.88,56.63,80,3,2,8,계단식,84300,207840,16860,106680,0,0,0,,,,,"3억 5,000",,"2억 3,000",,,,,,,,
1,SH스카이,101,서울시 강북구 수유동,1130510300,731,서울시 강북구 인수봉로23가길 3,37.62766,127.011918,48,0,5,4,147,39,53,(주)삼호,HT001,101.51,81.1,80,3,2,40,계단식,129300,303840,25860,148680,0,0,0,,,,,"4억 1,000",,,,,,,,,,
0,SK캐슬,63A㎡,서울시 강북구 수유동,1130510300,277-14,서울시 강북구 삼양로130길 5-3,37.646825,127.015296,5,0,8,8,295,57,4,수호건설(주),HT001,63.36,42.04,66,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,SK캐슬,64B,서울시 강북구 수유동,1130510300,277-14,서울시 강북구 삼양로130길 5-3,37.646825,127.015296,5,0,8,8,295,57,4,수호건설(주),HT001,64.21,42.6,66,1,1,3,계단식,,,,,,,,,,,,,,,,,,,,,,
0,경남아너스빌(주상복합),111,서울시 강북구 수유동,1130510300,229-49,서울시 강북구 노해로8길 22,37.638178,127.024151,42,0,15,15,396,59,52,경남기업(주),HT001,111.19,84.59,76,3,2,42,계단식,213300,531270,42660,275310,0,0,0,,,,7억,"7억 5,000",,,,,,,,,,
0,경원북한산휴그린,87A㎡,서울시 강북구 수유동,1130510300,268-17,서울시 강북구 한천로 1139-2,37.646125,127.017865,28,0,17,17,249,17,25,주식회사타미종합건설,HT001,87.92,59.84,68,3,2,16,계단식,,,,,,,,,,,,,,,,,,,,,,
