,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,대원파크빌,65㎡,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,65.88,58.56,89,3,1,1,계단식,60900,200340,12180,127260,0,0,0,,,,,,,,,,,,,,,
1,대원파크빌,74㎡,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,74.01,65.78,89,3,1,1,계단식,65850,213210,13170,134190,0,0,0,,,,,,,,,,,,,,,
2,대원파크빌,79㎡,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,79.34,70.52,89,3,1,1,계단식,72600,230760,14520,143640,0,0,0,,,,,,,,,,,,,,,
3,대원파크빌,86㎡,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,86.76,77.12,89,3,1,1,계단식,84300,261180,16860,160020,0,0,0,,,,,,,,,,,,,,,
4,대원파크빌,93㎡,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,93.94,83.5,89,3,2,4,계단식,118950,351270,23790,208530,0,0,0,,,,,"6억 8,000",,"4억 7,000",,,,,,,,
5,대원파크빌,95,서울시 마포구 창전동,1144011400,6-31,서울시 마포구 와우산로30길 44,37.553128,126.929481,12,0,7,7,249,44,12,씨씨엔종합건설(주),HT001,95.33,84.74,89,3,2,4,계단식,124200,361980,24840,212940,0,0,0,,,,,,,,,,,,,,,
0,동원스위트뷰(도시형),15A㎡,서울시 마포구 창전동,1144011400,149-1,서울시 마포구 서강로 30,37.545791,126.931204,28,0,8,3,248,38,11,(주)엠케이지종합건설,HT001,15.73,12.11,77,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
1,동원스위트뷰(도시형),15B㎡,서울시 마포구 창전동,1144011400,149-1,서울시 마포구 서강로 30,37.545791,126.931204,28,0,8,3,248,38,11,(주)엠케이지종합건설,HT001,15.76,12.12,77,1,1,2,복도식,,,,,,,,,,,,,,,,,,,,,,
2,동원스위트뷰(도시형),16C,서울시 마포구 창전동,1144011400,149-1,서울시 마포구 서강로 30,37.545791,126.931204,28,0,8,3,248,38,11,(주)엠케이지종합건설,HT001,16.44,12.66,77,1,1,24,복도식,,,,,,,,,,,,,,,,,,,,,,
0,마포웨스트리버태영데시앙,79B㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,79.36,59.81,75,3,2,13,계단식,991800,1757790,198360,567630,0,0,0,,170331,188079,,,,,,,,,,,,
1,마포웨스트리버태영데시앙,79C㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,79.74,59.8,75,3,2,9,계단식,991800,1757790,198360,567630,0,0,0,,170294,188038,,12억,,,,,,,,,,
2,마포웨스트리버태영데시앙,80A㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,80.72,59.98,74,3,2,7,계단식,991800,1757790,198360,567630,0,0,0,,170820,188620,,"12억 5,000",,,,,,,,,,
3,마포웨스트리버태영데시앙,99A㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,99.1,74.78,75,3,2,35,계단식,1173600,2039580,234720,631260,0,0,0,,212950,235138,"13억 2,000",14억,,,,,,,,,,
4,마포웨스트리버태영데시앙,99B㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,99.21,74.79,75,3,2,14,계단식,1173600,2039580,234720,631260,0,0,0,,212970,235160,,"14억 8,000",,,,,,,,,,
5,마포웨스트리버태영데시앙,103P㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,103.16,78.46,76,3,2,2,계단식,1202400,2084220,240480,641340,0,0,0,,223437,246719,,,,,,,,,,,,
6,마포웨스트리버태영데시앙,111C㎡,서울시 마포구 창전동,1144011400,449,서울시 마포구 서강로3길 32,37.550355,126.931163,276,9,21,11,237,19,336,(주)태영건설,HT001,111.29,84.79,76,3,2,58,계단식,1348200,2310210,269640,692370,0,0,0,,241451,266609,13억,"14억 5,000",,"8억 5,000",,,,,,,,
