,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,경향빌라트,179㎡,서울시 서대문구 연희동,1141011700,87-33,서울시 서대문구 연희로20길 13,37.569824,126.934133,18,0,9,9,190,24,26,경향건설(주),HT001,179.96,151.36,84,5,2,9,계단식,464625,995400,92925,437850,0,0,0,,,,,12억,,,,,,,,,,
1,경향빌라트,183A㎡,서울시 서대문구 연희동,1141011700,87-33,서울시 서대문구 연희로20길 13,37.569824,126.934133,18,0,9,9,190,24,26,경향건설(주),HT001,183.82,154.6,84,5,2,8,계단식,464625,995400,92925,437850,0,0,0,,,,,,,,,,,,,,,
2,경향빌라트,183B,서울시 서대문구 연희동,1141011700,87-33,서울시 서대문구 연희로20길 13,37.569824,126.934133,18,0,9,9,190,24,26,경향건설(주),HT001,183.84,154.6,84,5,3,1,계단식,447300,967680,89460,430920,0,0,0,,,,,,,,,,,,,,,
0,금보,46㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,46.44,41.58,90,1,1,1,계단식,45150,159390,9030,105210,0,0,0,,,,,,,,,,,,,,,
1,금보,62㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,62.66,56.11,90,2,1,1,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,,,,
2,금보,68A㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,68.06,60.94,90,3,1,1,계단식,71250,227250,14250,141750,0,0,0,,,,,,,,,,,,,,,
3,금보,69B㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,69.38,62.12,90,3,1,1,계단식,77100,242460,15420,149940,0,0,0,,,,,,,,,,,,,,,
4,금보,70C㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,70.37,63.01,90,3,1,1,계단식,79350,248310,15870,153090,0,0,0,,,,,,,,,,,,,,,
5,금보,71㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,71.23,63.78,90,3,1,1,계단식,79350,248310,15870,153090,0,0,0,,,,,,,,,,,,,,,
6,금보,80㎡,서울시 서대문구 연희동,1141011700,151-41,서울시 서대문구 연희로31길 14,37.576099,126.93478,16,0,6,4,291,59,15,강산종합건설(주),HT001,80.36,71.96,90,3,1,2,계단식,96900,293940,19380,177660,0,0,0,,,,,,,,,,,,,,,
