,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,DS하우징(도시형),19㎡,서울시 성북구 석관동,1129013900,198-4,서울시 성북구 돌곶이로22길 42,37.610339,127.060295,20,0,5,5,199,59,8,(유)대성서울건설,HT001,19.67,14.52,74,1,1,4,계단식,38520,100152,7704,53928,0,0,0,,,,,,,,,,,,,,,
1,DS하우징(도시형),23A㎡,서울시 성북구 석관동,1129013900,198-4,서울시 성북구 돌곶이로22길 42,37.610339,127.060295,20,0,5,5,199,59,8,(유)대성서울건설,HT001,23.93,17.67,74,1,1,4,계단식,46980,122148,9396,65772,0,0,0,,,,,,,,,,,,,,,
2,DS하우징(도시형),24B㎡,서울시 성북구 석관동,1129013900,198-4,서울시 성북구 돌곶이로22길 42,37.610339,127.060295,20,0,5,5,199,59,8,(유)대성서울건설,HT001,24.22,17.88,74,1,1,4,계단식,46980,122148,9396,65772,0,0,0,,,,,,,,,,,,,,,
3,DS하우징(도시형),25㎡,서울시 성북구 석관동,1129013900,198-4,서울시 성북구 돌곶이로22길 42,37.610339,127.060295,20,0,5,5,199,59,8,(유)대성서울건설,HT001,25.34,18.71,74,1,1,4,계단식,46980,122148,9396,65772,0,0,0,,,,,,,,,,,,,,,
4,DS하우징(도시형),28,서울시 성북구 석관동,1129013900,198-4,서울시 성북구 돌곶이로22길 42,37.610339,127.060295,20,0,5,5,199,59,8,(유)대성서울건설,HT001,28.78,21.25,74,1,1,4,계단식,56400,146640,11280,78960,0,0,0,,,,,,,,,,,,,,,
0,골든캐슬12차(도시형),31A㎡,서울시 성북구 석관동,1129013900,189-25,서울시 성북구 한천로81길 10-7,37.611944,127.060598,16,0,9,9,358,59,10,(주)세호종합건설,HT001,31.94,25.8,81,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
1,골든캐슬12차(도시형),32B㎡,서울시 성북구 석관동,1129013900,189-25,서울시 성북구 한천로81길 10-7,37.611944,127.060598,16,0,9,9,358,59,10,(주)세호종합건설,HT001,32.64,26.44,81,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,
2,골든캐슬12차(도시형),34C㎡,서울시 성북구 석관동,1129013900,189-25,서울시 성북구 한천로81길 10-7,37.611944,127.060598,16,0,9,9,358,59,10,(주)세호종합건설,HT001,34.11,27.8,82,1,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
3,골든캐슬12차(도시형),55㎡,서울시 성북구 석관동,1129013900,189-25,서울시 성북구 한천로81길 10-7,37.611944,127.060598,16,0,9,9,358,59,10,(주)세호종합건설,HT001,55.09,44.48,81,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
4,골든캐슬12차(도시형),57,서울시 성북구 석관동,1129013900,189-25,서울시 성북구 한천로81길 10-7,37.611944,127.060598,16,0,9,9,358,59,10,(주)세호종합건설,HT001,57.94,47.23,82,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,
0,두산,72㎡,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,72.01,54.55,76,2,1,134,복도식,228600,560340,45720,286020,0,0,0,,121732,111761,,"7억 5,000",3억,"3억 2,000",,,,,,,,
1,두산,80㎡,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,80.48,59.97,75,3,1,690,계단식,284400,666360,56880,325080,0,0,0,,133827,122865,"6억 5,000","7억 8,000","3억 6,000","3억 7,000","1억 5,000/100","2억 9,000/35","1억 5,000/100","2억 9,000/35",,,,
2,두산,108A㎡,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,108.12,84.9,79,3,2,805,계단식,399600,885240,79920,405720,0,0,0,,189460,173941,"7억 5,000","8억 5,000",4억,"4억 3,000",1억/150,"3억 5,000/50",1억/150,"3억 5,000/50",,,,
3,두산,108B㎡,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,108.18,84.95,79,3,2,23,계단식,366300,821970,73260,382410,0,0,0,,189571,174043,,,,,,,,,,,,
4,두산,163㎡,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,163.1,134.97,83,4,2,296,계단식,540225,1116360,108045,468090,0,0,0,,301194,276523,"9억 3,000","11억 5,000",,6억,,,,,,,,
5,두산,199,서울시 성북구 석관동,1129013900,10,서울시 성북구 화랑로48길 16,37.613145,127.068573,1998,0,25,16,277,17,2195,두산건설(주),HT001,199.78,164.92,83,5,2,50,계단식,678825,1338120,135765,523530,0,0,0,,368030,337884,,11억,,,,1억/200,,1억/200,,,,
0,래미안석관,79A㎡,서울시 성북구 석관동,1129013900,407,서울시 성북구 화랑로 214,37.608303,127.054476,580,0,20,7,230,24,684,삼성물산(주),HT001,79.71,59.9,75,3,2,107,계단식,337500,767250,67500,362250,0,0,0,,156120,156190,"7억 3,000","8억 5,000",,,,,,,,,,
1,래미안석관,80B㎡,서울시 성북구 석관동,1129013900,407,서울시 성북구 화랑로 214,37.608303,127.054476,580,0,20,7,230,24,684,삼성물산(주),HT001,80,59.9,75,3,2,104,계단식,337500,767250,67500,362250,0,0,0,,156120,156190,"7억 1,000",9억,,"4억 2,000",,,,,,,,
2,래미안석관,107A㎡,서울시 성북구 석관동,1129013900,407,서울시 성북구 화랑로 214,37.608303,127.054476,580,0,20,7,230,24,684,삼성물산(주),HT001,107.65,84.84,79,3,2,221,계단식,455175,980280,91035,434070,0,0,0,,221123,221221,"8억 3,000","9억 3,000",,5억,,,,,,,,
3,래미안석관,108B㎡,서울시 성북구 석관동,1129013900,407,서울시 성북구 화랑로 214,37.608303,127.054476,580,0,20,7,230,24,684,삼성물산(주),HT001,108.4,84.84,78,3,2,36,계단식,455175,980280,91035,434070,0,0,0,,221123,221221,,"9억 5,000",,"5억 2,000",,,,,,,,
4,래미안석관,136,서울시 성북구 석관동,1129013900,407,서울시 성북구 화랑로 214,37.608303,127.054476,580,0,20,7,230,24,684,삼성물산(주),HT001,136.98,114.97,84,4,2,112,계단식,565425,1156680,113085,478170,0,0,0,,299652,299785,11억,12억,,"6억 3,000",,3억/90,,3억/90,,,,
0,래미안아트리치,84A㎡,서울시 성북구 석관동,1129013900,410,서울시 성북구 돌곶이로8길 22,37.606168,127.063518,1091,187,23,16,244,21,1311,㈜삼성물산,HT001,84.93,59.98,71,3,2,171,계단식,,,,,,,,,186627,196723,"8억 7,000","9억 5,000",5억,6억,,,,,,,,
