,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,기영,36㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,36.57,27,74,1,1,1,계단식,403200,892080,80640,408240,0,0,0,,,,,,,,,,,,,,,
1,기영,66㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,66.21,59.47,90,3,1,1,계단식,215100,534690,43020,276570,0,0,0,,,,,,,,,,,,,,,
2,기영,78A㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,78.84,70.81,90,3,2,1,계단식,259200,618480,51840,307440,0,0,0,,,,,,,,,,,,,,,
3,기영,79B㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,79.27,71.19,90,3,2,1,계단식,276300,650970,55260,319410,0,0,0,,,,,,,,,,,,,,,
4,기영,87A㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,87.83,78.88,90,3,2,5,계단식,368100,825390,73620,383670,0,0,0,,,,,,,,,,,,,,,
5,기영,89B㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,89.03,79.95,90,3,2,1,계단식,322200,738180,64440,351540,0,0,0,,,,,,,,,,,,,,,
6,기영,91A㎡,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,91.25,81.94,90,3,2,5,계단식,387900,863010,77580,397530,0,0,0,,,,,,,,,,,,,,,
7,기영,93B,서울시 송파구 마천동,1171011400,191-17,서울시 송파구 마천로51길 27,37.497372,127.152525,19,0,8,7,212,56,20,기영건설,HT001,93.9,84.33,90,3,2,4,계단식,414900,914310,82980,416430,0,0,0,,,,,,,,,,,,,,,
0,뉴타운,74㎡,서울시 송파구 마천동,1171011400,197-9,서울시 송파구 성내천로34길 7-22,37.498581,127.154038,8,0,7,4,288,54,8,,HT001,74.64,57.57,77,3,2,6,계단식,263700,627030,52740,310590,0,0,0,,,,,,,,,,,,,,,
1,뉴타운,78㎡,서울시 송파구 마천동,1171011400,197-9,서울시 송파구 성내천로34길 7-22,37.498581,127.154038,8,0,7,4,288,54,8,,HT001,78.38,60.47,77,3,2,1,계단식,267300,633870,53460,313110,0,0,0,,,,,,,,,,,,,,,
2,뉴타운,82,서울시 송파구 마천동,1171011400,197-9,서울시 송파구 성내천로34길 7-22,37.498581,127.154038,8,0,7,4,288,54,8,,HT001,82.61,63.72,77,3,2,1,계단식,294300,685170,58860,332010,0,0,0,,,,,,,,,,,,,,,
0,다우림,97,서울시 송파구 마천동,1171011400,30-2,서울시 송파구 성내천로 127,37.499546,127.143071,19,0,11,10,399,48,22,다우림씨엔아이(주),HT001,97.46,84.38,87,3,2,19,복합식,219600,543240,43920,279720,0,0,0,,,,,,,,,,,,,,,
0,대성,72B㎡,서울시 송파구 마천동,1171011400,574,서울시 송파구 성내천로34길 8,37.498636,127.152997,71,25,8,8,210,38,23,(주)미림건설,HT001,72.84,58.96,81,3,2,4,복도식,,,,,,,,,,,,10억,,,,,,,,,,
1,대성,72A㎡,서울시 송파구 마천동,1171011400,574,서울시 송파구 성내천로34길 8,37.498636,127.152997,71,25,8,8,210,38,23,(주)미림건설,HT001,72.48,58.67,81,2,2,2,복도식,,,,,,,,,,,,,,,,,,,,,,
2,대성,73E㎡,서울시 송파구 마천동,1171011400,574,서울시 송파구 성내천로34길 8,37.498636,127.152997,71,25,8,8,210,38,23,(주)미림건설,HT001,73.65,59.62,81,2,1,18,복도식,,,,,,,,,,,9억,10억,"2억 7,000",3억,,"1억 3,000/40",,"1억 3,000/40",,,,
3,대성,73D㎡,서울시 송파구 마천동,1171011400,574,서울시 송파구 성내천로34길 8,37.498636,127.152997,71,25,8,8,210,38,23,(주)미림건설,HT001,73.36,59.38,81,3,2,12,복도식,,,,,,,,,,,,,,,,,,,,,,
4,대성,73C,서울시 송파구 마천동,1171011400,574,서울시 송파구 성내천로34길 8,37.498636,127.152997,71,25,8,8,210,38,23,(주)미림건설,HT001,73.27,59.31,81,3,2,10,복도식,,,,,,,,,,,,,,,,,,,,,,
0,대성골드클래스,38㎡,서울시 송파구 마천동,1171011400,50,서울시 송파구 거마로 102,37.501697,127.148756,24,0,9,9,199,36,19,(주)동방종합건설,HT001,38.42,28.96,75,1,1,1,계단식,67200,216720,13440,136080,0,0,0,,,,,,,,,,,,,,,
1,대성골드클래스,52㎡,서울시 송파구 마천동,1171011400,50,서울시 송파구 거마로 102,37.501697,127.148756,24,0,9,9,199,36,19,(주)동방종합건설,HT001,52.56,41.13,78,2,1,7,계단식,105900,317340,21180,190260,0,0,0,,,,,6억,,,,,,,,,,
