,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,장충,28㎡,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,28.89,28.69,99,2,1,1,복도식,13725,54900,2745,38430,0,0,0,,,,,,,,,,,,,,,
1,장충,31㎡,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,31.44,31.24,99,2,1,41,복도식,15233,60931,3047,42651,0,0,0,,,,,,,,,,,,,,,
2,장충,62,서울시 중구 장충동2가,1114014400,193-29,서울시 중구 동호로25길 36,37.55925,127.0017,49,0,7,4,0,0,0,,HT001,62.68,62.48,100,3,1,7,복도식,26550,106200,5310,74340,0,0,0,,,,,,,,,,,,,,,
0,"파크원빌(민간임대,도시형)",15A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,15.68,11.83,75,1,1,1,계단식,12150,48600,2430,34020,0,0,0,,,,,,,,,,,,,,,
1,"파크원빌(민간임대,도시형)",15B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,15.91,12,75,1,1,1,계단식,12173,48691,2435,34083,0,0,0,,,,,,,,,,,,,,,
2,"파크원빌(민간임대,도시형)",17C㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,17.64,13.31,75,1,1,1,계단식,13658,54631,2732,38241,0,0,0,,,,,,,,,,,,,,,
3,"파크원빌(민간임대,도시형)",18A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,18.79,12.31,66,1,1,1,계단식,20768,83071,4154,58149,0,0,0,,,,,,,,,,,,,,,
4,"파크원빌(민간임대,도시형)",19B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,19.25,12.61,66,1,1,1,계단식,21195,84780,4239,59346,0,0,0,,,,,,,,,,,,,,,
5,"파크원빌(민간임대,도시형)",19H㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,19.37,14.61,75,1,1,1,계단식,14850,59400,2970,41580,0,0,0,,,,,,,,,,,,,,,
6,"파크원빌(민간임대,도시형)",20D㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.62,13.51,66,1,1,38,계단식,22725,90900,4545,63630,0,0,0,,,,,,,,,,,,,,,
7,"파크원빌(민간임대,도시형)",20C㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.03,13.12,66,1,1,14,계단식,22140,88560,4428,61992,0,0,0,,,,,,,,,,,,,,,
8,"파크원빌(민간임대,도시형)",20E㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,20.7,13.56,66,1,1,1,계단식,22725,90900,4545,63630,0,0,0,,,,,,,,,,,,,,,
9,"파크원빌(민간임대,도시형)",21B㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.8,14.28,66,1,1,7,계단식,23850,95400,4770,66780,0,0,0,,,,,,,,,,,,,,,
10,"파크원빌(민간임대,도시형)",21A㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.71,14.22,65,1,1,6,계단식,23850,95400,4770,66780,0,0,0,,,,,,,,,,,,,,,
11,"파크원빌(민간임대,도시형)",21F㎡,서울시 중구 장충동2가,1114014400,211,서울시 중구 동호로24길 27-13,37.560381,127.004572,96,96,10,8,249,35,27,(주)준서예건,HT001,21.05,13.79,66,1,1,1,계단식,23175,92700,4635,64890,0,0,0,,,,,,,,,,,,,,,
