,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,204파크애비뉴,20㎡,서울시 영등포구 양평동4가,1156012800,204,서울시 영등포구 선유로53길 36,37.538621,126.894881,16,0,7,7,249,55,6,주식회사남양종합건설,HT001,20.1,17.16,85,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,1.0
1,204파크애비뉴,28A㎡,서울시 영등포구 양평동4가,1156012800,204,서울시 영등포구 선유로53길 36,37.538621,126.894881,16,0,7,7,249,55,6,주식회사남양종합건설,HT001,28.65,24.47,85,1,1,7,계단식,,,,,,,,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,1.0
2,204파크애비뉴,30B,서울시 영등포구 양평동4가,1156012800,204,서울시 영등포구 선유로53길 36,37.538621,126.894881,16,0,7,7,249,55,6,주식회사남양종합건설,HT001,30.89,26.38,85,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,1.0
0,경남아너스빌,85㎡,서울시 영등포구 양평동4가,1156012800,51-1,서울시 영등포구 양평로17길 9,37.535712,126.89625,198,0,19,7,365,39,213,경남기업(주),HT001,85.59,59.84,70,3,1,87,복도식,,,,,,,,,188196,241243,7억,"8억 5,000",,,,,,,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163.0,171.0,20230531,5.0,23.0,2.0,4.0,2.0,3.0,3.0,3.0,46.0,72.0,43.0,59.0,62.0,52.0,0.0,0.0,17.0,334.0,1.0,3.0,0.0,0.0,20230531,4.0,132.0,0.0,0.0,20230531,직영,3550.0,442.0,656859000.0,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
1,경남아너스빌,96㎡,서울시 영등포구 양평동4가,1156012800,51-1,서울시 영등포구 양평로17길 9,37.535712,126.89625,198,0,19,7,365,39,213,경남기업(주),HT001,96.6,67.54,70,3,1,1,계단식,,,,,,,,,212412,272286,,,,,,,,,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163.0,171.0,20230531,5.0,23.0,2.0,4.0,2.0,3.0,3.0,3.0,46.0,72.0,43.0,59.0,62.0,52.0,0.0,0.0,17.0,334.0,1.0,3.0,0.0,0.0,20230531,4.0,132.0,0.0,0.0,20230531,직영,3550.0,442.0,656859000.0,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
2,경남아너스빌,101,서울시 영등포구 양평동4가,1156012800,51-1,서울시 영등포구 양평로17길 9,37.535712,126.89625,198,0,19,7,365,39,213,경남기업(주),HT001,101.46,70.94,70,3,2,110,복도식,,,,,,,,,223105,285993,"7억 9,000","8억 8,000",,,,,,,,,,,서울선유초등학교,B100005372,서울특별시 영등포구 양평동3가 91,공립,단설,20070301,서울특별시교육청,http://seonyu.sen.es.kr,20230531,15.5,19.6,163.0,171.0,20230531,5.0,23.0,2.0,4.0,2.0,3.0,3.0,3.0,46.0,72.0,43.0,59.0,62.0,52.0,0.0,0.0,17.0,334.0,1.0,3.0,0.0,0.0,20230531,4.0,132.0,0.0,0.0,20230531,직영,3550.0,442.0,656859000.0,37.53264932,126.8926493,1156012700,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
0,계명,66A㎡,서울시 영등포구 양평동4가,1156012800,261,서울시 영등포구 양평로18길 13,37.537801,126.897124,10,0,6,6,243,56,10,(주)미래토건,HT001,66.2,58.23,88,2,1,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
1,계명,66B㎡,서울시 영등포구 양평동4가,1156012800,261,서울시 영등포구 양평로18길 13,37.537801,126.897124,10,0,6,6,243,56,10,(주)미래토건,HT001,66.7,58.67,88,2,1,1,계단식,69450,222570,13890,139230,0,0,0,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
2,계명,85A㎡,서울시 영등포구 양평동4가,1156012800,261,서울시 영등포구 양평로18길 13,37.537801,126.897124,10,0,6,6,243,56,10,(주)미래토건,HT001,85.59,75.29,88,3,2,1,계단식,104100,312660,20820,187740,0,0,0,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
3,계명,86B㎡,서울시 영등포구 양평동4가,1156012800,261,서울시 영등포구 양평로18길 13,37.537801,126.897124,10,0,6,6,243,56,10,(주)미래토건,HT001,86.09,75.73,88,3,2,1,계단식,104100,312660,20820,187740,0,0,0,,,,,,,,,,,,,,,,서울당산초등학교,B100001209,서울특별시 영등포구 양평동4가 323번지,혁신,단설,19450815,서울특별시교육청,http://dangsan.sen.es.kr,20230531,14.7,18.5,173.0,160.0,20230531,4.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,56.0,64.0,53.0,43.0,58.0,54.0,1.0,5.0,17.0,333.0,1.0,3.0,0.0,0.0,20230531,5.0,55.0,0.0,0.0,20230531,직영,3550.0,459.0,516141000.0,37.53953252,126.89618327,1156012800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
