,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,골드트리시티(도시형),27㎡,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,27.23,18.39,68,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
1,골드트리시티(도시형),38㎡,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,38.88,26.78,69,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
2,골드트리시티(도시형),41,서울시 영등포구 영등포동6가,1156010700,96-1,서울시 영등포구 영신로38길 5,37.521095,126.901842,12,0,6,6,249,59,6,(주)예승건설,HT001,41.49,28.54,69,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6.0
0,골든빌(121-17),31A㎡,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,31.66,23.17,73,1,1,4,계단식,,,,,,,,,,,,,,"2억 5,000",,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
1,골든빌(121-17),31B㎡,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,31.87,23.32,73,1,1,4,계단식,,,,,,,,,,,,,,"2억 5,000",,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
2,골든빌(121-17),37,서울시 영등포구 영등포동6가,1156010700,121-17,서울시 영등포구 영등포로33길 11,37.521504,126.902541,12,0,6,6,249,59,6,주식회사 예승건,HT001,37.18,27.21,73,1,1,4,계단식,,,,,,,,,,,,,"2억 4,800","2억 7,000",,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,3.0
0,골든빌(97),37A㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,37.53,27.97,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,5.0
1,골든빌(97),37B㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,37.92,28.26,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,5.0
2,골든빌(97),39A㎡,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,39.21,29.22,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,5.0
3,골든빌(97),39B,서울시 영등포구 영등포동6가,1156010700,97,서울시 영등포구 영신로38길 5-1,37.521116,126.902024,16,0,6,6,248,59,8,(주)예승건설,HT001,39.97,29.79,75,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226.0,211.0,20230531,3.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,77.0,80.0,68.0,58.0,77.0,72.0,2.0,5.0,21.0,437.0,1.0,5.0,0.0,0.0,20230531,9.0,109.0,0.0,0.0,20230531,직영,3447.0,461.0,425307000.0,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,5.0
