,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,대성2차,32㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,32.88,28.95,88,1,1,1,계단식,34350,131310,6870,90090,0,0,0,,,,,,,"2억 3,000",,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
1,대성2차,56㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,56.56,49.8,88,2,1,1,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
2,대성2차,60㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,60.08,52.9,88,2,1,1,계단식,75300,237780,15060,147420,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
3,대성2차,70㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,70.71,62.26,88,2,1,1,계단식,94650,288090,18930,174510,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
4,대성2차,81㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,81.66,71.9,88,3,1,1,계단식,114900,340740,22980,202860,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
5,대성2차,92㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,92.75,81.66,88,3,2,1,계단식,144000,399600,28800,226800,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
6,대성2차,94A㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,94.36,83.08,88,3,2,3,계단식,147600,406440,29520,229320,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
7,대성2차,95B㎡,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,95.97,84.5,88,3,2,2,계단식,148500,408150,29700,229950,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
8,대성2차,97,서울시 용산구 용문동,1117012100,38-235,서울시 용산구 효창원로25나길 21,37.537263,126.955869,12,0,6,6,231,51,11,에이취와이건설(주),HT001,97.92,86.22,88,3,2,1,계단식,143100,397890,28620,226170,0,0,0,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,13.0
0,드림빌,85㎡,서울시 용산구 용문동,1117012100,38-213,서울시 용산구 효창원로37마길 12,37.538307,126.958437,11,0,6,5,241,42,12,,HT001,85.73,76.17,89,3,2,1,계단식,,,,,,,,,,,,,,,,,,,,,,,서울금양초등학교,B100002371,서울특별시 용산구 효창동 126번지,공립,단설,19150910,서울특별시교육청,http://keumyang.sen.es.kr,20230531,17.6,18.4,316.0,311.0,20230531,5.0,47.0,6.0,6.0,5.0,6.0,5.0,5.0,108.0,112.0,101.0,110.0,98.0,95.0,1.0,3.0,33.0,627.0,2.0,2.0,0.0,0.0,20230531,7.0,92.0,0.0,0.0,20230531,직영,3455.0,784.0,718395000.0,37.54065297,126.96117563,1117011900,서울시,19.8,17.4,용산구,17.0,15.2,8.0
