,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,SM벨리체(도시형),34A㎡,서울시 은평구 신사동,1138010900,29-160,서울시 은평구 은평로 12-1,37.597017,126.91008,12,0,13,13,429,56,8,(주)담종합건설,HT001,34.17,28.88,85,1,1,8,계단식,,,,,,,,,,,,,,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,9.0
1,SM벨리체(도시형),34B,서울시 은평구 신사동,1138010900,29-160,서울시 은평구 은평로 12-1,37.597017,126.91008,12,0,13,13,429,56,8,(주)담종합건설,HT001,34.52,29.17,85,1,1,4,계단식,,,,,,,,,,,,,,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,9.0
0,개성하이뷰,88A㎡,서울시 은평구 신사동,1138010900,7-11,서울시 은평구 갈현로4길 6-26,37.600901,126.910802,18,0,7,7,199,50,21,(주)개성건설,HT001,88.73,80.5,91,3,2,12,계단식,99150,299790,19830,180810,0,0,0,,,,,,,,,,,,,,,,서울역촌초등학교,B100002000,서울특별시 은평구 역촌동 82-1,공립,단설,19721201,서울특별시교육청,http://yeokchon.sen.es.kr,20230531,21.6,22.8,649.0,651.0,20230531,12.0,81.0,8.0,8.0,9.0,9.0,12.0,11.0,163.0,196.0,207.0,202.0,280.0,252.0,0.0,0.0,57.0,1300.0,3.0,4.0,0.0,0.0,20230531,13.0,323.0,0.0,0.0,20230531,직영,3447.0,1809.0,1492755000.0,37.60168333,126.91437444,1138010800,서울시,19.8,17.4,은평구,19.6,17.9,7.0
1,개성하이뷰,88B,서울시 은평구 신사동,1138010900,7-11,서울시 은평구 갈현로4길 6-26,37.600901,126.910802,18,0,7,7,199,50,21,(주)개성건설,HT001,88.76,80.53,91,3,2,6,계단식,100950,304470,20190,183330,0,0,0,,,,,,,,,,,,,,,,서울역촌초등학교,B100002000,서울특별시 은평구 역촌동 82-1,공립,단설,19721201,서울특별시교육청,http://yeokchon.sen.es.kr,20230531,21.6,22.8,649.0,651.0,20230531,12.0,81.0,8.0,8.0,9.0,9.0,12.0,11.0,163.0,196.0,207.0,202.0,280.0,252.0,0.0,0.0,57.0,1300.0,3.0,4.0,0.0,0.0,20230531,13.0,323.0,0.0,0.0,20230531,직영,3447.0,1809.0,1492755000.0,37.60168333,126.91437444,1138010800,서울시,19.8,17.4,은평구,19.6,17.9,7.0
0,거성리젠시(주상복합),36㎡,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,36.28,31.99,88,1,1,7,계단식,,,,,,,,,,,,"3억 7,800",,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
1,거성리젠시(주상복합),51B㎡,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,51.89,45.74,88,2,1,5,계단식,,,,,,,,,,,,"4억 9,800",,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
2,거성리젠시(주상복합),51A㎡,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,51.79,45.66,88,2,1,2,계단식,,,,,,,,,,,,"4억 9,800",,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
3,거성리젠시(주상복합),52D㎡,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,52.81,46.56,88,2,1,5,계단식,,,,,,,,,,,,"4억 9,800",,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
4,거성리젠시(주상복합),52C㎡,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,52.72,46.48,88,2,1,2,계단식,,,,,,,,,,,,,,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
5,거성리젠시(주상복합),58,서울시 은평구 신사동,1138010900,21-14,서울시 은평구 은평로 42,37.598268,126.912731,28,0,10,10,249,42,21,(주)거성리젠시원,HT001,58.28,51.39,88,2,1,7,계단식,,,,,,,,,,,,"4억 9,800",,,,,,,,,,,서울신사초등학교,B100001996,서울특별시 은평구 신사동 98-32번지,공립,단설,19801024,서울특별시교육청,http://shinsa.sen.es.kr,20230531,17.2,20.1,180.0,201.0,20230531,6.0,28.0,3.0,3.0,2.0,3.0,3.0,3.0,58.0,56.0,44.0,68.0,75.0,69.0,2.0,11.0,17.0,381.0,1.0,3.0,0.0,0.0,20230531,4.0,39.0,0.0,0.0,20230531,직영,3477.0,482.0,574262000.0,37.59272955,126.91228768,1138010900,서울시,19.8,17.4,은평구,19.6,17.9,12.0
