,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,서울역센트럴자이,84A㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,84.33,59.94,71,3,2,278,계단식,,,,,,,,,190323,200195,"12억 9,000","14억 5,000","6억 7,000",7억,525/525,4억/120,525/525,4억/120,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
1,서울역센트럴자이,85B㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,85.35,59.98,70,3,2,92,계단식,,,,,,,,,190443,200322,"12억 5,000",13억,"6억 5,000","6억 8,000","5,000/280",5억/75,"5,000/280",5억/75,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
2,서울역센트럴자이,85C㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,85.48,59.97,70,3,2,43,계단식,,,,,,,,,190411,200288,"13억 5,000",14억,"6억 8,000",7억,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
3,서울역센트럴자이,97A㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,97.13,72.97,75,3,2,97,계단식,,,,,,,,,231696,243713,"14억 2,000",15억,"7억 1,000","7억 5,000","5,000/300",5억/90,"5,000/300",5억/90,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
4,서울역센트럴자이,98B㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,98.68,72.88,74,3,2,42,계단식,,,,,,,,,231431,243434,"13억 9,000","15억 5,000","7억 2,000","7억 5,000",,1억/270,,1억/270,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
5,서울역센트럴자이,99C㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,99.05,72.99,74,3,2,62,계단식,,,,,,,,,231769,243791,15억,18억,,,1억/250,"5억 5,000/90",1억/250,"5억 5,000/90",,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
6,서울역센트럴자이,99D㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,99.11,72.99,74,3,2,25,계단식,,,,,,,,,231759,243780,,"14억 2,000",,,,"5,000/300",,"5,000/300",,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
7,서울역센트럴자이,112A㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,112.45,84.97,76,3,2,301,계단식,,,,,,,,,269792,283786,15억,16억,"7억 8,000",8억,3억/220,7억/60,3억/220,7억/60,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
8,서울역센트럴자이,113C㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,113.69,84.97,75,3,2,61,계단식,,,,,,,,,269815,283809,"16억 3,000",18억,,,,,,,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
9,서울역센트럴자이,113B㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,113.82,84.99,75,3,2,47,계단식,,,,,,,,,269855,283852,"15억 2,000","15억 5,000",,8억,7억/50,7억/60,7억/50,7억/60,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
10,서울역센트럴자이,113E㎡,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,113.82,84.99,75,3,3,46,계단식,,,,,,,,,269855,283852,"15억 7,000",16억,"1억 9,000","6억 8,000","1억 8,500/3",4억/100,"1억 8,500/3",4억/100,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
11,서울역센트럴자이,131T,서울시 중구 만리동2가,1114017400,273,서울시 중구 만리재로 175,37.55498,126.963157,1341,228,25,1,234,19,1545,지에스건설(주),HT001,131.29,89.89,68,3,2,19,계단식,,,,,,,,,285436,300240,,22억,,,,8억/30,,8억/30,,,,,서울봉래초등학교,B100002380,서울특별시 중구 만리동2가 2번지,공립,단설,18950918,서울특별시교육청,http://seoul-bongrae.sen.es.kr,20230531,17.6,18.4,228.0,194.0,20230531,5.0,33.0,4.0,4.0,3.0,3.0,4.0,3.0,90.0,73.0,53.0,68.0,74.0,54.0,2.0,10.0,21.0,422.0,2.0,4.0,0.0,0.0,20230531,7.0,225.0,0.0,0.0,20230531,직영,3733.0,422.0,332128000.0,37.5563511,126.96412361,1114017400,서울시,19.8,17.4,중구,17.9,14.8,1.0
