,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년 학생 수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생 _수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분)
0,KJ케렌시아(도시형),22㎡,서울시 중랑구 상봉동,1126010200,104-48,서울시 중랑구 면목로92다길 18,37.594773,127.088065,18,0,11,6,359,51,10,갑진종합건설(주),HT001,22.79,18.7,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
1,KJ케렌시아(도시형),33A㎡,서울시 중랑구 상봉동,1126010200,104-48,서울시 중랑구 면목로92다길 18,37.594773,127.088065,18,0,11,6,359,51,10,갑진종합건설(주),HT001,33.02,27.09,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
2,KJ케렌시아(도시형),34B,서울시 중랑구 상봉동,1126010200,104-48,서울시 중랑구 면목로92다길 18,37.594773,127.088065,18,0,11,6,359,51,10,갑진종합건설(주),HT001,34.25,28.1,82,1,1,6,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
0,LG쌍용,91㎡,서울시 중랑구 상봉동,1126010200,484,서울시 중랑구 봉화산로 130,37.603394,127.08908,858,0,15,7,249,22,832,엘지건설,HT005,91.4,68.12,75,3,1,738,복도식,219600,543240,43920,279720,0,0,0,,328676,220020,"5억 7,000",7억,"3억 5,000","4억 5,000",,,,,,,,,서울신현초등학교,B100001415,서울특별시 중랑구 신내동 663,혁신,단설,19950105,서울특별시교육청,http://shinhyun.sen.es.kr,20230531,16.1,20.2,237.0,208.0,20230531,5.0,32.0,4.0,3.0,4.0,3.0,3.0,4.0,68.0,69.0,81.0,64.0,73.0,86.0,1.0,4.0,21.0,445.0,0.0,4.0,0.0,0.0,20230531,10.0,115.0,0.0,0.0,20230531,직영,3377.0,536.0,568332000.0,37.60567044,127.0936346,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,8.0
1,LG쌍용,104,서울시 중랑구 상봉동,1126010200,484,서울시 중랑구 봉화산로 130,37.603394,127.08908,858,0,15,7,249,22,832,엘지건설,HT005,104.7,84.67,81,3,2,120,계단식,289800,676620,57960,328860,0,0,0,,408528,273475,,8억,"3억 7,500","4억 1,000",,,,,,,,,서울신현초등학교,B100001415,서울특별시 중랑구 신내동 663,혁신,단설,19950105,서울특별시교육청,http://shinhyun.sen.es.kr,20230531,16.1,20.2,237.0,208.0,20230531,5.0,32.0,4.0,3.0,4.0,3.0,3.0,4.0,68.0,69.0,81.0,64.0,73.0,86.0,1.0,4.0,21.0,445.0,0.0,4.0,0.0,0.0,20230531,10.0,115.0,0.0,0.0,20230531,직영,3377.0,536.0,568332000.0,37.60567044,127.0936346,1126010600,서울시,19.8,17.4,중랑구,19.5,16.0,8.0
0,SG타워,79㎡,서울시 중랑구 상봉동,1126010200,128-10,서울시 중랑구 동일로 709,37.593789,127.079844,40,0,12,12,373,43,44,에스지건설(주),HT001,79.47,69.47,87,3,2,20,계단식,86100,265860,17220,162540,0,0,0,,,,5억,"5억 8,000",,,,,,,,,,,서울중목초등학교,B100001427,서울특별시 중랑구 면목동 180-5,공립,단설,19971104,서울특별시교육청,http://joongmok.sen.es.kr,20230531,15.8,19.3,212.0,174.0,20230531,7.0,23.0,3.0,4.0,3.0,3.0,3.0,2.0,48.0,82.0,73.0,60.0,64.0,52.0,2.0,7.0,18.0,386.0,1.0,4.0,0.0,0.0,20230531,3.0,43.0,0.0,0.0,20230531,직영,3377.0,474.0,548165000.0,37.59002522,127.07944367,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,7.0
1,SG타워,97,서울시 중랑구 상봉동,1126010200,128-10,서울시 중랑구 동일로 709,37.593789,127.079844,40,0,12,12,373,43,44,에스지건설(주),HT001,97.14,84.92,87,3,2,20,계단식,106350,318510,21270,190890,0,0,0,,,,"6억 1,000","6억 5,000",,,,,,,,,,,서울중목초등학교,B100001427,서울특별시 중랑구 면목동 180-5,공립,단설,19971104,서울특별시교육청,http://joongmok.sen.es.kr,20230531,15.8,19.3,212.0,174.0,20230531,7.0,23.0,3.0,4.0,3.0,3.0,3.0,2.0,48.0,82.0,73.0,60.0,64.0,52.0,2.0,7.0,18.0,386.0,1.0,4.0,0.0,0.0,20230531,3.0,43.0,0.0,0.0,20230531,직영,3377.0,474.0,548165000.0,37.59002522,127.07944367,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,7.0
0,YMS타워(도시형),16㎡,서울시 중랑구 상봉동,1126010200,102-30,서울시 중랑구 면목로92길 27,37.595436,127.08694,21,0,10,9,0,0,25,용마산건설주식회사,HT001,16.87,10.8,64,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
1,YMS타워(도시형),19A㎡,서울시 중랑구 상봉동,1126010200,102-30,서울시 중랑구 면목로92길 27,37.595436,127.08694,21,0,10,9,0,0,25,용마산건설주식회사,HT001,19.33,12.37,64,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
2,YMS타워(도시형),20B㎡,서울시 중랑구 상봉동,1126010200,102-30,서울시 중랑구 면목로92길 27,37.595436,127.08694,21,0,10,9,0,0,25,용마산건설주식회사,HT001,20.42,13.07,64,1,1,1,계단식,,,,,,,,,,,,,,,,,,,,,,,서울면목초등학교,B100001404,서울특별시 중랑구 면목동 221,혁신,단설,19300401,서울특별시교육청,http://myeonmok.sen.es.kr,20230531,17.4,19.0,293.0,258.0,20230531,3.0,47.0,4.0,5.0,4.0,4.0,5.0,5.0,80.0,96.0,84.0,83.0,102.0,100.0,2.0,6.0,27.0,551.0,1.0,4.0,0.0,0.0,20230531,2.0,95.0,0.0,0.0,20230531,직영,3385.0,796.0,715556000.0,37.59123391,127.08771056,1126010100,서울시,19.8,17.4,중랑구,19.5,16.0,9.0
