,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,강동리버스트4단지,73A㎡,서울시 강동구 강일동,1174011000,114,서울시 강동구 아리수로93가길 110,37.572611,127.1731,1239,597,24,8,202,21,1154,(주)두산건설,HT005,73.46,49.82,68,2,1,345,계단식,,,,,,,,,208267,161134,"6억 4,000","8억 5,000","3억 4,000","4억 8,000","5,000/150","3억 4,000/15","5,000/150","3억 4,000/15",서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,1,90.0,187.0
1,강동리버스트4단지,87A,서울시 강동구 강일동,1174011000,114,서울시 강동구 아리수로93가길 110,37.572611,127.1731,1239,597,24,8,202,21,1154,(주)두산건설,HT005,87.85,59.99,68,3,2,297,계단식,,,,,,,,,250782,194027,"7억 5,000",10억,"4억 8,000","5억 5,000",,4억/60,,4억/60,서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,1,90.0,187.0
0,강동리버스트8단지,71B㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,71.89,49.8,69,3,1,65,계단식,,,,,,,,,,,,,,,,,,,서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,9,90.0,187.0
1,강동리버스트8단지,72A㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,72.14,49.74,69,2,1,177,계단식,,,,,,,,,,,,,,,,,,,서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,9,90.0,187.0
2,강동리버스트8단지,85B㎡,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,85.93,59.55,69,2,1,43,계단식,,,,,,,,,,,"8억 3,000",9억,,,,,,,서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,9,90.0,187.0
3,강동리버스트8단지,86A,서울시 강동구 강일동,1174011000,66,서울시 강동구 아리수로93나길 88,37.571829,127.176297,946,420,22,5,202,23,896,"(주)대보건설,신해공영(주),(주)세방테크",HT005,86.91,59.97,69,3,2,241,계단식,,,,,,,,,,,"8억 5,000",9억,5억,"5억 3,000",,3억/100,,3억/100,서울강빛초등학교,B100006543,서울특별시 강동구 강일동  ,공립,단설,20210301,서울특별시교육청,http://gbe.sen.es.kr,20230531,0.0,19.4,318,304,20230531,10,36,7,6,5,4,4,5,133,122,109,85,82,,1,1,31,622,0,0,0,0,20230531,11,,0,0.0,20230531,직영,0,622,516156000,37.57433045,127.17081092,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,9,90.0,187.0
0,강일리버파크10단지,109A㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,109.49,84.83,77,3,2,24,계단식,,,,,,,,,329260,220965,"9억 5,000","10억 5,000",,,,,,,서울강솔초등학교,B100006385,서울특별시 강동구 강일동  ,혁신,단설,20170301,서울특별시교육청,http://gangsol.sen.es.kr,20230531,15.7,19.6,227,224,20230531,4,36,4,3,3,3,4,5,74,68,65,72,73,,1,6,22,451,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,569,534598000,37.5623708,127.1805146,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,2,93.0,105.0
1,강일리버파크10단지,110C㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,110.09,84.74,77,3,2,78,계단식,,,,,,,,,328910,220731,"9억 1,000","10억 5,000",,,,3억/80,,3억/80,서울강솔초등학교,B100006385,서울특별시 강동구 강일동  ,혁신,단설,20170301,서울특별시교육청,http://gangsol.sen.es.kr,20230531,15.7,19.6,227,224,20230531,4,36,4,3,3,3,4,5,74,68,65,72,73,,1,6,22,451,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,569,534598000,37.5623708,127.1805146,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,2,93.0,105.0
2,강일리버파크10단지,110B㎡,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,110.37,84.53,77,3,2,72,계단식,,,,,,,,,328096,220184,9억,11억,,,,,,,서울강솔초등학교,B100006385,서울특별시 강동구 강일동  ,혁신,단설,20170301,서울특별시교육청,http://gangsol.sen.es.kr,20230531,15.7,19.6,227,224,20230531,4,36,4,3,3,3,4,5,74,68,65,72,73,,1,6,22,451,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,569,534598000,37.5623708,127.1805146,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,2,93.0,105.0
3,강일리버파크10단지,142,서울시 강동구 강일동,1174011000,695,서울시 강동구 고덕로97길 20,37.560728,127.181055,694,470,15,10,177,17,798,계룡건설산업(주),HT005,142.14,114.81,81,4,2,50,계단식,,,,,,,,,445625,299057,13억,14억,,7억,,3억/150,,3억/150,서울강솔초등학교,B100006385,서울특별시 강동구 강일동  ,혁신,단설,20170301,서울특별시교육청,http://gangsol.sen.es.kr,20230531,15.7,19.6,227,224,20230531,4,36,4,3,3,3,4,5,74,68,65,72,73,,1,6,22,451,2,2,0,0,20230531,7,,0,0.0,20230531,직영,3377,569,534598000,37.5623708,127.1805146,1174011000,서울시,19.8,17.4,강동구,21.0,15.9,2,93.0,105.0
