,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,갤럭시마곡2(주상복합),34B㎡,서울시 강서구 마곡동,1150010500,5-1,서울시 강서구 양천로47길 104-5,37.575189,126.837266,12,0,10,5,249,48,8,주식회사은하주택건설,HT001,34.53,27.55,80,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울양천초등학교,B100001045,서울특별시 강서구 가양동 272-11번지,혁신,단설,19000401,서울특별시교육청,http://yangcheun.sen.es.kr,20230531,17.6,18.7,185,151,20230531,4,28,3,3,2,2,4,4,50,51,45,41,72,,0,0,18,336,4,1,0,0,20230531,10,,0,0.0,20230531,직영,3377,493,539098000,37.57002742,126.83959309,1150010400,서울시,19.8,17.4,강서구,19.0,17.2,13,77.0,109.0,
1,갤럭시마곡2(주상복합),34A,서울시 강서구 마곡동,1150010500,5-1,서울시 강서구 양천로47길 104-5,37.575189,126.837266,12,0,10,5,249,48,8,주식회사은하주택건설,HT001,34.45,27.48,80,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울양천초등학교,B100001045,서울특별시 강서구 가양동 272-11번지,혁신,단설,19000401,서울특별시교육청,http://yangcheun.sen.es.kr,20230531,17.6,18.7,185,151,20230531,4,28,3,3,2,2,4,4,50,51,45,41,72,,0,0,18,336,4,1,0,0,20230531,10,,0,0.0,20230531,직영,3377,493,539098000,37.57002742,126.83959309,1150010400,서울시,19.8,17.4,강서구,19.0,17.2,13,77.0,109.0,
0,마곡13단지힐스테이트마스터,81A㎡,서울시 강서구 마곡동,1150010500,748,서울시 강서구 마곡중앙1로 71,37.557929,126.818221,1194,0,16,9,219,24,1661,현대엔지니어링(주),HT005,81.53,59.98,74,3,2,322,계단식,751275,1454040,150255,552510,0,0,0,,262366,195181,"10억 5,000","12억 5,000","5억 7,000",7억,"7,000/210",3억/150,"7,000/210",3억/150,서울공진초등학교,B100001013,서울특별시 강서구 마곡동 749-2  서울공진초등학교,공립,단설,19921125,서울특별시교육청,http://kongjin.sen.es.kr,20230531,23.0,28.9,992,945,20230531,15,85,11,10,12,12,10,10,321,299,338,361,305,,2,9,65,1937,3,5,0,0,20230531,13,,0,0.0,20230531,직영,3347,1937,1583586000,37.5577498,126.8227037,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,4,304.0,256.0,
1,마곡13단지힐스테이트마스터,81B㎡,서울시 강서구 마곡동,1150010500,748,서울시 강서구 마곡중앙1로 71,37.557929,126.818221,1194,0,16,9,219,24,1661,현대엔지니어링(주),HT005,81.78,59.98,73,3,2,70,계단식,751275,1454040,150255,552510,0,0,0,,262380,195191,"11억 5,000","13억 6,000",,,,,,,서울공진초등학교,B100001013,서울특별시 강서구 마곡동 749-2  서울공진초등학교,공립,단설,19921125,서울특별시교육청,http://kongjin.sen.es.kr,20230531,23.0,28.9,992,945,20230531,15,85,11,10,12,12,10,10,321,299,338,361,305,,2,9,65,1937,3,5,0,0,20230531,13,,0,0.0,20230531,직영,3347,1937,1583586000,37.5577498,126.8227037,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,4,304.0,256.0,
2,마곡13단지힐스테이트마스터,81A1㎡,서울시 강서구 마곡동,1150010500,748,서울시 강서구 마곡중앙1로 71,37.557929,126.818221,1194,0,16,9,219,24,1661,현대엔지니어링(주),HT005,81.59,59.98,74,3,2,1,계단식,748125,1449000,149625,551250,0,0,0,,262366,195181,,,,,,,,,서울공진초등학교,B100001013,서울특별시 강서구 마곡동 749-2  서울공진초등학교,공립,단설,19921125,서울특별시교육청,http://kongjin.sen.es.kr,20230531,23.0,28.9,992,945,20230531,15,85,11,10,12,12,10,10,321,299,338,361,305,,2,9,65,1937,3,5,0,0,20230531,13,,0,0.0,20230531,직영,3347,1937,1583586000,37.5577498,126.8227037,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,4,304.0,256.0,
3,마곡13단지힐스테이트마스터,114A㎡,서울시 강서구 마곡동,1150010500,748,서울시 강서구 마곡중앙1로 71,37.557929,126.818221,1194,0,16,9,219,24,1661,현대엔지니어링(주),HT005,114.53,84.98,74,3,2,556,계단식,1258200,2170710,251640,660870,0,0,0,,371709,276524,14억,18억,"6억 8,000","8억 3,000",1억/220,4억/120,1억/220,4억/120,서울공진초등학교,B100001013,서울특별시 강서구 마곡동 749-2  서울공진초등학교,공립,단설,19921125,서울특별시교육청,http://kongjin.sen.es.kr,20230531,23.0,28.9,992,945,20230531,15,85,11,10,12,12,10,10,321,299,338,361,305,,2,9,65,1937,3,5,0,0,20230531,13,,0,0.0,20230531,직영,3347,1937,1583586000,37.5577498,126.8227037,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,4,304.0,256.0,
4,마곡13단지힐스테이트마스터,115B,서울시 강서구 마곡동,1150010500,748,서울시 강서구 마곡중앙1로 71,37.557929,126.818221,1194,0,16,9,219,24,1661,현대엔지니어링(주),HT005,115.23,84.98,74,3,2,245,계단식,1258200,2170710,251640,660870,0,0,0,,371742,276549,"12억 5,000","17억 5,000","6억 8,000","8억 3,000",,,,,서울공진초등학교,B100001013,서울특별시 강서구 마곡동 749-2  서울공진초등학교,공립,단설,19921125,서울특별시교육청,http://kongjin.sen.es.kr,20230531,23.0,28.9,992,945,20230531,15,85,11,10,12,12,10,10,321,299,338,361,305,,2,9,65,1937,3,5,0,0,20230531,13,,0,0.0,20230531,직영,3347,1937,1583586000,37.5577498,126.8227037,1150010500,서울시,19.8,17.4,강서구,19.0,17.2,4,304.0,256.0,
0,마곡금호어울림,109㎡,서울시 강서구 마곡동,1150010500,717,서울시 강서구 양천로47길 94,37.574886,126.837801,180,0,15,15,249,22,223,금호산업,HT001,109.57,84.94,78,3,2,150,계단식,414900,914310,82980,416430,0,0,0,,202141,216517,"8억 2,000","9억 2,000",,"4억 5,000",,1억/150,,1억/150,서울양천초등학교,B100001045,서울특별시 강서구 가양동 272-11번지,혁신,단설,19000401,서울특별시교육청,http://yangcheun.sen.es.kr,20230531,17.6,18.7,185,151,20230531,4,28,3,3,2,2,4,4,50,51,45,41,72,,0,0,18,336,4,1,0,0,20230531,10,,0,0.0,20230531,직영,3377,493,539098000,37.57002742,126.83959309,1150010400,서울시,19.8,17.4,강서구,19.0,17.2,10,77.0,109.0,
1,마곡금호어울림,132,서울시 강서구 마곡동,1150010500,717,서울시 강서구 양천로47길 94,37.574886,126.837801,180,0,15,15,249,22,223,금호산업,HT001,132.02,101.92,77,4,2,30,계단식,429975,939960,85995,423990,0,0,0,,242532,259781,,"9억 8,000",,,,,,,서울양천초등학교,B100001045,서울특별시 강서구 가양동 272-11번지,혁신,단설,19000401,서울특별시교육청,http://yangcheun.sen.es.kr,20230531,17.6,18.7,185,151,20230531,4,28,3,3,2,2,4,4,50,51,45,41,72,,0,0,18,336,4,1,0,0,20230531,10,,0,0.0,20230531,직영,3377,493,539098000,37.57002742,126.83959309,1150010400,서울시,19.8,17.4,강서구,19.0,17.2,10,77.0,109.0,
0,마곡벽산,84㎡,서울시 강서구 마곡동,1150010500,429,서울시 강서구 양천로47길 118,37.57615,126.83803,479,0,17,13,264,24,549,벽산건설(주),HT001,84.02,59.98,71,3,1,152,계단식,269100,637290,53820,314370,0,0,0,,146330,152958,"6억 2,000",8억,,4억,,,,,서울양천초등학교,B100001045,서울특별시 강서구 가양동 272-11번지,혁신,단설,19000401,서울특별시교육청,http://yangcheun.sen.es.kr,20230531,17.6,18.7,185,151,20230531,4,28,3,3,2,2,4,4,50,51,45,41,72,,0,0,18,336,4,1,0,0,20230531,10,,0,0.0,20230531,직영,3377,493,539098000,37.57002742,126.83959309,1150010400,서울시,19.8,17.4,강서구,19.0,17.2,12,77.0,109.0,
