,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,송파더센트레,73A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,73.93,51.77,70,2,1,455,계단식,568575,1161720,113715,479430,0,0,0,,245522,178236,"9억 3,000","10억 5,000","4억 8,000","5억 5,000",2억/140,"3억 7,950/22",2억/140,"3억 7,950/22",서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
1,송파더센트레,74B1㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74.2,51.96,70,2,1,98,계단식,568575,1161720,113715,479430,0,0,0,,246423,178890,"9억 2,000","10억 5,000",,"5억 4,000",,1억/170,,1억/170,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
2,송파더센트레,74A1㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,75,계단식,568575,1161720,113715,479430,0,0,0,,245759,178408,"9억 3,000","10억 5,000",,,,3억/100,,3억/100,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
3,송파더센트레,74A1N㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,23,계단식,555975,1141560,111195,474390,0,0,0,,245759,178408,,,,,,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
4,송파더센트레,74B㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,74,51.82,70,2,1,21,계단식,543375,1121400,108675,469350,0,0,0,,245759,178408,,,,,,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
5,송파더센트레,77A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,77.28,54.12,70,2,1,12,계단식,544950,1123920,108990,469980,0,0,0,,256667,186326,,"9억 5,000",,"5억 5,000",,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
6,송파더센트레,85C㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.47,59.85,70,3,2,214,계단식,1018800,1799640,203760,577080,0,0,0,,283841,206054,11억,12억,"6억 2,000","6억 5,000",300/60,"5,000/220",300/60,"5,000/220",서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
7,송파더센트레,85A㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.63,59.96,70,3,2,121,계단식,1018800,1799640,203760,577080,0,0,0,,284363,206432,,12억,,"6억 5,000",,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
8,송파더센트레,85B㎡,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.3,59.73,70,3,2,100,계단식,1018800,1799640,203760,577080,0,0,0,,283272,205641,"10억 8,000",13억,"6억 1,000","6억 3,000",,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
9,송파더센트레,85AN,서울시 송파구 장지동,1171010900,879,서울시 송파구 위례광장로 163,37.47943,127.139906,1139,0,25,12,203,17,1198,(주)한라,HT005,85.63,59.96,70,3,2,20,계단식,1000800,1771740,200160,570780,0,0,0,,284363,206432,,,,,,,,,서울송례초등학교,B100006043,서울특별시 송파구 장지동   ,혁신,단설,20140301,서울특별시교육청,http://sree.sen.es.kr,20230531,18.0,26.3,755,720,20230531,10,82,10,10,8,8,9,9,281,261,240,210,233,,2,15,54,1475,3,2,0,0,20230531,24,,0,0.0,20230531,직영,3347,1475,886916000,37.47788995,127.13843966,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,2,235.0,368.0
0,송파와이즈더샵,126B1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,126.68,96.78,76,3,2,12,계단식,1828800,3055140,365760,860580,804384,670320,134064,,411096,305167,,16억,,,,,,,서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
1,송파와이즈더샵,126C1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,126.95,96.75,76,3,2,10,계단식,1828800,3055140,365760,860580,804384,670320,134064,,410987,305087,,16억,,,,,,,서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
2,송파와이즈더샵,127E1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.78,96.71,76,3,2,38,계단식,1846800,3083040,369360,866880,834624,695520,139104,,410798,304946,,,,,,,,,서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
3,송파와이즈더샵,127F3㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.66,97.16,76,3,2,35,계단식,1828800,3055140,365760,860580,804384,670320,134064,,412727,306377,,,,,,1억/310,,1억/310,서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
4,송파와이즈더샵,127G2㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.8,96.99,76,3,2,35,계단식,1828800,3055140,365760,860580,804384,670320,134064,,411983,305825,16억,"17억 5,000",,,,,,,서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
5,송파와이즈더샵,127G1㎡,서울시 송파구 장지동,1171010900,895,서울시 송파구 위례광장로 270,37.476526,127.143436,390,0,24,7,274,38,630,(주)포스코건설,HT005,127.24,96.53,76,3,2,33,계단식,1828800,3055140,365760,860580,804384,670320,134064,,410038,304381,"16억 5,000","17억 3,000",,,"4억 5,000/160","4억 5,000/165","4억 5,000/160","4억 5,000/165",서울위례별초등학교,B100006211,서울특별시 송파구 장지동  ,혁신,단설,20160301,서울특별시교육청,http://westar.sen.es.kr,20230531,20.5,24.6,868,854,20230531,5,101,11,11,11,11,12,11,284,280,279,265,327,,3,21,67,1722,2,5,0,0,20230531,14,,0,0.0,20230531,직영,3347,1722,1581162000,37.478821,127.14515,1171010900,서울시,19.8,17.4,송파구,21.5,18.0,3,266.0,195.0
