,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,문래대림,81㎡,서울시 영등포구 문래동5가,1156012300,1,서울시 영등포구 선유로 33,37.517092,126.888074,200,0,21,21,429,53,251,대림건설(주),HT001,81.52,59.96,74,3,1,80,복도식,270000,639000,54000,315000,0,0,0,,145425,141224,,"6억 5,000",,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,6,147.0,261.0
1,문래대림,109㎡,서울시 영등포구 문래동5가,1156012300,1,서울시 영등포구 선유로 33,37.517092,126.888074,200,0,21,21,429,53,251,대림건설(주),HT001,109.25,84.92,78,3,2,100,계단식,329400,751860,65880,356580,0,0,0,,205963,200012,"8억 5,000","9억 5,000",,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,6,147.0,261.0
2,문래대림,124,서울시 영등포구 문래동5가,1156012300,1,서울시 영등포구 선유로 33,37.517092,126.888074,200,0,21,21,429,53,251,대림건설(주),HT001,124.04,96.41,78,3,2,20,계단식,360000,810000,72000,378000,0,0,0,,233831,227074,,11억,,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,6,147.0,261.0
0,문래두산위브,88㎡,서울시 영등포구 문래동5가,1156012300,14,서울시 영등포구 선유로9나길 8,37.517216,126.885968,383,0,15,13,232,18,300,동산토건,HT001,88.24,65.46,74,3,1,233,복도식,323100,739890,64620,352170,0,0,0,,146604,142991,"7억 3,000",8억,,"3억 7,000",,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,7,147.0,261.0
1,문래두산위브,107,서울시 영등포구 문래동5가,1156012300,14,서울시 영등포구 선유로9나길 8,37.517216,126.885968,383,0,15,13,232,18,300,동산토건,HT001,107.66,79.86,74,3,1,150,복도식,347400,786060,69480,369180,0,0,0,,178855,174446,,"8억 5,000",,"4억 3,000",,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,7,147.0,261.0
0,문래모아미래도,80㎡,서울시 영등포구 문래동5가,1156012300,67,서울시 영등포구 선유로9나길 5,37.517062,126.886907,222,23,18,12,295,26,246,(주)미래도건설,HT001,80.11,59.9,75,3,2,1,계단식,437850,952560,87570,427140,0,0,0,,155945,163177,,,,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,5,147.0,261.0
1,문래모아미래도,111A㎡,서울시 영등포구 문래동5가,1156012300,67,서울시 영등포구 선유로9나길 5,37.517062,126.886907,222,23,18,12,295,26,246,(주)미래도건설,HT001,111.42,84.75,76,3,2,130,계단식,781200,1501920,156240,564480,0,0,0,,220640,230872,"10억 7,000",15억,7억,8억,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,5,147.0,261.0
2,문래모아미래도,111B㎡,서울시 영등포구 문래동5가,1156012300,67,서울시 영등포구 선유로9나길 5,37.517062,126.886907,222,23,18,12,295,26,246,(주)미래도건설,HT001,111.96,84.98,76,3,2,8,계단식,770175,1484280,154035,560070,0,0,0,,221238,231498,,,,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,5,147.0,261.0
3,문래모아미래도,112C,서울시 영등포구 문래동5가,1156012300,67,서울시 영등포구 선유로9나길 5,37.517062,126.886907,222,23,18,12,295,26,246,(주)미래도건설,HT001,112.8,84.81,75,3,2,60,계단식,781200,1501920,156240,564480,0,0,0,,220796,231035,"13억 6,000",14억,,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,5,147.0,261.0
0,문래현대5차,102A㎡,서울시 영등포구 문래동5가,1156012300,23-1,서울시 영등포구 선유서로9길 5,37.517704,126.883269,282,0,18,12,290,22,0,현대산업개발(주),HT001,102.3,84.62,83,3,2,18,계단식,342000,775800,68400,365400,0,0,0,,220434,228536,,,,,,,,,서울영문초등학교,B100005254,서울특별시 영등포구 문래동6가 13,혁신,단설,20050105,서울특별시교육청,http://youngmoon.sen.es.kr,20230531,19.6,24.1,570,540,20230531,9,62,9,8,7,8,8,6,216,188,176,196,187,,0,0,46,1110,1,4,0,0,20230531,21,,0,0.0,20230531,직영,3455,1110,1041443000,37.51968469,126.88768158,1156012400,서울시,19.8,17.4,영등포구,19.6,16.9,9,147.0,261.0
