,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경일,80㎡,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,80.86,70.47,87,3,2,1,계단식,43800,155880,8760,103320,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
1,경일,83A㎡,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,83.83,73.08,87,3,2,9,계단식,46950,164070,9390,107730,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
2,경일,84B㎡,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,84.18,73.38,87,3,2,1,계단식,42450,152370,8490,101430,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
3,경일,85㎡,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,85.26,74.31,87,3,2,1,계단식,46500,162900,9300,107100,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
4,경일,89㎡,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,89.62,77.88,87,3,2,1,계단식,49650,171090,9930,111510,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
5,경일,91,서울시 서대문구 홍제동,1141011100,322-79,서울시 서대문구 모래내로24다길 19,37.583133,126.942525,24,0,7,6,0,0,25,이엔시종합건설(주),HT001,91.54,79.8,87,3,2,11,계단식,53250,180450,10650,116550,0,0,0,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,5,68.0,133.0
0,고은맨숀,61㎡,서울시 서대문구 홍제동,1141011100,156-200,서울시 서대문구 모래내로 453,37.585956,126.944806,136,0,5,4,167,0,0,,HT001,61.35,58.84,96,2,1,20,계단식,,,,,,,,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,1,68.0,133.0
1,고은맨숀,64B㎡,서울시 서대문구 홍제동,1141011100,156-200,서울시 서대문구 모래내로 453,37.585956,126.944806,136,0,5,4,167,0,0,,HT001,64.79,62.48,96,2,1,70,계단식,,,,,,,,,,,,"5억 6,000",,,,"3,000/70",,"3,000/70",서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,1,68.0,133.0
2,고은맨숀,64A㎡,서울시 서대문구 홍제동,1141011100,156-200,서울시 서대문구 모래내로 453,37.585956,126.944806,136,0,5,4,167,0,0,,HT001,64.67,62.55,97,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,1,68.0,133.0
3,고은맨숀,64C㎡,서울시 서대문구 홍제동,1141011100,156-200,서울시 서대문구 모래내로 453,37.585956,126.944806,136,0,5,4,167,0,0,,HT001,64.73,62.58,97,2,1,5,계단식,,,,,,,,,,,,,,,,,,,서울고은초등학교,B100001969,서울특별시 서대문구 홍제동 320-3,공립,단설,19711203,서울특별시교육청,http://goeun.sen.es.kr,20230531,17.1,19.0,230,246,20230531,6,32,4,4,4,4,4,3,73,86,81,75,85,,2,8,23,476,2,2,0,0,20230531,9,,0,0.0,20230531,직영,3417,547,541211000,37.5846505,126.94349991,1141011100,서울시,19.8,17.4,서대문구,19.8,17.1,1,68.0,133.0
