,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,길음역금호어울림센터힐,77B㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,77,59.5,77,3,2,88,계단식,,,,,,,,,157077,161386,8억,"8억 4,000",,"5억 5,000",,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
1,길음역금호어울림센터힐,78A㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,78.54,59.84,76,3,2,88,계단식,,,,,,,,,157975,162308,"7억 9,000","8억 4,000",,"8억 3,000",,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
2,길음역금호어울림센터힐,108C㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.14,84.88,78,3,2,40,계단식,,,,,,,,,224080,230226,,,,,,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
3,길음역금호어울림센터힐,108D㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.31,84.94,78,3,2,40,계단식,,,,,,,,,224238,230389,,"9억 4,000",,,,"3,000/120",,"3,000/120",서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
4,길음역금호어울림센터힐,108A㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.99,84.77,78,3,2,36,계단식,,,,,,,,,223789,229927,,"9억 5,000",,,,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
5,길음역금호어울림센터힐,108B㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,108.38,84.98,78,3,2,34,계단식,,,,,,,,,224344,230497,,10억,,,,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
6,길음역금호어울림센터힐,109E㎡,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,109.21,84.8,78,3,2,40,계단식,,,,,,,,,223869,230009,,"9억 3,000",,,,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
7,길음역금호어울림센터힐,151,서울시 성북구 돈암동,1129010300,643,서울시 성북구 동소문로34길 73,37.600867,127.022839,490,84,23,18,243,17,558,금호산업주식회사,HT001,151.35,119.56,79,4,2,40,계단식,,,,,,,,,315633,324291,,13억,,,,,,,서울개운초등학교,B100002292,서울특별시 성북구 돈암동 2-8번지,공립,단설,20020710,서울특별시교육청, http://gaewoon.sen.es.kr/,20230531,18.9,20.6,344,358,20230531,7,47,7,5,4,5,6,6,134,108,89,109,122,,1,6,33,702,1,3,0,0,20230531,20,,0,0.0,20230531,직영,3036,944,833943000,37.60180843,127.02777185,1129010300,서울시,19.8,17.4,성북구,20.2,18.2,8,134.0,294.0
0,돈암대성유니드,110㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,110.18,82.3,75,3,2,1,계단식,274500,647550,54900,318150,0,0,0,,,,,,,,,,,,서울정덕초등학교,B100002321,서울특별시 성북구 동소문동7가 118-1번지,공립,단설,19461101,서울특별시교육청,http://jeongdeok.sen.es.kr,20230531,20.5,20.7,450,503,20230531,5,58,7,7,7,7,9,7,147,156,162,145,189,,2,10,44,953,2,6,0,0,20230531,18,,0,0.0,20230531,직영,3547,1167,1147391000,37.59787361,127.01343281,1129011000,서울시,19.8,17.4,성북구,20.2,18.2,11,144.0,259.0
1,돈암대성유니드,113㎡,서울시 성북구 돈암동,1129010300,641,서울시 성북구 동소문로31길 6-1,37.597291,127.021152,81,0,14,13,222,18,111,대성산업(주),HT001,113.69,84.94,75,3,2,26,계단식,284400,666360,56880,325080,0,0,0,,,,,,,,,,,,서울정덕초등학교,B100002321,서울특별시 성북구 동소문동7가 118-1번지,공립,단설,19461101,서울특별시교육청,http://jeongdeok.sen.es.kr,20230531,20.5,20.7,450,503,20230531,5,58,7,7,7,7,9,7,147,156,162,145,189,,2,10,44,953,2,6,0,0,20230531,18,,0,0.0,20230531,직영,3547,1167,1147391000,37.59787361,127.01343281,1129011000,서울시,19.8,17.4,성북구,20.2,18.2,11,144.0,259.0
