,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,CMD(르네상스프라자),40㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,40.95,31.23,76,1,1,1,계단식,105900,253920,21180,126840,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
1,CMD(르네상스프라자),41㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,41.85,31.92,76,1,1,1,계단식,108600,259680,21720,129360,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
2,CMD(르네상스프라자),53㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,53.79,41.02,76,2,1,1,계단식,148200,344160,29640,166320,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
3,CMD(르네상스프라자),63㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,63.79,48.65,76,1,1,1,계단식,184200,420960,36840,199920,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
4,CMD(르네상스프라자),70㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,70.59,53.84,76,3,1,1,계단식,214500,478320,42900,220920,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
5,CMD(르네상스프라자),74㎡,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,74.75,57.01,76,3,1,1,계단식,237000,517920,47400,233520,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
6,CMD(르네상스프라자),95,서울시 강남구 역삼동,1168010100,673-33,서울시 강남구 테헤란로37길 25,37.503872,127.040127,7,0,6,5,233,59,8,(주) 미래공영,HT001,95.64,72.94,76,3,2,1,계단식,354000,723840,70800,299040,0,0,0,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,16,78.0,183.0
0,D&S리치빌(도시형),23A㎡,서울시 강남구 역삼동,1168010100,677-8,서울시 강남구 테헤란로37길 13-8,37.503062,127.040016,49,0,13,13,699,59,20,(주)우공,HT001,23.86,17.88,75,1,1,7,계단식,,,,,,,,,,,,,,"1억 7,200",,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,19,78.0,183.0
1,D&S리치빌(도시형),24B㎡,서울시 강남구 역삼동,1168010100,677-8,서울시 강남구 테헤란로37길 13-8,37.503062,127.040016,49,0,13,13,699,59,20,(주)우공,HT001,24.12,18.07,75,1,1,7,계단식,,,,,,,,,,,,,,,,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,19,78.0,183.0
2,D&S리치빌(도시형),25B㎡,서울시 강남구 역삼동,1168010100,677-8,서울시 강남구 테헤란로37길 13-8,37.503062,127.040016,49,0,13,13,699,59,20,(주)우공,HT001,25.61,19.19,75,1,1,21,계단식,,,,,,,,,,,,,"1억 7,200","1억 8,500",,,,,서울학동초등학교,B100000786,서울특별시 강남구 논현동 264-7,공립,병설,19790126,서울특별시교육청,http://hakdong.sen.es.kr/,20230531,19.4,22.7,235,242,20230531,2,31,4,3,4,3,4,3,77,77,84,77,84,,0,0,21,477,0,3,0,0,20230531,6,,0,0.0,20230531,직영,3377,493,324176000,37.512525,127.0396,1168010800,서울시,19.8,17.4,강남구,21.6,18.9,19,78.0,183.0
