,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,16에스티뷰(주상복합),35B㎡,서울시 광진구 자양동,1121510500,680-14,서울시 광진구 자양로16길 20-4,37.536164,127.084932,7,0,9,8,355,56,5,성안건설주식회사,HT001,35.02,23.69,68,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
1,16에스티뷰(주상복합),37A㎡,서울시 광진구 자양동,1121510500,680-14,서울시 광진구 자양로16길 20-4,37.536164,127.084932,7,0,9,8,355,56,5,성안건설주식회사,HT001,37.22,25.18,68,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
2,16에스티뷰(주상복합),74,서울시 광진구 자양동,1121510500,680-14,서울시 광진구 자양로16길 20-4,37.536164,127.084932,7,0,9,8,355,56,5,성안건설주식회사,HT001,74.06,50.1,68,3,2,1,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
0,Y-PARK2차(도시형),20㎡,서울시 광진구 자양동,1121510500,680-11,서울시 광진구 자양로16길 14,37.536093,127.084596,22,0,11,10,359,59,16,(유)예진종합건설,HT001,20.27,15.39,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
1,Y-PARK2차(도시형),26A㎡,서울시 광진구 자양동,1121510500,680-11,서울시 광진구 자양로16길 14,37.536093,127.084596,22,0,11,10,359,59,16,(유)예진종합건설,HT001,26.36,20.01,76,1,1,8,계단식,,,,,,,,,,,,,,,,"5,000/100",,"5,000/100",서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
2,Y-PARK2차(도시형),28B㎡,서울시 광진구 자양동,1121510500,680-11,서울시 광진구 자양로16길 14,37.536093,127.084596,22,0,11,10,359,59,16,(유)예진종합건설,HT001,28,21.26,76,1,1,8,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
3,Y-PARK2차(도시형),62,서울시 광진구 자양동,1121510500,680-11,서울시 광진구 자양로16길 14,37.536093,127.084596,22,0,11,10,359,59,16,(유)예진종합건설,HT001,62.24,47.25,76,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울양남초등학교,B100002183,서울특별시 광진구 자양동 692번지,공립,단설,19831203,서울특별시교육청,http://s-yangnam.sen.es.kr,20230531,9.2,11.2,72,73,20230531,4,17,2,2,2,2,2,1,26,18,30,23,24,,2,9,11,145,3,1,0,0,20230531,4,,0,0.0,20230531,직영,3850,178,292603000,37.53073948,127.08973043,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,15,15.0,27.0,
0,YM프라젠스파(주상복합),67㎡,서울시 광진구 자양동,1121510500,663-21,서울시 광진구 자양로5길 33,37.530966,127.084123,75,0,12,6,362,59,201,와이엠개발(주),HT001,67.64,56.13,83,3,1,10,계단식,216000,536400,43200,277200,0,0,0,,,,8억,"8억 5,000",,,,,,,서울성자초등학교,B100002180,서울특별시 광진구 자양동 662번지,공립,단설,19840518,서울특별시교육청,http://seongja.sen.es.kr,20230531,18.2,21.4,261,274,20230531,5,32,4,4,4,4,4,4,82,75,100,84,94,,1,2,24,535,2,2,0,0,20230531,10,,0,0.0,20230531,직영,3452,699,672406000,37.53116961,127.08309661,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,3,98.0,101.0,
1,YM프라젠스파(주상복합),90B㎡,서울시 광진구 자양동,1121510500,663-21,서울시 광진구 자양로5길 33,37.530966,127.084123,75,0,12,6,362,59,201,와이엠개발(주),HT001,90.74,75.31,83,3,2,10,계단식,246600,594540,49320,298620,0,0,0,,,,,"10억 5,000",,,,,,,서울성자초등학교,B100002180,서울특별시 광진구 자양동 662번지,공립,단설,19840518,서울특별시교육청,http://seongja.sen.es.kr,20230531,18.2,21.4,261,274,20230531,5,32,4,4,4,4,4,4,82,75,100,84,94,,1,2,24,535,2,2,0,0,20230531,10,,0,0.0,20230531,직영,3452,699,672406000,37.53116961,127.08309661,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,3,98.0,101.0,
2,YM프라젠스파(주상복합),90A㎡,서울시 광진구 자양동,1121510500,663-21,서울시 광진구 자양로5길 33,37.530966,127.084123,75,0,12,6,362,59,201,와이엠개발(주),HT001,90.15,74.82,83,3,2,2,계단식,242100,585990,48420,295470,0,0,0,,,,,,,,,,,,서울성자초등학교,B100002180,서울특별시 광진구 자양동 662번지,공립,단설,19840518,서울특별시교육청,http://seongja.sen.es.kr,20230531,18.2,21.4,261,274,20230531,5,32,4,4,4,4,4,4,82,75,100,84,94,,1,2,24,535,2,2,0,0,20230531,10,,0,0.0,20230531,직영,3452,699,672406000,37.53116961,127.08309661,1121510500,서울시,19.8,17.4,광진구,19.3,16.6,3,98.0,101.0,
