,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,건양노블레스,110,서울시 노원구 월계동,1135010200,938,서울시 노원구 화랑로45길 42-18,37.617216,127.066087,132,0,23,23,488,27,151,건양종합건설(주),HT001,110.08,84.65,77,3,2,132,계단식,313200,721080,62640,345240,0,0,0,,,,"6억 7,000",8억,,,,,,,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,15,133.0,281.0
0,그랑빌,82B㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,82.42,59.94,73,3,1,580,계단식,315900,726210,63180,347130,0,0,0,,110429,109080,"6억 5,000","7억 8,000","3억 8,000",4억,,,,,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
1,그랑빌,82A㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,82.42,59.94,73,2,1,145,계단식,315900,726210,63180,347130,0,0,0,,110429,109080,"6억 5,000","7억 3,000",4억,"4억 2,000",,,,,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
2,그랑빌,98㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,98.99,75.81,77,3,1,80,계단식,410400,905760,82080,413280,0,0,0,,139666,137961,"7억 2,000","8억 3,000",,,,,,,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
3,그랑빌,109A㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,109.57,84.97,78,3,2,1066,계단식,502425,1055880,100485,452970,0,0,0,,156542,154631,"7억 8,000",9억,"4억 1,895",5억,"5,000/180","2억 5,000/100","5,000/180","2억 5,000/100",서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
4,그랑빌,109B㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,109.57,84.97,78,3,2,280,복합식,526050,1093680,105210,462420,0,0,0,,156542,154631,"7억 5,000","9억 5,000","4억 4,000","5억 5,000",2억/100,"3억 3,000/30",2억/100,"3억 3,000/30",서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
5,그랑빌,145㎡,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,145.55,114.97,79,4,2,524,계단식,675675,1333080,135135,522270,0,0,0,,211811,209225,9억,11억,5억,6억,,3억/150,,3억/150,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
6,그랑빌,168,서울시 노원구 월계동,1135010200,18,서울시 노원구 마들로 31,37.618603,127.06821,3003,0,28,12,358,20,3940,"(주)한진중공업건설,(주)한화건설",HT001,168.89,139.08,82,4,2,328,계단식,995400,1763370,199080,568890,0,0,0,,256230,253101,"10억 8,000","12억 5,000","5억 3,000",6억,,,,,서울한천초등학교,B100001791,서울특별시 노원구 월계동 3-7번지,공립,단설,19831203,서울특별시교육청,http://hancheon.sen.es.kr,20230531,17.9,21.2,431,375,20230531,9,47,7,6,6,6,7,6,142,129,126,130,146,,0,0,38,806,1,3,0,0,20230531,21,,0,0.0,20230531,직영,3595,948,929364000,37.62018976,127.06893699,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,1,133.0,281.0
0,그린우드빌(도시형),15A㎡,서울시 노원구 월계동,1135010200,382-22,서울시 노원구 광운로15길 8-11,37.622049,127.058343,14,0,5,3,199,59,4,주식회사 장안건설,HT001,15.31,12.27,80,1,1,3,계단식,30780,80028,6156,43092,0,0,0,,,,,,,,,,,,서울선곡초등학교,B100001755,서울특별시 노원구 월계동 446번지(선곡길1),공립,단설,19740901,서울특별시교육청,http://sungok.sen.es.kr,20230531,17.1,19.1,317,313,20230531,7,41,5,5,6,5,5,5,87,90,117,107,110,,2,9,31,630,2,3,0,0,20230531,7,,0,0.0,20230531,전부위탁,3385,744,685255000,37.61842602,127.05816577,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,6,110.0,96.0
1,그린우드빌(도시형),15B㎡,서울시 노원구 월계동,1135010200,382-22,서울시 노원구 광운로15길 8-11,37.622049,127.058343,14,0,5,3,199,59,4,주식회사 장안건설,HT001,15.42,12.36,80,1,1,2,계단식,30780,80028,6156,43092,0,0,0,,,,,,,,,,,,서울선곡초등학교,B100001755,서울특별시 노원구 월계동 446번지(선곡길1),공립,단설,19740901,서울특별시교육청,http://sungok.sen.es.kr,20230531,17.1,19.1,317,313,20230531,7,41,5,5,6,5,5,5,87,90,117,107,110,,2,9,31,630,2,3,0,0,20230531,7,,0,0.0,20230531,전부위탁,3385,744,685255000,37.61842602,127.05816577,1135010200,서울시,19.8,17.4,노원구,18.9,17.3,6,110.0,96.0
