,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경남아너스빌,105,서울시 마포구 신수동,1144011100,455,서울시 마포구 창전로2길 42,37.549619,126.933953,90,0,14,6,251,26,102,경남기업(주),HT001,105.87,84.97,80,3,2,90,계단식,568575,1161720,113715,479430,0,0,0,,,,11억,13억,,6억,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,12,113.0,300.0
0,대원칸타빌,105A㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,105.62,84.96,80,3,2,37,계단식,1078200,1891710,215640,597870,0,0,0,,233330,242498,,14억,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,8,113.0,300.0
1,대원칸타빌,105B㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,105.65,84.98,80,3,2,29,계단식,1033200,1821960,206640,582120,0,0,0,,233402,242572,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,8,113.0,300.0
2,대원칸타빌,107㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,107.39,84.87,79,3,2,69,계단식,1078200,1891710,215640,597870,0,0,0,,233091,242250,12억,14억,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,8,113.0,300.0
3,대원칸타빌,144㎡,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,144.62,117.18,81,3,2,106,계단식,1263600,2179080,252720,662760,0,0,0,,321826,334471,15억,"17억 5,000",9억,10억,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,8,113.0,300.0
4,대원칸타빌,170,서울시 마포구 신수동,1144011100,453,서울시 마포구 창전로2길 10,37.548174,126.93366,279,0,19,12,345,23,431,(주)대원,HT001,170.38,143.65,84,4,2,38,계단식,1504800,2552940,300960,747180,260064,216720,43344,,394530,410032,,,,11억,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,8,113.0,300.0
0,마포경남아너스빌,106B㎡,서울시 마포구 신수동,1144011100,456,서울시 마포구 신수로 81,37.549744,126.934365,160,0,12,7,216,25,182,경남기업(주),HT001,106.39,84.95,80,3,2,158,계단식,724500,1411200,144900,541800,0,0,0,,262007,273702,12억,"14억 5,000",,"6억 2,000",,3억/140,,3억/140,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,10,113.0,300.0
1,마포경남아너스빌,106A,서울시 마포구 신수동,1144011100,456,서울시 마포구 신수로 81,37.549744,126.934365,160,0,12,7,216,25,182,경남기업(주),HT001,106.04,84.95,80,3,2,2,계단식,689850,1355760,137970,527940,0,0,0,,262007,273702,,,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,10,113.0,300.0
0,마포벽산e-솔렌스힐,106B㎡,서울시 마포구 신수동,1144011100,457,서울시 마포구 광성로 28,37.549494,126.93612,94,0,10,9,195,23,111,벽산엔지니어링(주),HT001,106.43,84.96,80,3,2,37,계단식,636300,1270080,127260,506520,0,0,0,,,,11억,12억,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,12,113.0,300.0
1,마포벽산e-솔렌스힐,108A㎡,서울시 마포구 신수동,1144011100,457,서울시 마포구 광성로 28,37.549494,126.93612,94,0,10,9,195,23,111,벽산엔지니어링(주),HT001,108.17,84.96,79,3,2,38,계단식,647325,1287720,129465,510930,0,0,0,,,,"10억 7,000",14억,,,,,,,서울신석초등학교,B100001997,서울특별시 마포구 신수동 445-1,혁신,단설,19640310,서울특별시교육청,http://sinseok.sen.es.kr,20230531,17.9,20.5,332,324,20230531,5,44,5,5,5,5,5,5,93,111,109,108,113,,2,9,30,656,2,3,0,0,20230531,18,,0,0.0,20230531,직영,3455,822,780564000,37.5441272,126.93793097,1144011100,서울시,19.8,17.4,마포구,20.1,18.0,12,113.0,300.0
