,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수,남교사 수
0,NS파인트리(도시형),28A㎡,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,28.42,19.7,69,1,1,36,복도식,,,,,,,,,,,,,,,,,,,서울잠전초등학교,B100000945,서울특별시 송파구 잠실동 229(새내길 18번지),공립,단설,19810909,서울특별시교육청,http://jamjeon.sen.es.kr,20230531,19.6,19.9,252,264,20230531,1,44,5,4,3,3,5,4,92,80,67,70,102,,2,8,24,516,1,4,0,0,20230531,13,,0,0.0,20230531,직영,3377,711,657202000,37.50678047,127.08421414,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,8,97.0,128.0,
1,NS파인트리(도시형),50B㎡,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,50.69,35.77,71,1,1,8,복도식,,,,,,,,,,,,7억,,,,,,,서울잠전초등학교,B100000945,서울특별시 송파구 잠실동 229(새내길 18번지),공립,단설,19810909,서울특별시교육청,http://jamjeon.sen.es.kr,20230531,19.6,19.9,252,264,20230531,1,44,5,4,3,3,5,4,92,80,67,70,102,,2,8,24,516,1,4,0,0,20230531,13,,0,0.0,20230531,직영,3377,711,657202000,37.50678047,127.08421414,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,8,97.0,128.0,
2,NS파인트리(도시형),51C,서울시 송파구 잠실동,1171010100,183-12,서울시 송파구 백제고분로7길 41,37.510952,127.083665,48,0,16,12,799,59,76,(주)한울종합건설,HT001,51.57,36.43,71,1,1,4,복도식,,,,,,,,,,,,,,,,"3,000/210",,"3,000/210",서울잠전초등학교,B100000945,서울특별시 송파구 잠실동 229(새내길 18번지),공립,단설,19810909,서울특별시교육청,http://jamjeon.sen.es.kr,20230531,19.6,19.9,252,264,20230531,1,44,5,4,3,3,5,4,92,80,67,70,102,,2,8,24,516,1,4,0,0,20230531,13,,0,0.0,20230531,직영,3377,711,657202000,37.50678047,127.08421414,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,8,97.0,128.0,
0,갤러리아팰리스(주상복합),107A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,107.56,84.44,79,2,2,48,계단식,1629000,2745450,325800,790650,468720,390600,78120,,466012,416147,17억,20억,"9억 8,000",10억,1억/330,7억/150,1억/330,7억/150,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
1,갤러리아팰리스(주상복합),156A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,156.65,122.98,79,3,2,48,계단식,2557800,4185090,511560,1115730,2275344,1896120,379224,,678717,606093,,,,17억,,,,,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
2,갤러리아팰리스(주상복합),157C㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,157.03,123.29,79,3,2,89,계단식,2599200,4249260,519840,1130220,2378016,1981680,396336,,680384,607581,"26억 5,000",28억,"13억 5,000",14억,,7억/280,,7억/280,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
3,갤러리아팰리스(주상복합),174B㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,174.54,137.03,79,3,2,27,계단식,2649600,4327380,529920,1147860,2503008,2085840,417168,,756236,675317,"25억 5,000",26억,"14억 5,000",15억,,,,,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
4,갤러리아팰리스(주상복합),176A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,176.48,138.56,79,3,2,54,계단식,2669400,4358070,533880,1154790,2552112,2126760,425352,,764652,682832,,,"13억 5,000",14억,,10억/160,,10억/160,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
5,갤러리아팰리스(주상복합),190A㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,190.05,149.21,79,4,2,3,계단식,2907000,4726350,581400,1237950,3141360,2617800,523560,,823435,735325,,,,,,,,,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
6,갤러리아팰리스(주상복합),190AT㎡,서울시 송파구 잠실동,1171010100,40,서울시 송파구 올림픽로 212,37.511219,127.093979,741,0,46,41,799,34,935,"(주)한화건설,삼성물산(주)",HT005,190.05,149.21,79,4,2,1,계단식,2781000,4531050,556200,1193850,2828880,2357400,471480,,823435,735325,,,,,,,,,서울송전초등학교,B100000930,서울특별시 송파구 잠실동 44-2,공립,단설,19780511,서울특별시교육청,http://ssj.sen.es.kr,20230531,23.1,23.7,396,387,20230531,4,52,5,5,6,5,6,6,124,135,143,114,136,,0,0,33,783,1,4,0,0,20230531,17,,0,0.0,20230531,직영,3385,891,978033000,37.50845191,127.09481597,1171010100,서울시,19.8,17.4,송파구,21.5,18.0,9,131.0,158.0,
