,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,SJ497(주상복합),21㎡,서울시 영등포구 당산동,1156011700,171-47,서울시 영등포구 영중로42길 7,37.5285,126.906611,11,11,11,10,498,59,5,(주)티디에이종합건설,HT001,21.25,14.49,68,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
1,SJ497(주상복합),24㎡,서울시 영등포구 당산동,1156011700,171-47,서울시 영등포구 영중로42길 7,37.5285,126.906611,11,11,11,10,498,59,5,(주)티디에이종합건설,HT001,24,16.43,68,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
2,SJ497(주상복합),25㎡,서울시 영등포구 당산동,1156011700,171-47,서울시 영등포구 영중로42길 7,37.5285,126.906611,11,11,11,10,498,59,5,(주)티디에이종합건설,HT001,25.25,17.37,69,1,1,3,계단식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
3,SJ497(주상복합),35㎡,서울시 영등포구 당산동,1156011700,171-47,서울시 영등포구 영중로42길 7,37.5285,126.906611,11,11,11,10,498,59,5,(주)티디에이종합건설,HT001,35.45,24.67,70,1,1,2,계단식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
4,SJ497(주상복합),57,서울시 영등포구 당산동,1156011700,171-47,서울시 영등포구 영중로42길 7,37.5285,126.906611,11,11,11,10,498,59,5,(주)티디에이종합건설,HT001,57.18,40.19,70,3,1,1,계단식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
0,가온빌(도시형),34,서울시 영등포구 당산동,1156011700,121-289,서울시 영등포구 버드나루로 102-1,37.527386,126.908695,27,0,13,12,675,59,11,주식회사 가온건설산업,HT001,34.17,21.4,63,1,1,27,복도식,,,,,,,,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,2,69.0,163.0
0,강변래미안,81㎡,서울시 영등포구 당산동,1156011700,376,서울시 영등포구 버드나루로 130,37.529785,126.908138,801,0,19,16,336,27,1013,삼성물산(주),HT001,81.54,55.91,69,3,1,120,계단식,595350,1204560,119070,490140,0,0,0,,139570,137313,"9억 7,000","9억 9,000",,,,2억/130,,2억/130,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,5,69.0,163.0
1,강변래미안,109㎡,서울시 영등포구 당산동,1156011700,376,서울시 영등포구 버드나루로 130,37.529785,126.908138,801,0,19,16,336,27,1013,삼성물산(주),HT001,109.12,79.43,73,3,2,252,계단식,1053000,1852650,210600,589050,0,0,0,,198284,195078,"10억 5,000","14억 5,000",,"6억 8,000",3억/120,4억/100,3억/120,4억/100,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,5,69.0,163.0
2,강변래미안,109A㎡,서울시 영등포구 당산동,1156011700,376,서울시 영등포구 버드나루로 130,37.529785,126.908138,801,0,19,16,336,27,1013,삼성물산(주),HT001,109.08,78.9,72,3,2,19,계단식,1053000,1852650,210600,589050,0,0,0,,196961,193776,"13억 5,000","15억 3,000",,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,5,69.0,163.0
3,강변래미안,111B㎡,서울시 영등포구 당산동,1156011700,376,서울시 영등포구 버드나루로 130,37.529785,126.908138,801,0,19,16,336,27,1013,삼성물산(주),HT001,111.44,79.05,71,3,2,148,계단식,1105200,1933560,221040,607320,0,0,0,,197336,194144,"12억 3,000",16억,,"6억 5,000",,4억/120,,4억/120,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,5,69.0,163.0
