,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,경남아너스빌,83㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,83.99,59.9,71,3,1,248,복도식,342000,775800,68400,365400,0,0,0,,140859,140460,"8억 2,000","10억 2,000","3억 9,690","4억 6,000",,1억/140,,1억/140,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,1,72.0,109.0
1,경남아너스빌,107A㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,107.91,84.82,79,3,2,42,계단식,595350,1204560,119070,490140,0,0,0,,199460,198896,"10억 5,000",12억,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,1,72.0,109.0
2,경남아너스빌,108B㎡,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,108.05,84.93,79,3,2,162,계단식,595350,1204560,119070,490140,0,0,0,,199719,199154,"10억 8,000",13억,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,1,72.0,109.0
3,경남아너스빌,141,서울시 영등포구 영등포동7가,1156010800,46-1,서울시 영등포구 양산로 177,37.524284,126.902753,600,0,21,18,360,24,706,경남기업(주),HT001,141.02,114.77,81,4,2,148,계단식,740250,1436400,148050,548100,0,0,0,,269890,269126,"13억 5,000",14억,,7억,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,1,72.0,109.0
0,골든빌,37A㎡,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,37.5,28.55,76,1,1,4,계단식,,,,,,,,,,,,"2억 8,000",,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,72.0,109.0
1,골든빌,37B㎡,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,37.78,28.76,76,1,1,4,계단식,,,,,,,,,,,,"2억 8,000",,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,72.0,109.0
2,골든빌,38,서울시 영등포구 영등포동7가,1156010800,80-1,서울시 영등포구 국회대로50길 5-1,37.524883,126.90634,12,0,6,6,284,59,5,,HT001,38.71,29.47,76,1,1,4,계단식,,,,,,,,,,,,,,,,,,,서울영중초등학교,B100001247,서울특별시 영등포구 영등포동7가 53번지,공립,단설,19490401,서울특별시교육청,http://youngjoong.sen.es.kr,20230531,17.2,19.0,226,211,20230531,3,33,4,4,3,3,4,3,77,80,68,58,77,,2,5,21,437,1,5,0,0,20230531,9,,0,0.0,20230531,직영,3447,461,425307000,37.52360574,126.90388428,1156010800,서울시,19.8,17.4,영등포구,19.6,16.9,6,72.0,109.0
0,골든힐(도시형),34C㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.69,30.34,87,2,1,4,계단식,148200,344160,29640,166320,0,0,0,,,,"3억 3,000","3억 5,000",,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,4,69.0,163.0
1,골든힐(도시형),34B㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.37,29.99,87,1,1,3,계단식,148200,344160,29640,166320,0,0,0,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,4,69.0,163.0
2,골든힐(도시형),34A㎡,서울시 영등포구 영등포동7가,1156010800,94-355,서울시 영등포구 국회대로56길 4,37.524605,126.908784,29,0,10,9,388,57,38,(주)창성종합건설,HT001,34.29,29.92,87,1,1,1,계단식,147300,342240,29460,165480,0,0,0,,,,,,,,,,,,서울영동초등학교,B100001240,서울특별시 영등포구 당산동6가 121-22번지,공립,단설,19560517,서울특별시교육청,http://youngdong.sen.es.kr,20230531,16.5,19.1,221,181,20230531,3,26,4,3,3,3,3,3,75,66,70,58,54,,2,10,19,402,4,1,0,0,20230531,14,,0,0.0,20230531,직영,3376,441,464114000,37.52656015,126.90730606,1156011700,서울시,19.8,17.4,영등포구,19.6,16.9,4,69.0,163.0
