,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,구암하이츠,55㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,55.07,47.67,87,2,1,1,계단식,47400,165240,9480,108360,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
1,구암하이츠,66A㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.07,58.03,88,3,2,1,계단식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
2,구암하이츠,66B㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.4,58.35,88,3,2,1,계단식,68550,220230,13710,137970,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
3,구암하이츠,66C㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,66.75,59.09,89,3,2,1,계단식,63600,207360,12720,131040,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
4,구암하이츠,78㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,78.94,70.62,89,3,2,1,계단식,74850,236610,14970,146790,0,0,0,,,,,"4억 5,000",,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
5,구암하이츠,82A㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,82.85,74.45,90,3,2,3,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
6,구암하이츠,82B㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,82.97,74.56,90,3,2,1,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
7,구암하이츠,84㎡,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,84.33,75.89,90,3,2,3,계단식,89250,274050,17850,166950,0,0,0,,,,,,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
8,구암하이츠,93,서울시 종로구 신영동,1111018600,105-22,서울시 종로구 세검정로6다길 11-1,37.601888,126.962259,18,0,5,4,218,55,17,(주)중앙건설,HT005,93.58,84.94,91,3,2,6,계단식,101850,306810,20370,184590,0,0,0,,,,"5억 5,000",6억,,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,5,124.0,175.0
0,대아파크빌,89㎡,서울시 종로구 신영동,1111018600,254,서울시 종로구 진흥로 480,37.60544,126.96042,67,0,14,9,335,58,69,대아건설(주),HT001,89.64,59.22,66,3,1,48,복도식,91050,278730,18210,169470,0,0,0,,,,"5억 5,000","6억 5,000",,,,,,,서울세검정초등학교,B100002383,서울특별시 종로구 신영동 219-4번지,공립,단설,19481124,서울특별시교육청,http://segumjung.sen.es.kr,20230531,17.6,21.1,408,371,20230531,7,50,6,6,6,5,7,6,111,124,142,118,155,,1,5,36,779,2,3,0,0,20230531,4,,0,0.0,20230531,직영,3691,866,826182000,37.60323962,126.96096647,1111018600,서울시,19.8,17.4,종로구,16.7,14.8,4,124.0,175.0
