,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,동대문솔하임(도시형),26B㎡,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,26.36,17.67,67,1,1,7,복도식,,,,,,,,,,,,,,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
1,동대문솔하임(도시형),29A-1㎡,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,29.23,19.6,67,1,1,14,복도식,,,,,,,,,,,,,,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
2,동대문솔하임(도시형),29A-2㎡,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,29.23,19.6,67,1,1,14,복도식,,,,,,,,,,,,,,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
3,동대문솔하임(도시형),29D㎡,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,29.34,19.67,67,1,1,7,복도식,,,,,,,,,,,"2억 1,000","2억 3,500",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
4,동대문솔하임(도시형),32C㎡,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,32.71,21.93,67,1,1,7,복도식,,,,,,,,,,,,"2억 6,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
5,동대문솔하임(도시형),34E,서울시 중구 흥인동,1114016300,8,서울시 중구 마장로 58,37.567705,127.016298,56,0,20,20,799,58,29,(주)삼전건설,HT001,34.93,23.42,67,1,1,7,복도식,,,,,,,,,,,,"2억 4,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,14,56.0,129.0
0,동대문와이즈캐슬(도시형),25A㎡,서울시 중구 흥인동,1114016300,119,서울시 중구 퇴계로75길 7,37.565915,127.015473,150,0,15,11,644,59,47,롯데건설(주),HT001,25.42,15.55,61,1,1,100,복도식,,,,,,,,,118904,131920,"1억 6,000","1억 7,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,12,56.0,129.0
1,동대문와이즈캐슬(도시형),25A1㎡,서울시 중구 흥인동,1114016300,119,서울시 중구 퇴계로75길 7,37.565915,127.015473,150,0,15,11,644,59,47,롯데건설(주),HT001,25.42,15.55,61,1,1,8,복도식,,,,,,,,,118904,131920,,,,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,12,56.0,129.0
2,동대문와이즈캐슬(도시형),26D㎡,서울시 중구 흥인동,1114016300,119,서울시 중구 퇴계로75길 7,37.565915,127.015473,150,0,15,11,644,59,47,롯데건설(주),HT001,26.65,16.3,61,1,1,8,복도식,,,,,,,,,124639,138282,,"2억 5,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,12,56.0,129.0
3,동대문와이즈캐슬(도시형),27C㎡,서울시 중구 흥인동,1114016300,119,서울시 중구 퇴계로75길 7,37.565915,127.015473,150,0,15,11,644,59,47,롯데건설(주),HT001,27.06,16.55,61,1,1,24,복도식,,,,,,,,,126551,140403,"1억 6,300","1억 7,000",,,,,,,서울신당초등학교,B100005374,서울특별시 중구 신당동 161,공립,단설,20070214,서울특별시교육청,http://shindang.sen.es.kr,20230531,15.1,20.1,164,178,20230531,4,26,3,3,2,3,2,3,57,62,53,70,41,,1,3,16,342,2,2,0,0,20230531,5,,0,0.0,20230531,직영,3530,356,489292000,37.56389551,127.02374192,1114016200,서울시,19.8,17.4,중구,17.9,14.8,12,56.0,129.0
