,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,"M5(민간임대,도시형)",17B㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,17.69,12.76,72,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
1,"M5(민간임대,도시형)",17A㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,17.41,12.56,72,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
2,"M5(민간임대,도시형)",19B㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,19.44,14.02,72,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
3,"M5(민간임대,도시형)",19A㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,19.13,13.8,72,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
4,"M5(민간임대,도시형)",32A㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,32.66,23.56,72,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
5,"M5(민간임대,도시형)",33C㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,33.19,23.94,72,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
6,"M5(민간임대,도시형)",33A㎡,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,33.95,24.49,72,2,1,2,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
7,"M5(민간임대,도시형)",34C,서울시 동대문구 회기동,1123010800,60-145,서울시 동대문구 회기로 112,37.591396,127.048902,24,24,6,6,244,48,9,,HT001,34.51,24.89,72,2,1,4,계단식,,,,,,,,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
0,동일스카이시티2차,56㎡,서울시 동대문구 회기동,1123010800,60-230,서울시 동대문구 회기로 108-32,37.590971,127.048241,16,0,6,3,225,59,16,동일주택건설,HT001,56.88,48.09,85,2,1,1,계단식,50550,173430,10110,112770,0,0,0,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
1,동일스카이시티2차,58㎡,서울시 동대문구 회기동,1123010800,60-230,서울시 동대문구 회기로 108-32,37.590971,127.048241,16,0,6,3,225,59,16,동일주택건설,HT001,58.73,49.65,85,2,1,1,계단식,53700,181620,10740,117180,0,0,0,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
2,동일스카이시티2차,64㎡,서울시 동대문구 회기동,1123010800,60-230,서울시 동대문구 회기로 108-32,37.590971,127.048241,16,0,6,3,225,59,16,동일주택건설,HT001,64.3,54.36,85,3,2,1,계단식,60000,198000,12000,126000,0,0,0,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
3,동일스카이시티2차,70A㎡,서울시 동대문구 회기동,1123010800,60-230,서울시 동대문구 회기로 108-32,37.590971,127.048241,16,0,6,3,225,59,16,동일주택건설,HT001,70.71,59.78,85,3,2,1,계단식,64950,210870,12990,132930,0,0,0,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
4,동일스카이시티2차,70B㎡,서울시 동대문구 회기동,1123010800,60-230,서울시 동대문구 회기로 108-32,37.590971,127.048241,16,0,6,3,225,59,16,동일주택건설,HT001,70.86,59.91,85,3,2,1,계단식,62250,203850,12450,129150,0,0,0,,,,,,,,,,,,서울홍릉초등학교,B100001431,서울특별시 동대문구 청량리동 206-44,공립,단설,19670915,서울특별시교육청,http://hongneung.sen.es.kr,20230531,16.5,19.7,184,151,20230531,4,23,2,3,3,2,3,3,41,60,55,48,65,,1,4,16,335,1,3,0,0,20230531,7,,0,0.0,20230531,직영,3377,459,245176000,37.59092913,127.04712963,1123010700,서울시,19.8,17.4,동대문구,20.0,17.3,4,62.0,75.0
