,아파트명,면적,법정동주소,b_code,지번주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,최소_매매호가,최대_매매호가,최소_전세호가,최대_전세호가,최소_월세호가,최대_월세호가,최소_실거래가,최대_실거래가,학교명,학교코드,학교주소,학교유형,설립유형,설립일자,교육청,홈페이지,학생_통계_기준일,교사당_학생_수,교실당_학생_수,남학생_수,여학생_수,교직원_통계_기준일,남교사_수,여교사_수,1학년_교실_수,2학년_교실_수,3학년_교실_수,4학년_교실_수,5학년_교실_수,6학년_교실_수,1학년_학생_수,2학년_학생_수,3학년_학생_수,4학년_학생_수,5학년_학생_수,6학년_학생_수,특수_교실_수,특수_교실_학생_수,총_교실_수,총_학생_수,남성_교직원_수,여성_교직원_수,내담자_상담사_수,외부_상담사_수,방과후_교실_통계_기준일,방과후 프로그램 수,방과후_학생_수,도서관_도서_수,학생_당_도서_수,급식_서비스_통계_기준일,급식_서비스_운영_방식,급식_서비스_학생당_가격,급식_서비스_지원_학생_수,급식_서비스_연간_지원_금액,학교_위도,학교_경도,행정동_코드,시도명,평균_교실_당_학생_수(시도),평균_교사_당_학생_수(시도),구군명,평균_교실_당_학생_수(구군),평균_교사_당_학생_수(구군),도보_이동_시간(분),6학년 학생 수,방과후_학생 _수
0,보문파크뷰자이,69A㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,69.28,45.81,66,2,1,103,계단식,,,,,,,,,116457,125440,"7억 5,500","7억 8,000",,"4억 6,000",,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
1,보문파크뷰자이,69B㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,69.1,45.81,66,2,1,71,계단식,,,,,,,,,116457,125440,"7억 5,000",8억,"4억 5,000",5억,1억/145,1억/150,1억/145,1억/150,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
2,보문파크뷰자이,69C㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,69.39,45.81,66,2,1,10,계단식,,,,,,,,,116457,125440,"7억 5,000","7억 7,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
3,보문파크뷰자이,81A㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,81.62,59.81,73,3,2,183,계단식,,,,,,,,,152047,163776,"8억 8,000",10억,,"5억 5,000",,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
4,보문파크뷰자이,82B㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,82.57,59.19,72,3,2,75,계단식,,,,,,,,,150471,162079,,,,"5억 5,000",,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
5,보문파크뷰자이,82C㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,82.59,59.87,72,3,2,44,계단식,,,,,,,,,152200,163941,9억,"10억 4,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
6,보문파크뷰자이,98B㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,98.51,72.97,74,3,2,124,계단식,,,,,,,,,185502,199812,"9억 7,000","12억 5,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
7,보문파크뷰자이,98C㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,98.48,72.9,74,3,2,42,계단식,,,,,,,,,185324,199620,,"10억 5,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
8,보문파크뷰자이,98A㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,98.11,72.96,74,3,2,37,계단식,,,,,,,,,185476,199784,,"10억 2,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
9,보문파크뷰자이,112E㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,112.78,84.99,75,3,2,35,계단식,,,,,,,,,216059,232726,12억,"13억 5,000",7억,"7억 5,000",,"4억 5,000/90",,"4억 5,000/90",서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
10,보문파크뷰자이,113A㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,113.77,84.99,75,3,2,80,계단식,,,,,,,,,216059,232726,"11억 2,000",12억,"6억 8,000",7억,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
11,보문파크뷰자이,113D㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,113.79,84.99,75,3,2,54,계단식,,,,,,,,,216059,232726,,,,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
12,보문파크뷰자이,114B㎡,서울시 성북구 보문동6가,1129012800,458,서울시 성북구 보문사길 111,37.580271,127.018895,1186,208,20,9,237,21,1293,지에스건설주식회사,HT001,114.73,84.96,74,3,2,60,계단식,,,,,,,,,215983,232644,,"11억 2,000",,,,,,,서울동신초등학교,B100002295,서울특별시 성북구 보문동3가 228번지,공립,단설,19481101,서울특별시교육청,http://dongsin.sen.es.kr,20230531,17.0,19.2,200,223,20230531,5,35,4,3,3,3,3,4,79,77,59,61,66,,2,6,20,423,1,4,0,0,20230531,7,,0,0.0,20230531,직영,3447,425,620457000,37.58261935,127.01695047,1129013200,서울시,19.8,17.4,성북구,20.2,18.2,1,75.0,156.0
